content,error,followers,id,mid,pubdate,uid,topic,class
"( 1 / 2 ) [ 公民 大 联署 废除 劳教 ] 签名 格式 : [ 姓名 + 籍贯 或 居住地 + 职业 ] . 方式 : 请发 签名 邮件 到 邮箱 citizenright1989 ( 原发 feichulaojiao 的 , 请 重发 , 抱歉 ) . 也 可以 发私",disapptime=20120814 11:23:41 2 +0800;lastapptime=20120814 11:20:15 2 +0800;tidstatus=V2PerDny,842,3478671451118872,3478671451118872,20120813 21:09:27 1 +0800,2608998823.0,everythingElse,censored
"( 1 / 2 ) 财新 博客 [ 崔卫平 : 独立 电影 的 非主流 传统 ] “ 北京 独立 电影展 ” 在 宋庄 举行 开幕式 , 放映 影片 《 鸡蛋 与 石头 》 . 不到 半小时 , 突然 放映厅 里 一片 漆黑 . 微博上 马上 有人 说 : “ 本届 电影节 被迫 中止 , 被 拉闸 停电 . ” 对 独立 影展 感到 如此 不安 , 部分 原因 在于 人们 对 “ 独立 电影 ” 望文生义 的 理解",disapptime=20120828 23:52:06 2 +0800;lastapptime=20120828 23:47:55 2 +0800;tidstatus=V2PerDny,903,3484128316017699,3484128316017699,20120828 22:33:05 2 +0800,2608998823.0,everythingElse,censored
"( 1 / 2 ) 韩志国 : [ 五 小事 解决 民生问题 ] 1 取消 交通管制 , 让 官员 感受 堵车 之苦 才能 真正 治堵 ; 2 取消 食品 特供 , 让 官员 品尝 有毒 食品 才 有 食品安全 ; 3 取消 福利 分房 ; 让 官员 体会 买房 难 ; 民众 才能 安居乐业 ; 4 取消 公车 消费 ; 官员 才 知 油价 之高 养车 之难 ; 5 取消 干部 病房 ; 官员 才 知 看病",disapptime=20120907 19:19:27 5 +0800;lastapptime=20120907 18:48:58 5 +0800;tidstatus=V2PerDny,938,3487691553529441,3487691553529441,20120907 18:32:07 5 +0800,2608998823.0,everythingElse,censored
"( 1 / 2 ) / 偷笑 郭 市长 问 : 这么 大水 , 村里 有 伤亡 吗 ? 村民 异口同声 : 没有 ! 我们 村 组织 得 好 , 转移 得 快 . 郭 又 问 : 村里 受 损失 了 吗 ? 村民 开心 地说 : 感谢 谠 , 我们 还 拣到 了 好多 车 , 赚 了 呢 ! 郭再 问 : 房子 有 冲塌 的 吗 ? 村民 : 早 被 强拆 光 了 , 大水 晚 了 一步 . 郭 : 庄稼 受淹 吧 ? 村民 : 没事 , 地 都",disapptime=20120727 15:52:16 5 +0800;lastapptime=20120727 15:50:14 5 +0800;tidstatus=V2PerDny,3019,3471714606842361,3471714606842361,20120725 16:25:26 3 +0800,2477050800.0,everythingElse,censored
"( 1 / 2 ) 《 环球时报 》 评 缅甸 新闻 开放 : 中国 需要 听从 时代 的 召唤 , 顺应 国家 现实 的 前进 , 而 不应 六神无主 , 让 缅甸 , 越南 这样 的 落后 国家 成为 我们 的 图腾 - - 先进 国家 不 学 , 落后 国家 不是 图腾 , 潜台词 : 流氓 到底 . 一家 媒体 面对 落后 国家 都 实行 的 新闻 开放 居然 这么 说话 , 大概 真是 不 把 自己 当 媒体 了 ,",disapptime=20120821 21:37:27 2 +0800;lastapptime=20120821 21:32:28 2 +0800;tidstatus=V2PerDny,879,3481561599095883,3481561599095883,20120821 20:33:52 2 +0800,2608998823.0,china,censored
"( 1 / 2 ) "" 分裂 的 兲 朝 "" 这是 一个 癌症 晚期 , 一个 神经 和 精神 皆 分裂 的 帝国 . 台上 各个 贪污犯 , 却 表演 的 清正 廉洁奉公 . 台下 大多 糊涂蛋 , 却 感觉 到 幸福快乐 迷幻 . 台上 的 把 下面 的 当猴 耍 , 当牛 使 , 当猪 羊 宰割 . 台下 的 把 上面 的 当神敬 , 当爷 看 , 当 爹娘 爱 . 最 分裂 的 是 清醒 者 , 说 台上 被 抓 ! 说 台下 被 笑",disapptime=20120828 10:49:02 2 +0800;lastapptime=20120828 10:45:47 2 +0800;tidstatus=V2PerDny,966,3483946514038642,3483946514038642,20120828 10:30:40 2 +0800,2822688560.0,everythingElse,censored
"( 1 / 2 ) [ 公开 的 谋略 ] 收容遣送 , 劳教 , 计生 暴政 , 户籍制度 ... 每个 局部 具体 恶制 , 单废 哪个 都 显得 还 远远不够 , 但 组合 起来 就是 整个 恶 制度 . 认为 废除 劳教 恶制 意义 不大 的 人 , 幻想 着 来 一场 飓风 把 整座 大厦 卷 走 , 无视 抽掉 一根 根 极权 柱子 的 多米诺 效应 . 公开 的 谋略 , 就是 恶狼 的 毒牙 利爪 非拔 不可 ,",disapptime=20120813 10:30:39 1 +0800;lastapptime=20120813 10:28:21 1 +0800;tidstatus=V2PerDny,840,3478502810807483,3478502810807483,20120813 09:59:19 1 +0800,2608998823.0,everythingElse,censored
"( 1 / 2 ) 人民日报 推出 新 的 黑五类 : 维权 律师 , 地下 宗教 , 异见 人士 , 网络 领袖 , 弱势群体 , 作为 打击 对象 , 这 意图 很 明显 , 就是 用 那翠 手段 阻止 人们 的 正常 诉求 , 把 正常 的 诉求 上升 到 敌我 高度 , 这是 它们 惯用 的 手法 , 制造 假想敌 , 可 在 信息化 时代 这种 手法 已经 不灵 了 , 也 希望 那些 喜欢 意淫 的 家伙 们",disapptime=20120801 11:27:03 3 +0800;lastapptime=20120801 11:21:53 3 +0800;tidstatus=V2PerDny,769,3474163220163825,3474163220163825,20120801 10:35:21 3 +0800,2608998823.0,stability,censored
"( 1 / 2 ) 党中央 要 换届 了 , 由 党中央 选举 党中央 . 我们 平头百姓 只能 做 旁观者 . 其实 , 连观 也 观不上 . 我们 不 知道 是 谁 推荐 了 谁 , 是 什么 理由 , 又 是 谁 推荐 的 被 撤 下来 , 谁 投 了 谁 的 赞成票 , 谁 投 了 反对票 . 也 包括 bxl 的 案件 , 大家 都 极为 关心 , 可是 都 掩盖 得 严严实实 . 叫喊 了 很 久 的 政府 信息 公开 只是 做",disapptime=20120808 19:57:03 3 +0800;lastapptime=20120808 19:47:28 3 +0800;tidstatus=V2PerDny,11688,3476505143705030,3476505143705030,20120807 21:41:19 2 +0800,1786822605.0,boxilai,censored
"( 1 / 2 ) 北京 早报网 : 一条 耐人寻味 的 来自 利比亚 街头 的 标语 : 如果 政府 不能 为 人民 做主 , 那 人民 就要 自己 做主 ; 如果 法制 不能 为 人民 主持公道 , 那 人民 就要 为 自己 主持公道 ; 如果 媒体 不让 人民 发声 , 那 人民 就要 上街 发声 ; 如果 政府 坚持 对 人民 高压 , 那 人民 就要 反抗 到底 . 同意 请 转发 !",disapptime=20120906 09:44:41 4 +0800;lastapptime=20120906 09:38:52 4 +0800;tidstatus=V2PerDny,934,3487181107093643,3487181107093643,20120906 08:43:47 4 +0800,2608998823.0,democracy,censored
