content,error,followers,id,mid,pubdate,uid,topic,class
"( 1 / 2 ) 《 环球时报 》 评 缅甸 新闻 开放 : 中国 需要 听从 时代 的 召唤 , 顺应 国家 现实 的 前进 , 而 不应 六神无主 , 让 缅甸 , 越南 这样 的 落后 国家 成为 我们 的 图腾 - - 先进 国家 不 学 , 落后 国家 不是 图腾 , 潜台词 : 流氓 到底 . 一家 媒体 面对 落后 国家 都 实行 的 新闻 开放 居然 这么 说话 , 大概 真是 不 把 自己 当 媒体 了 ,",disapptime=20120821 21:37:27 2 +0800;lastapptime=20120821 21:32:28 2 +0800;tidstatus=V2PerDny,879,3481561599095883,3481561599095883,20120821 20:33:52 2 +0800,2608998823.0,china,censored
"( 1 / 2 ) 人民日报 推出 新 的 黑五类 : 维权 律师 , 地下 宗教 , 异见 人士 , 网络 领袖 , 弱势群体 , 作为 打击 对象 , 这 意图 很 明显 , 就是 用 那翠 手段 阻止 人们 的 正常 诉求 , 把 正常 的 诉求 上升 到 敌我 高度 , 这是 它们 惯用 的 手法 , 制造 假想敌 , 可 在 信息化 时代 这种 手法 已经 不灵 了 , 也 希望 那些 喜欢 意淫 的 家伙 们",disapptime=20120801 11:27:03 3 +0800;lastapptime=20120801 11:21:53 3 +0800;tidstatus=V2PerDny,769,3474163220163825,3474163220163825,20120801 10:35:21 3 +0800,2608998823.0,stability,censored
"( 1 / 2 ) 党中央 要 换届 了 , 由 党中央 选举 党中央 . 我们 平头百姓 只能 做 旁观者 . 其实 , 连观 也 观不上 . 我们 不 知道 是 谁 推荐 了 谁 , 是 什么 理由 , 又 是 谁 推荐 的 被 撤 下来 , 谁 投 了 谁 的 赞成票 , 谁 投 了 反对票 . 也 包括 bxl 的 案件 , 大家 都 极为 关心 , 可是 都 掩盖 得 严严实实 . 叫喊 了 很 久 的 政府 信息 公开 只是 做",disapptime=20120808 19:57:03 3 +0800;lastapptime=20120808 19:47:28 3 +0800;tidstatus=V2PerDny,11688,3476505143705030,3476505143705030,20120807 21:41:19 2 +0800,1786822605.0,boxilai,censored
"( 1 / 2 ) 北京 早报网 : 一条 耐人寻味 的 来自 利比亚 街头 的 标语 : 如果 政府 不能 为 人民 做主 , 那 人民 就要 自己 做主 ; 如果 法制 不能 为 人民 主持公道 , 那 人民 就要 为 自己 主持公道 ; 如果 媒体 不让 人民 发声 , 那 人民 就要 上街 发声 ; 如果 政府 坚持 对 人民 高压 , 那 人民 就要 反抗 到底 . 同意 请 转发 !",disapptime=20120906 09:44:41 4 +0800;lastapptime=20120906 09:38:52 4 +0800;tidstatus=V2PerDny,934,3487181107093643,3487181107093643,20120906 08:43:47 4 +0800,2608998823.0,democracy,censored
"( 1 / 2 ) 某大 妓院 执事 会 换届 , 唯一 没有 失身 的 淑女 主张 实行 内部 民主 投票 . 老鸨 因为 几个 名妓 争权 伤脑筋 , 破天荒 听取 了 淑女 的 意见 在 妓院 内部 搞 选举 . 投票 结果显示 : 坚决 主张 强迫 淑女 卖身 或 将 其 打死 的 妓女 高票当选 ; 同情 或 理解 淑女 的 良心 妓女 全数 落选 . 那 是 裤裆 性质 决定 的 必然结果 ! |",disapptime=20120805 23:56:34 7 +0800;lastapptime=20120805 23:51:25 7 +0800;tidstatus=V2PerDny,791,3475807035241749,3475807035241749,20120805 23:27:17 7 +0800,2608998823.0,democracy,censored
"( 1 / 2 ) 某 官方 机构 代表 曾 指出 : 中国 实现 全民 免费 医疗 每年 需 花费 1600 亿元 , 目前 中国 不 具备 这个 经济 实力 . 2008 年 奥运会 共 耗费 3000 亿元 , 2010 年 世博会 共 耗费 4000 亿元 , 仅 为了 省 10 分钟 , 沪 杭 磁悬浮 就 耗费 了 350 亿元 , 央视 大楼 花 了 80 亿元 , 仅 北上 广像 央视 这样 的 大楼 就",disapptime=20120820 00:13:33 1 +0800;lastapptime=20120820 00:04:52 1 +0800;tidstatus=V2PerDny,3016,3480866976382559,3480866976382559,20120819 22:33:41 7 +0800,2477050800.0,social,censored
"( 1 / 2 ) 纽约时报 : 杀人案 极为 复杂 , 世界 媒体 高度 关注 , 我们 原以为 中国政府 会 认真对待 此案 , 或 至少 作好 一些 面子 工程 , 完成 一些 正当程序 . 不幸 的 是 , 整个 庭审 仓促 , 草率 , 中国 司法制度 的 丑恶 暴露无遗 . 谷案 都 遭受 如此 待遇 , 可以 想象 那些 成千上万 未受 媒体 关注 的 无名之辈 , 在 法律 面前 将会 遭",disapptime=20120823 17:00:00 4 +0800;lastapptime=20120823 16:44:48 4 +0800;tidstatus=V2PerDny,5588,3482154573286119,3482154573286119,20120823 11:50:08 4 +0800,1768552551.0,china,censored
"( 1 / 2 ) 美苏 比较 : 美国 总统 , 候选人 公开 竞逐 , 由 全民投票 选出 , 总统 有 组阁 权 , 在 任期 内 贯彻 自己 的 施政 理念 , 一言九鼎 , 是 为 集中 . 反观 苏共 常委 制 , 避开 民众 , 经 宫廷 密谋 , 小圈子 圈定 , 完全 反民主 ; 组建 的 常委会 , 名为 “ 集体领导 ” , 实为 寡头政治 , 各自 垄断 机构 , 彼此 隔离 , 互相 防",disapptime=20120808 10:01:34 3 +0800;lastapptime=20120808 09:57:20 3 +0800;tidstatus=V2PerDny;reapptime=20120808 10:18:56 3 +0800,11689,3476679014170936,3476679014170936,20120808 09:12:13 3 +0800,1786822605.0,democracy,censored
"( 1 / 2 ) 没有 内奸 , 中国 肿 么 如此 让 人 敢动 ? 据说 , 2011 - 2012 年度 “ 敢动 中国 奖 ” : 第一名 日本 , 第二名 菲律宾 , 第三名 朝鲜 , 第四名 韩国 , 第五名 泰国 , 第六名 帕劳 , 第七名 印尼 , 第八名 缅甸 , 第九名 尼日利亚 , 第十名 索马里 ( 海盗 ) . 获奖 感言 : 这年头 , 不 占 中国 几个 小岛 , 扣 几艘 中国 渔船 , 抓 几个 中国 人 ,",disapptime=20120821 19:14:59 2 +0800;lastapptime=20120821 17:01:57 2 +0800;tidstatus=V2PerDny,268392,3480066007086754,3480066007086754,20120817 17:30:54 5 +0800,1497327642.0,china,censored
0724 新闻 台风 韦森特 今晨 登陆 广东 ; 伦敦 奥运 开幕式 花 2700 万镑 不及 北京奥运 1 / 300 ; 朝鲜 高学历 人才 赴 中国 就业 月薪 60% 上缴 组织 ; 教育部 拟 规定 农村 已 撤并 学校 有 必要 可 恢复 ; 党报 : 坚持 稳定 房价 是 政治 问题 不得 半点 动摇 ; 厦大 开设 爬树 课 ; 浙江 一 医院院长 同时 与 7 女性 交 包括 两名 13 岁 少女 .,disapptime=20120724 14:02:43 2 +0800;lastapptime=20120724 13:45:05 2 +0800;tidstatus=V2PerDny,1768,3471238498491564,3471238498491564,20120724 08:53:33 2 +0800,2553751315.0,china,censored
