Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,0,3.79397,5.0,0.0,1.0,1.0,47.0,28.0,3.0,8.0,0.8571429,14.0,38.0,9.0,0.0,8.042553,15.0,2.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.9285714,0.0490537,1.527364,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
,1,4.859417,2.0,0.0,1.0,5.0,109.0,63.0,5.0,20.0,0.8888889,26.0,85.0,24.0,0.0,7.495413,35.0,4.0,5.0,12.6,0.0,0.1657143,306.9522,1.2,18.0,0.0,0.0,54.0,0.0,2.0,0.796766,0.0,0.8571429,0.02457388,1.215204,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
,10,4.288756,2.0,0.0,1.0,9.0,95.0,65.0,15.0,25.0,0.5384616,23.0,73.0,21.0,0.0,7.787234,30.0,0.0,9.0,7.222222,0.5,0.0,215.0433,0.1111111,0.0,1.0,0.0,63.0,0.0,4.0,0.5768654,0.0,0.9692308,0.09201906,0.9826006,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
,100,4.940481,2.0,0.0,1.0,4.0,126.0,76.0,3.0,23.0,0.8815789,30.0,100.0,26.0,0.0,7.523809,36.0,7.0,4.0,19.0,0.0,0.0,333.3333,1.5,0.0,0.0,0.0,67.0,1.0,0.0,0.0,1.0,0.8815789,0.04455744,1.62378,0.0,0.00345302594646853,3.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0
,1000,3.711,1.0,0.0,1.0,1.0,13.0,7.0,1.0,2.0,1.0,3.0,12.0,1.0,0.0,6.461538,4.0,1.0,1.0,7.0,1.0,0.0,285.7143,1.0,6.0,0.0,0.0,5.0,0.0,1.0,0.560883,0.0,0.7142857,0.0,2.082057,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
,1001,4.188,1.0,0.0,1.0,3.0,31.0,20.0,3.0,5.0,0.9,5.0,28.0,3.0,0.0,6.903226,9.0,1.0,3.0,6.666667,0.5,1.0,252.6455,0.6666667,6.0,0.0,0.0,14.0,0.0,3.0,1.149316,0.0,0.7,0.0,2.087384,0.0,0.00345302594646853,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
,1002,3.747,1.0,0.0,1.0,2.0,19.0,12.0,2.0,4.0,1.0,3.0,15.0,4.0,0.0,8.368421,5.0,1.0,2.0,6.0,1.0,1.0,312.5,0.0,6.0,0.0,0.0,10.0,0.0,2.0,0.7884327,0.0,0.8333333,0.0,2.337384,0.0,0.00345302594646853,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
,1003,3.711,1.0,0.0,1.0,1.0,11.0,7.0,1.0,3.0,1.0,3.0,9.0,2.0,0.0,7.090909,4.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.7142857,0.0,2.223682,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
,1004,3.826784,2.0,0.0,1.0,2.0,41.0,22.0,6.0,7.0,0.9545454,13.0,36.0,5.0,0.0,7.414634,11.0,1.0,2.0,11.0,1.0,0.0,300.0,0.0,7.0,0.0,0.5,19.0,1.0,1.0,0.560883,0.0,0.8636364,0.01672389,1.578219,1.0,0.0224359927074564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
,1005,4.263856,2.0,0.0,1.0,3.0,49.0,34.0,6.0,8.0,0.9117647,9.0,41.0,7.0,1.0,7.510204,11.0,2.0,3.0,11.33333,0.5,1.111111,342.8571,0.3333333,14.0,0.0,0.0,28.0,2.0,1.0,0.1608831,0.0,0.8235294,0.01114926,2.035536,0.0,0.00345302594646853,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
,1006,3.697,1.0,0.0,1.0,1.0,10.0,6.0,1.0,1.0,1.0,2.0,10.0,0.0,0.0,5.1,4.0,0.0,1.0,6.0,1.0,0.0,333.3333,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.560883,0.0,0.8333333,0.0,1.520685,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
,1007,3.795,1.0,0.0,1.0,1.0,39.0,22.0,6.0,6.0,1.0,9.0,38.0,1.0,0.0,6.307693,9.0,4.0,1.0,22.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.8181818,0.0,1.827984,0.0,0.00345302594646853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
,1008,4.845092,2.0,0.0,1.0,8.0,105.0,73.0,2.0,14.0,0.7260274,28.0,90.0,15.0,0.0,6.933333,26.0,3.0,8.0,9.125,0.0,0.4605655,408.8358,0.125,27.0,0.0,0.0,68.0,0.0,5.0,1.471082,0.0,0.9315069,0.06623495,0.9895089,0.0,0.00345302594646853,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0
