Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,40001,3.67194,1.0,1.0,1,3,30,19,4,6,0.8947368,5,22,8,0,8.333333,11,0,3,6.333333,1.0,0.0,206.3492,0.3333333,7,0,0.0,15,1,2,0.2217661,0,0.7894737,0.04631231,1.276694,0,0.001448,0,0,0,0,1,0,1,0,0,1,0,0,0,13
,40002,4.648096,2.0,11.0,1,8,123,68,17,19,0.8529412,33,106,17,0,7.414634,42,2,8,8.5,0.3333333,0.4270833,250.3418,0.0,13,0,0.0,60,2,4,1.493532,0,0.8823529,0.03975868,1.551364,0,0.001448,0,0,0,0,3,3,0,0,1,0,0,0,0,53
,40003,3.697,,,1,1,8,2,1,1,1.0,2,8,0,0,4.625,0,0,1,2.0,1.0,0.0,0.0,0.0,0,0,0.0,2,0,0,0.0,0,1.0,0.0,,0,0.001448,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,40004,4.827106,2.0,1.0,1,7,82,57,13,9,0.877193,17,66,15,0,7.197531,21,2,7,8.142858,0.0,0.1071429,316.9501,0.7142857,6,0,0.0,45,1,4,1.910199,1,0.7894737,0.02202659,2.116871,0,0.001448,5,5,4,1,0,0,0,0,0,0,0,0,0,41
,40005,4.198,1.0,10.0,1,3,32,17,4,4,1.0,7,31,1,0,7.0625,7,1,3,5.666667,0.5,0.1111111,337.3016,0.3333333,6,0,0.0,14,1,3,1.482649,0,0.8235294,0.0,1.587833,0,0.001448,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,40006,4.745,2.0,1.0,1,2,44,30,5,9,0.9666666,14,36,8,0,7.090909,9,1,2,15.0,0.0,0.5,291.8552,0.0,8,0,0.0,27,0,0,0.0,0,0.9,0.0,1.940525,0,0.001448,1,1,0,0,0,0,0,0,0,0,0,0,0,27
,40007,3.683,1.0,12.0,1,1,13,7,1,3,1.0,1,12,1,0,7.0,3,0,1,7.0,1.0,1.0,285.7143,0.0,6,0,1.0,6,0,1,0.360883,0,0.8571429,0.0,1.403386,1,0.018552,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,40008,3.683,1.0,,1,1,4,2,0,2,1.0,1,4,0,0,5.25,2,0,1,2.0,1.0,0.0,0.0,0.0,0,0,0.0,2,0,1,0.560883,0,1.0,0.0,1.892095,0,0.001448,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,40009,3.730884,1.0,1.0,1,5,38,24,7,4,0.7083333,11,27,11,0,7.552631,8,0,5,4.8,1.0,0.1,233.3333,0.0,0,1,0.0,19,0,3,1.682649,0,0.7916667,0.06361617,2.061089,0,0.001448,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,40010,3.697,1.0,1.0,1,2,6,4,0,2,1.0,2,4,2,0,7.0,2,0,2,2.0,1.0,0.0,500.0,0.0,0,0,0.0,3,0,2,1.121766,0,0.75,0.0,1.213427,0,0.001448,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,40011,3.683,1.0,12.0,1,1,6,4,0,2,1.0,1,6,0,0,6.666667,2,0,1,4.0,1.0,0.0,250.0,1.0,0,0,0.0,3,0,1,0.560883,0,0.75,0.0,0.9460473,0,0.001448,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,40012,4.689,1.0,12.0,1,3,38,23,4,8,1.0,10,33,5,0,7.026316,13,1,3,7.666667,0.0,0.3333333,302.5641,0.6666667,8,0,0.0,20,0,2,0.7884327,1,0.8695652,0.0,2.185848,0,0.001448,1,1,0,0,0,0,0,0,0,0,0,0,0,20
,40013,3.789,1.0,1.0,1,1,28,16,2,5,0.9375,6,25,3,0,7.392857,12,0,1,16.0,1.0,0.25,250.0,1.0,7,0,0.0,11,0,0,0.0,0,0.6875,0.0,1.96817,0,0.001448,2,2,0,0,0,0,0,0,0,0,0,0,0,11
,40014,4.319676,1.0,1.0,1,4,51,29,5,16,0.9310345,17,43,8,0,7.54902,20,1,4,7.25,0.5,0.5,208.2341,0.0,6,0,0.0,26,0,0,0.0,0,0.8965517,0.02508583,1.796713,0,0.001448,1,1,1,0,0,0,0,0,0,0,0,0,0,24
,40015,4.738939,2.0,1.0,1,3,69,47,12,14,0.8085107,17,55,12,0,7.238806,19,0,3,15.66667,0.0,0.1666667,217.184,3.0,24,0,0.0,31,1,0,0.0,0,0.6595744,0.02076069,1.740138,0,0.001448,0,0,0,0,1,0,1,0,0,1,0,0,0,29
