idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
0,3.79397,5.0,0.0,1.0,1.0,47.0,28.0,0.10714285714285714,0.2857142857142857,0.8571429,0.5,0.8085106382978723,0.19148936170212766,0.0,8.042553,0.5357142857142857,0.07142857142857142,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.07142857142857142,0.9285714,0.0490537,1.527364,0.0,0.003453026,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,censored
1,4.859417,2.0,0.0,1.0,5.0,109.0,63.0,0.07936507936507936,0.31746031746031744,0.8888889000000001,0.4126984126984127,0.7798165137614679,0.22018348623853212,0.0,7.495413,0.5555555555555556,0.06349206349206349,5.0,12.6,0.0,0.16571429999999998,306.9522,1.2,3.6,0.0,0.0,0.8571428571428571,0.0,0.4,0.796766,0.0,0.8571429,0.02457388,1.2152040000000002,0.0,0.003453026,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,censored
2,3.923538,1.0,0.0,1.0,10.0,106.0,63.0,0.14285714285714285,0.3492063492063492,0.7142857,0.2857142857142857,0.8962264150943396,0.09433962264150944,0.0,7.628572,0.5873015873015873,0.0,10.0,6.3,0.8888889000000001,0.0,333.6869,0.0,1.2,0.0,0.0,0.9523809523809523,0.0,0.7,3.026181,0.0,0.952381,0.07682298,1.406618,0.0,0.003453026,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6984126984126984,censored
3,4.13181,1.0,0.0,1.0,9.0,102.0,71.0,0.2112676056338028,0.323943661971831,0.7183099000000001,0.28169014084507044,0.8137254901960784,0.18627450980392157,0.0,6.9607839999999985,0.39436619718309857,0.0,9.0,7.888889,0.7142857,0.2222222,247.5308,0.2222222,0.0,0.0,0.0,0.7605633802816901,0.014084507042253521,0.8888888888888888,2.614842,0.0,0.7605634,0.06869908,1.426515,0.0,0.003453026,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915492957746479,censored
4,4.771907,2.0,0.0,1.0,6.0,114.0,64.0,0.234375,0.25,0.75,0.34375,0.8421052631578947,0.15789473684210525,0.0,7.903509,0.65625,0.015625,6.0,10.66667,0.0,0.26388890000000004,302.8075,0.3333333,2.1666666666666665,0.0,0.0,0.859375,0.046875,0.6666666666666666,1.118532,0.0,0.859375,0.07119656,2.2606,0.0,0.003453026,0.03125,0.03125,0.015625,0.0,0.015625,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.671875,censored
5,4.4661050000000015,2.0,0.0,1.0,7.0,113.0,78.0,0.16666666666666666,0.24358974358974358,0.6794872,0.4230769230769231,0.7787610619469026,0.21238938053097345,0.0,7.928571000000002,0.3333333333333333,0.038461538461538464,7.0,11.14286,0.5,0.3738095,332.1886,1.285714,4.285714285714286,0.0,0.0,0.7564102564102564,0.0,0.5714285714285714,0.5768654000000001,0.0,0.7564102,0.06622563,1.559918,0.0,0.003453026,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6025641025641025,censored
6,4.986619,2.0,0.0,1.0,7.0,115.0,71.0,0.15492957746478872,0.2676056338028169,0.8169014,0.5211267605633803,0.8,0.2,0.0,7.93913,0.5492957746478874,0.014084507042253521,7.0,10.14286,0.0,0.2222222,280.3062,0.1428571,2.0,0.0,0.0,0.8591549295774648,0.0,0.5714285714285714,1.626866,0.0,0.8591549,0.04308116,1.291246,0.0,0.003453026,0.0,0.0,0.0,0.0,0.04225352112676056,0.028169014084507043,0.04225352112676056,0.014084507042253521,0.0,0.028169014084507043,0.0,0.0,0.0,0.7464788732394366,censored
7,4.84136,2.0,0.0,1.0,6.0,115.0,63.0,0.12698412698412698,0.20634920634920634,0.9047619,0.38095238095238093,0.808695652173913,0.19130434782608696,0.0,7.46087,0.6190476190476191,0.07936507936507936,6.0,10.5,0.0,0.5333334,322.381,0.5,3.0,0.0,0.0,0.8571428571428571,0.0,0.8333333333333334,1.721082,0.0,0.8571429,0.01770765,1.431175,0.0,0.003453026,0.015873015873015872,0.0,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.8095238095238095,censored
8,4.756381,2.0,0.0,1.0,6.0,114.0,72.0,0.3472222222222222,0.2638888888888889,0.6666667,0.19444444444444445,0.8508771929824561,0.14912280701754385,0.0,7.368421,0.3055555555555556,0.09722222222222222,6.0,12.0,0.0,0.4166667000000001,240.8029,0.3333333,4.666666666666667,0.0,0.0,0.7638888888888888,0.027777777777777776,0.6666666666666666,1.237977,0.0,0.7638889,0.09158781,1.89,0.0,0.003453026,0.125,0.125,0.027777777777777776,0.0,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,censored
9,4.5734330000000005,2.0,0.0,1.0,8.0,111.0,64.0,0.1875,0.28125,0.546875,0.265625,0.8918918918918919,0.10810810810810811,0.0,6.711712,0.625,0.03125,8.0,8.0,0.0,0.0,290.5958,0.25,0.875,0.0,0.0,0.875,0.0,1.0,2.660874,0.015625,0.875,0.1599222,1.609634,0.0,0.003453026,0.03125,0.03125,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.5,censored
