idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
4,4.771907,2.0,0.0,1.0,6.0,114.0,64.0,0.234375,0.25,0.75,0.34375,0.8421052631578947,0.15789473684210525,0.0,7.903509,0.65625,0.015625,6.0,10.66667,0.0,0.26388890000000004,302.8075,0.3333333,2.1666666666666665,0.0,0.0,0.859375,0.046875,0.6666666666666666,1.118532,0.0,0.859375,0.07119656,2.2606,0.0,0.0034530259999999997,0.03125,0.03125,0.015625,0.0,0.015625,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.671875,censored
7,4.84136,2.0,0.0,1.0,6.0,115.0,63.0,0.12698412698412698,0.20634920634920634,0.9047619,0.38095238095238093,0.808695652173913,0.19130434782608696,0.0,7.46087,0.6190476190476191,0.07936507936507936,6.0,10.5,0.0,0.5333334,322.381,0.5,3.0,0.0,0.0,0.8571428571428571,0.0,0.8333333333333334,1.721082,0.0,0.8571429,0.01770765,1.431175,0.0,0.0034530259999999997,0.015873015873015872,0.0,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.8095238095238095,censored
8,4.756381,2.0,0.0,1.0,6.0,114.0,72.0,0.3472222222222222,0.2638888888888889,0.6666667,0.19444444444444445,0.8508771929824561,0.14912280701754385,0.0,7.3684210000000006,0.3055555555555556,0.09722222222222222,6.0,12.0,0.0,0.4166667000000001,240.8029,0.3333333,4.666666666666667,0.0,0.0,0.7638888888888888,0.027777777777777776,0.6666666666666666,1.237977,0.0,0.7638889,0.09158781,1.89,0.0,0.0034530259999999997,0.125,0.125,0.027777777777777776,0.0,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,censored
9,4.5734330000000005,2.0,0.0,1.0,8.0,111.0,64.0,0.1875,0.28125,0.546875,0.265625,0.8918918918918919,0.10810810810810811,0.0,6.7117119999999995,0.625,0.03125,8.0,8.0,0.0,0.0,290.5958,0.25,0.875,0.0,0.0,0.875,0.0,1.0,2.660874,0.015625,0.875,0.15992220000000001,1.609634,0.0,0.0034530259999999997,0.03125,0.03125,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.5,censored
12,4.442508,2.0,0.0,1.0,4.0,117.0,66.0,0.10606060606060606,0.25757575757575757,0.7878788000000001,0.45454545454545453,0.7948717948717948,0.18803418803418803,0.0,7.626086999999999,0.6666666666666666,0.030303030303030304,4.0,16.5,0.5,0.2,330.0653,0.5,3.5,0.0,0.25,0.8181818181818182,0.015151515151515152,0.5,0.5662105,0.015151515151515152,0.8181818000000001,0.05351645,0.7547432,0.015151515151515152,0.022435992999999998,0.0,0.0,0.0,0.015151515151515152,0.045454545454545456,0.045454545454545456,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.6818181818181818,censored
13,4.710668,2.0,0.0,1.0,6.0,96.0,58.0,0.1896551724137931,0.22413793103448276,0.7586206999999999,0.3620689655172414,0.8854166666666666,0.11458333333333333,0.0,6.9479169999999995,0.5862068965517241,0.034482758620689655,6.0,9.666667,0.0,0.03333334,391.2749,0.3333333,3.0,0.0,0.0,0.9137931034482759,0.017241379310344827,0.6666666666666666,0.8435322000000001,0.0,0.9137931,0.07895906,1.8037560000000001,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,censored
14,4.835654,2.0,0.0,1.0,8.0,117.0,66.0,0.21212121212121213,0.2727272727272727,0.8787879000000001,0.36363636363636365,0.8632478632478633,0.1282051282051282,0.008547008547008548,7.572649,0.6060606060606061,0.015151515151515152,8.0,8.25,0.0,0.04166666,257.6341,0.125,1.625,0.0,0.0,0.8939393939393939,0.0,0.5,0.8863893,0.0,0.8939394,0.03407887,1.191767,0.0,0.0034530259999999997,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803030303030303,censored
15,4.449282,2.0,0.0,1.0,4.0,106.0,57.0,0.12280701754385964,0.3684210526315789,0.9473684000000001,0.40350877192982454,0.8207547169811321,0.1792452830188679,0.0,7.537736,0.5789473684210527,0.08771929824561403,4.0,14.25,0.5,0.08333333,388.1945,0.75,5.0,0.0,0.25,0.8947368421052632,0.0,0.5,0.3717660999999999,0.017543859649122806,0.8947368,0.0060206,1.29331,0.017543859649122806,0.022435992999999998,0.05263157894736842,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771929824561403,censored
18,4.374035,2.0,0.0,1.0,4.0,107.0,65.0,0.03076923076923077,0.16923076923076924,0.7384616,0.4,0.7757009345794392,0.22429906542056074,0.0,6.962617,0.5076923076923077,0.046153846153846156,4.0,16.25,0.5,0.4444443,224.0741,0.0,1.5,0.0,0.0,1.0,0.03076923076923077,0.5,0.4550992999999999,0.0,1.0,0.06213066,1.527041,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384615384615385,censored
30,4.039969,2.0,0.0,1.0,7.0,112.0,66.0,0.06060606060606061,0.25757575757575757,0.9848485,0.4090909090909091,0.8035714285714286,0.19642857142857142,0.0,7.714286,0.5757575757575758,0.06060606060606061,7.0,9.428572,1.0,0.3690476,380.2198,0.0,1.8571428571428572,0.0,0.0,0.9545454545454546,0.0,0.42857142857142855,1.432649,0.015151515151515152,0.9545454,0.004855323,1.143553,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393939393939394,censored
