idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
4,4.771907,2.0,0.0,1.0,6.0,114.0,64.0,15.0,16.0,0.75,22.0,96.0,18.0,0.0,7.903509,42.0,1.0,6.0,10.66667,0.0,0.26388890000000004,302.8075,0.3333333,13.0,0.0,0.0,55.0,3.0,4.0,1.118532,0.0,0.859375,0.07119656,2.2606,0.0,0.0034530259999999997,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,64,32.0,0.0,67.19,39.06,3.12,3.12,1.56,1.56,0.0,0.0,0.0,0.0,0.0,4.69,3.12,15.62,3.12,4.69,0.0,0.0,0.0,3.12,0.0,0.0,1.56,1.56,9.38,1.56,9.38,3.12,0.0,3.12,0.0,3.12,0.0,3.12,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,18.75,3.12,4.69,1.56,1.56,1.56,6.25,1.56,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,9.38,3.12,4.69,3.12,1.56,0.0,23.44,6.25,18.75,3.12,12.5,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.56,0.0,0.0,25.0,1.56,12.5,3.12,0.0,0.0,0.0,3.12,0.0,0.0,3.12,1.56,0.00460876,0.995391,0,0.00238541,0.00249552,11,5.818181817999999,1.941020916,879,china,censored
7,4.84136,2.0,0.0,1.0,6.0,115.0,63.0,8.0,13.0,0.9047619,24.0,93.0,22.0,0.0,7.46087,39.0,5.0,6.0,10.5,0.0,0.5333334,322.381,0.5,18.0,0.0,0.0,54.0,0.0,5.0,1.721082,0.0,0.8571429,0.01770765,1.431175,0.0,0.0034530259999999997,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,64,64.0,0.0,59.38,28.12,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,6.25,1.56,4.69,1.56,0.0,0.0,0.0,0.0,4.69,1.56,0.0,1.56,3.12,10.94,1.56,10.94,1.56,0.0,3.12,0.0,6.25,3.12,3.12,1.56,0.0,1.56,4.69,0.0,1.56,0.0,0.0,14.06,4.69,1.56,6.25,1.56,3.12,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,3.12,4.69,0.0,1.56,12.5,4.69,4.69,4.69,4.69,1.56,0.0,0.0,1.56,0.0,4.69,0.0,0.0,3.12,1.56,1.56,25.0,0.0,18.75,1.56,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.56,0.0391144,0.960886,0,0.00226858,0.00259241,11,5.818181817999999,1.941014269,769,stability,censored
8,4.756381,2.0,0.0,1.0,6.0,114.0,72.0,25.0,19.0,0.6666667,14.0,97.0,17.0,0.0,7.3684210000000006,22.0,7.0,6.0,12.0,0.0,0.4166667000000001,240.8029,0.3333333,28.0,0.0,0.0,55.0,2.0,4.0,1.237977,0.0,0.7638889,0.09158781,1.89,0.0,0.0034530259999999997,9.0,9.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,72,12.0,0.0,73.61,37.5,5.56,4.17,0.0,4.17,0.0,0.0,0.0,0.0,1.39,2.78,2.78,9.72,5.56,1.39,0.0,1.39,0.0,8.33,0.0,0.0,0.0,8.33,18.06,6.94,18.06,5.56,9.72,2.78,0.0,4.17,1.39,2.78,0.0,1.39,0.0,18.06,0.0,0.0,0.0,0.0,27.78,9.72,1.39,1.39,8.33,1.39,4.17,1.39,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,6.94,4.17,0.0,1.39,0.0,1.39,9.72,6.94,1.39,1.39,1.39,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,22.22,6.94,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,1.39,0.0171912,0.982809,0,0.00215923,0.00244613,11,6.545454545,2.183353302,11688,boxilai,censored
9,4.5734330000000005,2.0,0.0,1.0,8.0,111.0,64.0,12.0,18.0,0.546875,17.0,99.0,12.0,0.0,6.7117119999999995,40.0,2.0,8.0,8.0,0.0,0.0,290.5958,0.25,7.0,0.0,0.0,56.0,0.0,8.0,2.660874,1.0,0.875,0.15992220000000001,1.609634,0.0,0.0034530259999999997,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,59,29.5,0.0,69.49,42.37,10.17,3.39,3.39,0.0,0.0,0.0,0.0,0.0,6.78,8.47,10.17,1.69,6.78,5.08,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,3.39,0.0,0.0,3.39,0.0,5.08,1.69,1.69,0.0,1.69,0.0,22.03,0.0,0.0,0.0,0.0,13.56,3.39,0.0,10.17,6.78,0.0,3.39,3.39,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,13.56,1.69,1.69,10.17,0.0,0.0,1.69,1.69,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,3.39,6.78,1.69,23.73,1.69,6.78,3.39,5.08,0.0,1.69,0.0,0.0,0.0,3.39,1.69,0.024828,0.9751719999999999,0,0.00205163,0.0014568,11,5.3636363639999995,1.789048265,934,democracy,censored
12,4.442508,2.0,0.0,1.0,4.0,117.0,66.0,7.0,17.0,0.7878788000000001,30.0,93.0,22.0,0.0,7.626086999999999,44.0,2.0,4.0,16.5,0.5,0.2,330.0653,0.5,14.0,0.0,0.25,54.0,1.0,2.0,0.5662105,1.0,0.8181818000000001,0.05351645,0.7547432,1.0,0.022435992999999998,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,64,16.0,0.0,56.25,25.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,3.12,1.56,4.69,4.69,1.56,0.0,0.0,0.0,3.12,0.0,0.0,1.56,1.56,9.38,1.56,9.38,4.69,0.0,3.12,3.12,10.94,6.25,6.25,1.56,0.0,1.56,17.19,0.0,0.0,9.38,0.0,15.62,7.81,1.56,1.56,3.12,3.12,4.69,1.56,0.0,1.56,0.0,3.12,0.0,0.0,3.12,0.0,10.94,1.56,4.69,4.69,0.0,1.56,4.69,0.0,4.69,0.0,1.56,0.0,0.0,0.0,0.0,0.0,7.81,3.12,0.0,3.12,1.56,0.0,18.75,4.69,3.12,1.56,1.56,0.0,1.56,0.0,0.0,0.0,3.12,3.12,0.0178702,0.98213,0,0.00186041,0.0023101999999999997,11,5.818181817999999,1.9407841430000001,791,democracy,censored
13,4.710668,2.0,0.0,1.0,6.0,96.0,58.0,11.0,13.0,0.7586206999999999,21.0,85.0,11.0,0.0,6.9479169999999995,34.0,2.0,6.0,9.666667,0.0,0.03333334,391.2749,0.3333333,18.0,0.0,0.0,53.0,1.0,4.0,0.8435322000000001,0.0,0.9137931,0.07895906,1.8037560000000001,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66,33.0,0.0,54.55,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,15.15,4.55,1.52,4.55,0.0,1.52,6.06,1.52,1.52,0.0,3.03,4.55,3.03,4.55,0.0,0.0,22.73,0.0,3.03,1.52,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,3.03,0.0,0.0,1.52,0.0,1.52,0.0,0.0,0.0,0.0,1.52,0.0,1.52,0.0,0.0,7.58,0.0,4.55,3.03,1.52,0.0,6.06,0.0,1.52,4.55,6.06,0.0,3.03,4.55,0.0,0.0,6.06,0.0,0.0,3.03,0.0,3.03,16.67,1.52,9.09,1.52,0.0,0.0,0.0,0.0,0.0,0.0,3.03,1.52,0.686284,0.313717,2,0.00108382,0.00089257,9,7.333333333,2.445103241,3016,social,censored
14,4.835654,2.0,0.0,1.0,8.0,117.0,66.0,14.0,18.0,0.8787879000000001,24.0,101.0,15.0,1.0,7.572649,40.0,1.0,8.0,8.25,0.0,0.04166666,257.6341,0.125,13.0,0.0,0.0,59.0,0.0,4.0,0.8863893,0.0,0.8939394,0.03407887,1.191767,0.0,0.0034530259999999997,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,56,18.67,0.0,51.79,30.36,3.57,1.79,0.0,1.79,0.0,0.0,0.0,0.0,1.79,3.57,3.57,5.36,3.57,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,5.36,3.57,0.0,3.57,5.36,10.71,3.57,7.14,0.0,1.79,1.79,1.79,0.0,0.0,0.0,0.0,16.07,3.57,1.79,3.57,7.14,1.79,1.79,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,1.79,1.79,1.79,1.79,1.79,10.71,0.0,7.14,3.57,5.36,0.0,0.0,1.79,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,26.79,3.57,16.07,1.79,0.0,0.0,0.0,0.0,0.0,0.0,3.57,1.79,0.12456400000000001,0.8754360000000001,0,0.00188218,0.00172973,10,5.6,1.8678706369999998,5588,china,censored
15,4.449282,2.0,0.0,1.0,4.0,106.0,57.0,7.0,21.0,0.9473684000000001,23.0,87.0,19.0,0.0,7.537736,33.0,5.0,4.0,14.25,0.5,0.08333333,388.1945,0.75,20.0,0.0,0.25,51.0,0.0,2.0,0.3717660999999999,1.0,0.8947368,0.0060206,1.29331,1.0,0.022435992999999998,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,55,27.5,0.0,45.45,23.64,3.64,1.82,1.82,0.0,0.0,0.0,0.0,0.0,1.82,9.09,0.0,7.27,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,3.64,1.82,0.0,3.64,0.0,1.82,0.0,1.82,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,1.82,5.45,7.27,0.0,1.82,9.09,1.82,7.27,1.82,7.27,0.0,0.0,1.82,1.82,0.0,1.82,0.0,0.0,1.82,0.0,0.0,41.82,1.82,27.27,1.82,1.82,0.0,0.0,0.0,3.64,0.0,3.64,1.82,0.80057,0.19943,2,0.00125612,0.00109951,11,5.0,1.667451877,11689,democracy,censored
18,4.374035,2.0,0.0,1.0,4.0,107.0,65.0,2.0,11.0,0.7384616,26.0,83.0,24.0,0.0,6.962617,33.0,3.0,4.0,16.25,0.5,0.4444443,224.0741,0.0,6.0,0.0,0.0,65.0,2.0,2.0,0.4550992999999999,0.0,1.0,0.06213066,1.527041,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,55,18.33,0.0,40.0,29.09,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,1.82,1.82,5.45,1.82,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,1.82,5.45,3.64,1.82,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,9.09,0.0,3.64,0.0,1.82,1.82,3.64,1.82,0.0,0.0,1.82,1.82,0.0,1.82,0.0,0.0,3.64,0.0,1.82,0.0,0.0,1.82,3.64,0.0,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09,1.82,27.27,3.64,0.0,1.82,0.0,1.82,3.64,0.0,7.27,1.82,0.204727,0.795273,0,0.00101711,0.00041967,9,6.1111111110000005,2.0375159640000002,268392,china,censored
30,4.039969,2.0,0.0,1.0,7.0,112.0,66.0,4.0,17.0,0.9848485,27.0,90.0,22.0,0.0,7.714286,38.0,4.0,7.0,9.428572,1.0,0.3690476,380.2198,0.0,13.0,0.0,0.0,63.0,0.0,3.0,1.432649,1.0,0.9545454,0.004855323,1.143553,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,65,65.0,0.0,36.92,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,4.62,3.08,3.08,1.54,1.54,0.0,0.0,3.08,1.54,1.54,0.0,1.54,0.0,0.0,0.0,1.54,0.0,12.31,1.54,3.08,0.0,3.08,1.54,0.0,0.0,6.15,0.0,0.0,3.08,0.0,7.69,1.54,0.0,4.62,1.54,3.08,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,9.23,0.0,3.08,4.62,0.0,1.54,6.15,1.54,3.08,1.54,7.69,0.0,0.0,1.54,0.0,0.0,3.08,0.0,0.0,3.08,0.0,0.0,15.38,1.54,0.0,1.54,9.23,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.128709,0.871291,0,0.00087837,0.0003951,10,6.5,2.1670911569999998,1768,china,censored
