idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
0,3.79397,5,0,1,1,47,28,3,8,0.8571429,14,38,9,0,8.042553,15,2,1,28,1,0,0,0,0,0,0,26,0,0,0,2,0.9285714,0.0490537,1.527364,0,0.003453026,0,0,0,0,2,2,0,0,0,0,0,0,0,22,censored
1,4.859417,2,0,1,5,109,63,5,20,0.8888889,26,85,24,0,7.495413,35,4,5,12.6,0,0.1657143,306.9522,1.2,18,0,0,54,0,2,0.796766,0,0.8571429,0.02457388,1.215204,0,0.003453026,0,0,0,0,1,1,0,0,0,0,0,0,0,49,censored
2,3.923538,1,0,1,10,106,63,9,22,0.7142857,18,95,10,0,7.628572,37,0,10,6.3,0.8888889,0,333.6869,0,12,0,0,60,0,7,3.026181,0,0.952381,0.07682298,1.406618,0,0.003453026,0,1,0,0,0,0,0,0,0,0,0,0,0,44,censored
3,4.13181,1,0,1,9,102,71,15,23,0.7183099,20,83,19,0,6.960784,28,0,9,7.888889,0.7142857,0.2222222,247.5308,0.2222222,0,0,0,54,1,8,2.614842,0,0.7605634,0.06869908,1.426515,0,0.003453026,2,2,2,0,0,0,0,0,0,0,0,0,0,42,censored
4,4.771907,2,0,1,6,114,64,15,16,0.75,22,96,18,0,7.903509,42,1,6,10.66667,0,0.2638889,302.8075,0.3333333,13,0,0,55,3,4,1.118532,0,0.859375,0.07119656,2.2606,0,0.003453026,2,2,1,0,1,0,1,0,0,0,0,0,0,43,censored
5,4.466105,2,0,1,7,113,78,13,19,0.6794872,33,88,24,0,7.928571,26,3,7,11.14286,0.5,0.3738095,332.1886,1.285714,30,0,0,59,0,4,0.5768654,0,0.7564102,0.06622563,1.559918,0,0.003453026,0,0,0,0,1,1,0,0,0,0,0,0,0,47,censored
6,4.986619,2,0,1,7,115,71,11,19,0.8169014,37,92,23,0,7.93913,39,1,7,10.14286,0,0.2222222,280.3062,0.1428571,14,0,0,61,0,4,1.626866,0,0.8591549,0.04308116,1.291246,0,0.003453026,0,0,0,0,3,2,3,1,0,2,0,0,0,53,censored
7,4.84136,2,0,1,6,115,63,8,13,0.9047619,24,93,22,0,7.46087,39,5,6,10.5,0,0.5333334,322.381,0.5,18,0,0,54,0,5,1.721082,0,0.8571429,0.01770765,1.431175,0,0.003453026,1,0,0,1,1,1,1,0,0,1,0,0,0,51,censored
8,4.756381,2,0,1,6,114,72,25,19,0.6666667,14,97,17,0,7.368421,22,7,6,12,0,0.4166667,240.8029,0.3333333,28,0,0,55,2,4,1.237977,0,0.7638889,0.09158781,1.89,0,0.003453026,9,9,2,0,2,1,1,1,0,0,0,0,0,40,censored
9,4.573433,2,0,1,8,111,64,12,18,0.546875,17,99,12,0,6.711712,40,2,8,8,0,0,290.5958,0.25,7,0,0,56,0,8,2.660874,1,0.875,0.1599222,1.609634,0,0.003453026,2,2,0,0,4,4,0,0,0,4,0,0,0,32,censored
