idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
0,3.79397,5.0,0.0,1.0,1.0,47.0,28.0,3.0,8.0,0.8571429,14.0,38.0,9.0,0.0,8.042553,15.0,2.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.9285714,0.0490537,1.527364,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,censored
1,4.859417,2.0,0.0,1.0,5.0,109.0,63.0,5.0,20.0,0.8888889000000001,26.0,85.0,24.0,0.0,7.495413,35.0,4.0,5.0,12.6,0.0,0.16571429999999998,306.9522,1.2,18.0,0.0,0.0,54.0,0.0,2.0,0.796766,0.0,0.8571429,0.02457388,1.2152040000000002,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,censored
2,3.9235379999999997,1.0,0.0,1.0,10.0,106.0,63.0,9.0,22.0,0.7142857,18.0,95.0,10.0,0.0,7.628572,37.0,0.0,10.0,6.3,0.8888889000000001,0.0,333.6869,0.0,12.0,0.0,0.0,60.0,0.0,7.0,3.0261810000000002,0.0,0.9523809999999999,0.07682298,1.406618,0.0,0.0034530259999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,censored
3,4.13181,1.0,0.0,1.0,9.0,102.0,71.0,15.0,23.0,0.7183099000000001,20.0,83.0,19.0,0.0,6.960783999999999,28.0,0.0,9.0,7.888889,0.7142857,0.2222222,247.5308,0.2222222,0.0,0.0,0.0,54.0,1.0,8.0,2.614842,0.0,0.7605634,0.06869908,1.426515,0.0,0.0034530259999999997,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,censored
4,4.771907,2.0,0.0,1.0,6.0,114.0,64.0,15.0,16.0,0.75,22.0,96.0,18.0,0.0,7.903509,42.0,1.0,6.0,10.66667,0.0,0.26388890000000004,302.8075,0.3333333,13.0,0.0,0.0,55.0,3.0,4.0,1.118532,0.0,0.859375,0.07119656,2.2606,0.0,0.0034530259999999997,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,censored
5,4.466105000000001,2.0,0.0,1.0,7.0,113.0,78.0,13.0,19.0,0.6794872,33.0,88.0,24.0,0.0,7.928571000000001,26.0,3.0,7.0,11.14286,0.5,0.37380949999999996,332.1886,1.285714,30.0,0.0,0.0,59.0,0.0,4.0,0.5768654000000001,0.0,0.7564102,0.06622563,1.5599180000000001,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,censored
6,4.986619,2.0,0.0,1.0,7.0,115.0,71.0,11.0,19.0,0.8169014,37.0,92.0,23.0,0.0,7.9391300000000005,39.0,1.0,7.0,10.14286,0.0,0.2222222,280.3062,0.14285710000000001,14.0,0.0,0.0,61.0,0.0,4.0,1.626866,0.0,0.8591549,0.04308116,1.291246,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,53.0,censored
7,4.84136,2.0,0.0,1.0,6.0,115.0,63.0,8.0,13.0,0.9047619,24.0,93.0,22.0,0.0,7.46087,39.0,5.0,6.0,10.5,0.0,0.5333334,322.381,0.5,18.0,0.0,0.0,54.0,0.0,5.0,1.721082,0.0,0.8571429,0.01770765,1.431175,0.0,0.0034530259999999997,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,censored
8,4.756381,2.0,0.0,1.0,6.0,114.0,72.0,25.0,19.0,0.6666667,14.0,97.0,17.0,0.0,7.3684210000000006,22.0,7.0,6.0,12.0,0.0,0.41666670000000006,240.8029,0.3333333,28.0,0.0,0.0,55.0,2.0,4.0,1.237977,0.0,0.7638889,0.09158781,1.89,0.0,0.0034530259999999997,9.0,9.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,censored
9,4.5734330000000005,2.0,0.0,1.0,8.0,111.0,64.0,12.0,18.0,0.546875,17.0,99.0,12.0,0.0,6.7117119999999995,40.0,2.0,8.0,8.0,0.0,0.0,290.5958,0.25,7.0,0.0,0.0,56.0,0.0,8.0,2.660874,1.0,0.875,0.15992220000000001,1.609634,0.0,0.0034530259999999997,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,censored
10,4.288755999999999,2.0,0.0,1.0,9.0,95.0,65.0,15.0,25.0,0.5384616,23.0,73.0,21.0,0.0,7.787234,30.0,0.0,9.0,7.222222,0.5,0.0,215.0433,0.1111111,0.0,1.0,0.0,63.0,0.0,4.0,0.5768654000000001,0.0,0.9692308000000001,0.09201906,0.9826005999999999,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,censored
11,4.79547,2.0,0.0,1.0,9.0,119.0,71.0,17.0,22.0,0.8732395000000001,20.0,100.0,19.0,0.0,7.327731,43.0,1.0,9.0,7.888889,0.0,0.1481481,228.1746,0.3333333,7.0,0.0,0.0,57.0,1.0,5.0,1.3210819999999999,0.0,0.8028168999999999,0.02315615,1.7451310000000002,0.0,0.0034530259999999997,1.0,1.0,0.0,0.0,6.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,52.0,censored
12,4.442508,2.0,0.0,1.0,4.0,117.0,66.0,7.0,17.0,0.7878788000000001,30.0,93.0,22.0,0.0,7.626086999999999,44.0,2.0,4.0,16.5,0.5,0.2,330.0653,0.5,14.0,0.0,0.25,54.0,1.0,2.0,0.5662105,1.0,0.8181818000000001,0.05351645,0.7547432,1.0,0.022435992999999998,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,censored
13,4.710668,2.0,0.0,1.0,6.0,96.0,58.0,11.0,13.0,0.7586206999999999,21.0,85.0,11.0,0.0,6.9479169999999995,34.0,2.0,6.0,9.666667,0.0,0.03333334,391.2749,0.3333333,18.0,0.0,0.0,53.0,1.0,4.0,0.8435322000000001,0.0,0.9137931,0.07895906,1.8037560000000001,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,censored
14,4.835654,2.0,0.0,1.0,8.0,117.0,66.0,14.0,18.0,0.8787879000000001,24.0,101.0,15.0,1.0,7.572649,40.0,1.0,8.0,8.25,0.0,0.04166666,257.6341,0.125,13.0,0.0,0.0,59.0,0.0,4.0,0.8863893,0.0,0.8939394,0.03407887,1.191767,0.0,0.0034530259999999997,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,censored
15,4.449282,2.0,0.0,1.0,4.0,106.0,57.0,7.0,21.0,0.9473684000000001,23.0,87.0,19.0,0.0,7.537736,33.0,5.0,4.0,14.25,0.5,0.08333333,388.1945,0.75,20.0,0.0,0.25,51.0,0.0,2.0,0.37176609999999993,1.0,0.8947368,0.0060206,1.29331,1.0,0.022435992999999998,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,censored
16,4.227512,1.0,0.0,1.0,10.0,108.0,69.0,12.0,21.0,0.8405796999999998,27.0,96.0,12.0,0.0,6.722222,26.0,5.0,10.0,6.9,0.8333333,0.4933334,381.0029,0.0,6.0,0.0,0.1,61.0,1.0,7.0,2.464276,0.0,0.884058,0.03670873,1.757195,1.0,0.022435992999999998,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,censored
17,4.188988,1.0,0.0,1.0,7.0,97.0,56.0,2.0,13.0,0.875,28.0,87.0,10.0,0.0,6.257732,35.0,3.0,7.0,8.0,0.8,0.13888889999999998,536.3248,0.5714286,8.0,1.0,0.0,52.0,0.0,5.0,1.852034,0.0,0.9285714,0.03067136,1.7298,0.0,0.0034530259999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,censored
18,4.374035,2.0,0.0,1.0,4.0,107.0,65.0,2.0,11.0,0.7384616,26.0,83.0,24.0,0.0,6.962617,33.0,3.0,4.0,16.25,0.5,0.4444443,224.0741,0.0,6.0,0.0,0.0,65.0,2.0,2.0,0.45509929999999993,0.0,1.0,0.06213066,1.527041,0.0,0.0034530259999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,censored
