idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
80,4.675231,2.0,0.0,1.0,4.0,71.0,45.0,7.0,13.0,0.8,18.0,62.0,9.0,0.0,7.690141000000001,24.0,1.0,4.0,11.25,0.0,0.05,294.0705,0.75,13.0,0.0,0.0,37.0,0.0,1.0,0.560883,0.0,0.8222222,0.0744263,0.7336946,0.0,0.001935267,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,uncensored
121,4.162926000000001,2.0,0.0,1.0,5.0,98.0,62.0,4.0,18.0,0.7741935000000001,29.0,91.0,7.0,0.0,6.918367,24.0,3.0,5.0,12.4,0.75,0.5357143,409.375,0.4,8.0,0.0,0.4,56.0,0.0,2.0,1.121766,0.0,0.9032258,0.08810352,1.335309,2.0,0.038282499,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,uncensored
138,4.320358000000001,2.0,0.0,1.0,5.0,104.0,54.0,8.0,13.0,0.7222221999999999,24.0,88.0,15.0,0.0,7.320388,33.0,5.0,5.0,10.8,0.5,0.625,353.6075,0.2,6.0,0.0,0.0,44.0,0.0,2.0,0.3598613,0.0,0.8148148000000001,0.07986315,1.290398,0.0,0.001935267,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,uncensored
158,4.8422480000000006,2.0,0.0,1.0,6.0,107.0,57.0,5.0,13.0,0.8596490999999999,27.0,88.0,19.0,0.0,7.373832000000001,37.0,5.0,6.0,9.5,0.0,0.2083333,298.7586,0.3333333,7.0,0.0,0.0,51.0,1.0,4.0,1.043532,0.0,0.8947368,0.04609933,1.325223,0.0,0.001935267,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,uncensored
159,4.753284,2.0,0.0,1.0,7.0,99.0,57.0,14.0,20.0,0.7894737,20.0,92.0,7.0,0.0,6.8686869999999995,30.0,3.0,7.0,8.142858,0.0,0.4285714,237.59400000000002,0.5714286,13.0,0.0,0.0,47.0,1.0,5.0,1.3044149999999999,0.0,0.8245614,0.06472085,1.6407990000000001,0.0,0.001935267,2.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,uncensored
266,4.869448,2.0,0.0,1.0,5.0,116.0,70.0,13.0,13.0,0.9,25.0,97.0,18.0,1.0,7.508621000000001,42.0,2.0,5.0,14.0,0.0,0.1111111,358.1197,0.6,13.0,0.0,0.0,61.0,0.0,1.0,0.22754970000000002,0.0,0.8714284999999999,0.03283964,1.7890709999999999,0.0,0.001935267,2.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,uncensored
328,4.322255999999999,2.0,0.0,1.0,6.0,108.0,66.0,12.0,18.0,0.7878788000000001,23.0,89.0,17.0,0.0,7.518867999999999,36.0,3.0,6.0,11.0,0.5,0.2222222,216.6667,0.5,21.0,0.0,0.0,59.0,0.0,2.0,0.8717661,2.0,0.8939394,0.06888391,1.211638,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,uncensored
402,4.782856,2.0,0.0,1.0,6.0,117.0,64.0,9.0,20.0,0.765625,25.0,97.0,19.0,0.0,7.922414,37.0,5.0,6.0,10.66667,0.0,0.23809520000000003,338.2125,0.5,22.0,0.0,0.0,56.0,0.0,5.0,1.021082,0.0,0.875,0.06777889,1.192939,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,uncensored
455,4.6886980000000005,2.0,0.0,1.0,8.0,99.0,61.0,7.0,14.0,0.7868853,15.0,92.0,7.0,0.0,7.121212,19.0,8.0,8.0,7.625,0.0,0.375,334.8464,0.125,20.0,0.0,0.0,51.0,2.0,4.0,1.043532,0.0,0.8360655999999999,0.07341285,2.152661,0.0,0.001935267,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,uncensored
500,4.85672,2.0,0.0,1.0,5.0,113.0,76.0,14.0,22.0,0.8026316,28.0,90.0,23.0,0.0,7.938053,35.0,1.0,5.0,15.2,0.0,1.25,224.359,1.0,26.0,0.0,0.0,60.0,2.0,2.0,0.4967661,0.0,0.7894737,0.0457736,1.305181,0.0,0.001935267,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,uncensored
522,4.846047,2.0,0.0,1.0,4.0,118.0,68.0,9.0,16.0,0.8088234999999999,19.0,102.0,16.0,0.0,7.4322029999999994,35.0,3.0,4.0,17.0,0.0,0.6,291.6667,1.0,6.0,0.0,0.0,57.0,1.0,1.0,0.06088305,1.0,0.8382353000000001,0.04071339,1.761096,0.0,0.001935267,6.0,6.0,6.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,uncensored
579,4.4267650000000005,2.0,0.0,1.0,8.0,116.0,63.0,10.0,20.0,0.8730159,28.0,88.0,28.0,0.0,7.646552000000001,33.0,3.0,8.0,7.875,0.5,0.2857143,220.9338,0.75,12.0,0.0,0.0,51.0,0.0,7.0,1.8928479999999999,1.0,0.8095238,0.04505162,1.774491,0.0,0.001935267,0.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,uncensored
605,4.7003449999999996,2.0,0.0,1.0,6.0,107.0,59.0,8.0,13.0,0.7627119000000001,18.0,95.0,12.0,0.0,7.514019,42.0,3.0,6.0,9.833333,0.0,0.1763889,305.5555,0.5,20.0,0.0,0.0,49.0,1.0,1.0,0.560883,0.0,0.8305084999999999,0.05708253,1.424618,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,uncensored
611,5.034949,2.0,0.0,1.0,5.0,121.0,74.0,14.0,19.0,0.8378378000000001,33.0,102.0,19.0,0.0,7.371900999999999,29.0,3.0,5.0,14.8,0.0,0.8166667,294.2635,1.4,19.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.7567568,0.02075349,1.8483720000000001,0.0,0.001935267,4.0,4.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,uncensored
656,4.192094,1.0,0.0,1.0,8.0,108.0,81.0,23.0,21.0,0.6296295999999999,17.0,90.0,17.0,0.0,6.850467,27.0,0.0,8.0,10.125,0.6666667,1.035714,275.0,0.25,37.0,0.0,0.0,70.0,6.0,3.0,0.8636014000000001,0.0,0.8641976,0.1258558,2.352247,0.0,0.001935267,9.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,uncensored
659,4.8244739999999995,2.0,0.0,1.0,4.0,96.0,53.0,8.0,13.0,0.8490565999999999,24.0,80.0,16.0,0.0,7.1666669999999995,31.0,3.0,4.0,13.25,0.0,0.0,220.2381,1.0,7.0,0.0,0.0,45.0,0.0,2.0,0.421766,0.0,0.8490565999999999,0.02936878,1.375134,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,uncensored
671,3.715,1.0,0.0,1.0,1.0,10.0,5.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,7.3,3.0,1.0,1.0,5.0,1.0,0.0,600.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.560883,0.0,1.0,0.0,2.300385,0.0,0.001935267,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,uncensored
673,3.733,1.0,0.0,1.0,1.0,12.0,7.0,3.0,1.0,1.0,2.0,10.0,2.0,0.0,7.0,5.0,0.0,1.0,7.0,1.0,0.6666667,428.5714,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.360883,0.0,0.8571429,0.0,0.0,0.0,0.001935267,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,uncensored
697,3.563054,1.0,0.0,1.0,2.0,28.0,20.0,1.0,7.0,0.65,8.0,28.0,0.0,0.0,6.0,8.0,0.0,2.0,10.0,1.0,0.1,400.0,1.0,0.0,0.0,0.0,15.0,0.0,2.0,0.6455755,0.0,0.75,0.150515,2.293505,0.0,0.001935267,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,uncensored
780,3.7110000000000003,1.0,0.0,1.0,1.0,11.0,6.0,0.0,4.0,1.0,3.0,7.0,4.0,0.0,9.181818,5.0,0.0,1.0,6.0,1.0,0.0,166.6667,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.560883,0.0,0.8333333,0.0,0.60206,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,uncensored
784,4.3205800000000005,2.0,0.0,1.0,5.0,83.0,51.0,10.0,11.0,0.7647059,19.0,66.0,17.0,0.0,8.036144,28.0,2.0,5.0,10.2,0.5,0.2555556,304.7619,0.0,18.0,0.0,0.0,44.0,0.0,2.0,0.7884327,0.0,0.8627450999999999,0.06866041,1.933672,0.0,0.001935267,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,uncensored
787,4.807814,2.0,0.0,1.0,6.0,97.0,59.0,7.0,12.0,0.7288136,26.0,87.0,9.0,0.0,6.9895830000000005,34.0,2.0,6.0,9.833333,0.0,0.5666667,247.3665,0.3333333,18.0,0.0,0.0,49.0,1.0,2.0,0.45509929999999993,0.0,0.8305084999999999,0.0726427,2.005214,0.0,0.001935267,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,uncensored
797,4.244,1.0,0.0,1.0,3.0,47.0,26.0,6.0,4.0,1.0,9.0,41.0,6.0,0.0,6.680851,13.0,4.0,3.0,8.666667,0.5,1.416667,398.9899,0.6666667,7.0,0.0,0.0,23.0,0.0,2.0,0.7550994000000001,0.0,0.8846154,0.0,1.587348,0.0,0.001935267,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,uncensored
811,3.7110000000000003,1.0,0.0,1.0,1.0,14.0,7.0,1.0,1.0,1.0,3.0,13.0,1.0,0.0,7.714286,4.0,0.0,1.0,7.0,1.0,0.6666667,428.5714,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.8571429,0.0,1.591777,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,uncensored
825,3.648568,1.0,0.0,1.0,1.0,19.0,15.0,4.0,3.0,0.8666666999999999,2.0,16.0,3.0,0.0,7.210526,4.0,0.0,1.0,15.0,1.0,2.0,200.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.6666667,0.03344778,2.001537,0.0,0.001935267,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,uncensored
853,3.6830000000000003,,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,5.3333330000000005,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.560883,0.0,0.5,0.0,,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,uncensored
