idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
4,4.771907,2.0,0.0,1.0,6.0,114.0,64.0,15.0,16.0,0.75,22.0,96.0,18.0,0.0,7.903509,42.0,1.0,6.0,10.66667,0.0,0.26388890000000004,302.8075,0.3333333,13.0,0.0,0.0,55.0,3.0,4.0,1.118532,0.0,0.859375,0.07119656,2.2606,0.0,0.003453026,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,censored
7,4.84136,2.0,0.0,1.0,6.0,115.0,63.0,8.0,13.0,0.9047619,24.0,93.0,22.0,0.0,7.46087,39.0,5.0,6.0,10.5,0.0,0.5333334,322.381,0.5,18.0,0.0,0.0,54.0,0.0,5.0,1.721082,0.0,0.8571429,0.01770765,1.431175,0.0,0.003453026,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,censored
8,4.756381,2.0,0.0,1.0,6.0,114.0,72.0,25.0,19.0,0.6666667,14.0,97.0,17.0,0.0,7.368421,22.0,7.0,6.0,12.0,0.0,0.4166667000000001,240.8029,0.3333333,28.0,0.0,0.0,55.0,2.0,4.0,1.237977,0.0,0.7638889,0.09158781,1.89,0.0,0.003453026,9.0,9.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,censored
9,4.5734330000000005,2.0,0.0,1.0,8.0,111.0,64.0,12.0,18.0,0.546875,17.0,99.0,12.0,0.0,6.711712,40.0,2.0,8.0,8.0,0.0,0.0,290.5958,0.25,7.0,0.0,0.0,56.0,0.0,8.0,2.660874,1.0,0.875,0.1599222,1.609634,0.0,0.003453026,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,censored
12,4.442508,2.0,0.0,1.0,4.0,117.0,66.0,7.0,17.0,0.7878788000000001,30.0,93.0,22.0,0.0,7.626086999999999,44.0,2.0,4.0,16.5,0.5,0.2,330.0653,0.5,14.0,0.0,0.25,54.0,1.0,2.0,0.5662105,1.0,0.8181818000000001,0.05351645,0.7547432,1.0,0.022435993,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,censored
13,4.710668,2.0,0.0,1.0,6.0,96.0,58.0,11.0,13.0,0.7586206999999999,21.0,85.0,11.0,0.0,6.947917,34.0,2.0,6.0,9.666667,0.0,0.03333334,391.2749,0.3333333,18.0,0.0,0.0,53.0,1.0,4.0,0.8435322000000001,0.0,0.9137931,0.07895906,1.803756,0.0,0.003453026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,censored
14,4.835654,2.0,0.0,1.0,8.0,117.0,66.0,14.0,18.0,0.8787879000000001,24.0,101.0,15.0,1.0,7.572649,40.0,1.0,8.0,8.25,0.0,0.04166666,257.6341,0.125,13.0,0.0,0.0,59.0,0.0,4.0,0.8863893,0.0,0.8939394,0.03407887,1.191767,0.0,0.003453026,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,censored
15,4.449282,2.0,0.0,1.0,4.0,106.0,57.0,7.0,21.0,0.9473684,23.0,87.0,19.0,0.0,7.537736,33.0,5.0,4.0,14.25,0.5,0.08333333,388.1945,0.75,20.0,0.0,0.25,51.0,0.0,2.0,0.3717660999999999,1.0,0.8947368,0.0060206,1.29331,1.0,0.022435993,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,censored
18,4.374035,2.0,0.0,1.0,4.0,107.0,65.0,2.0,11.0,0.7384616,26.0,83.0,24.0,0.0,6.962617,33.0,3.0,4.0,16.25,0.5,0.4444443,224.0741,0.0,6.0,0.0,0.0,65.0,2.0,2.0,0.4550992999999999,0.0,1.0,0.06213066,1.527041,0.0,0.003453026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,censored
30,4.039969,2.0,0.0,1.0,7.0,112.0,66.0,4.0,17.0,0.9848485,27.0,90.0,22.0,0.0,7.714286,38.0,4.0,7.0,9.428572,1.0,0.3690476,380.2198,0.0,13.0,0.0,0.0,63.0,0.0,3.0,1.432649,1.0,0.9545454,0.004855323,1.143553,0.0,0.003453026,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,censored
