idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
65,4.895,2.0,0.0,1.0,6.0,104.0,58.0,5.0,8.0,0.9655172,26.0,89.0,14.0,1.0,6.990385000000002,30.0,8.0,6.0,9.666667,0.0,0.32142859999999995,325.481,0.6666667,21.0,0.0,0.0,49.0,0.0,3.0,0.6469349,0.0,0.8448276,0.0,1.133792,0.0,0.001935267,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,uncensored
88,4.84673,2.0,0.0,1.0,6.0,105.0,64.0,8.0,17.0,0.828125,27.0,87.0,18.0,0.0,7.609524,21.0,4.0,6.0,10.66667,0.0,0.05555555,302.1786,0.8333333,22.0,0.0,0.3333333,48.0,0.0,3.0,0.9969349,1.0,0.75,0.04300429,1.396908,2.0,0.038282499,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,uncensored
184,4.61046,2.0,0.0,1.0,5.0,104.0,64.0,6.0,20.0,0.640625,12.0,91.0,12.0,0.0,7.359222999999999,35.0,1.0,5.0,12.8,0.0,0.0625,295.0758,0.8,6.0,0.0,0.0,52.0,0.0,1.0,0.06088305,0.0,0.8125,0.08600822,1.499048,0.0,0.001935267,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,uncensored
338,4.879411,2.0,0.0,1.0,6.0,112.0,64.0,12.0,24.0,0.84375,28.0,96.0,14.0,2.0,7.705357000000001,38.0,5.0,6.0,10.66667,0.0,0.7,254.7253,0.0,6.0,0.0,0.1666667,55.0,0.0,1.0,0.560883,0.0,0.859375,0.030103,1.619092,1.0,0.018173616,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,uncensored
412,5.027374,2.0,0.0,1.0,7.0,111.0,70.0,13.0,20.0,0.8571429,37.0,86.0,24.0,0.0,8.109091000000001,25.0,5.0,7.0,10.0,0.0,0.5714285,320.0783,0.5714286,19.0,0.0,0.0,60.0,0.0,3.0,1.557649,2.0,0.8571429,0.02736636,1.445736,0.0,0.001935267,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,uncensored
434,4.513553,2.0,0.0,1.0,7.0,97.0,58.0,11.0,19.0,0.8620690000000001,22.0,79.0,17.0,1.0,7.546392,31.0,1.0,7.0,8.285714,0.3333333,0.2261905,263.4085,0.5714286,14.0,0.0,0.0,45.0,0.0,5.0,2.071082,0.0,0.7758621,0.02632149,1.650322,0.0,0.001935267,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,uncensored
448,4.176185,2.0,0.0,1.0,8.0,106.0,66.0,10.0,32.0,0.6818181999999999,23.0,72.0,25.0,0.0,7.773196,38.0,1.0,8.0,8.25,0.6666667,0.0,265.4762,0.0,7.0,0.0,0.0,62.0,5.0,7.0,2.142848,1.0,0.9393939,0.07054474,1.620747,0.0,0.001935267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,uncensored
478,4.826901,2.0,0.0,1.0,5.0,116.0,66.0,16.0,15.0,0.8333333,25.0,89.0,27.0,0.0,7.663792999999999,29.0,3.0,5.0,13.2,0.0,0.3833334000000001,278.6813,0.6,31.0,0.0,0.4,51.0,0.0,1.0,0.06088305,0.0,0.7727273,0.03736092,1.645086,2.0,0.038282499,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,uncensored
548,4.9768089999999985,2.0,0.0,1.0,5.0,113.0,72.0,12.0,22.0,0.7916667,32.0,90.0,22.0,1.0,7.628319,30.0,4.0,5.0,14.4,0.0,0.2916667,243.0556,0.8,7.0,0.0,0.0,58.0,1.0,1.0,0.360883,0.0,0.8055555999999999,0.05123734,1.872378,0.0,0.001935267,4.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,uncensored
652,4.102693,2.0,0.0,1.0,4.0,72.0,44.0,11.0,14.0,0.9318182,11.0,56.0,16.0,0.0,7.638889,15.0,5.0,4.0,11.0,0.6666667,0.125,242.1523,0.5,7.0,0.0,0.0,36.0,1.0,2.0,0.5884326999999999,0.0,0.8181818000000001,0.01770765,1.873542,0.0,0.001935267,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,uncensored
