'CRIE Readability 1.0','SVM readability prediction 1.0','SVM readability prediction 2.0',Paragraphs,'Average paragraph length',Characters,Words,Adverbs,Verbs,'Type-token ratio','Difficult words','Low-stroke characters','Intermediate-stroke characters','High-stroke characters','Average strokes','Two-character words','Three-character words',Sentences,'Average sentence length','Simple sentence ratio','modifiers per NP','Np ratio','Average propositional phrase','Sentences with complex structure',Parallelism,'Average number of idioms each sentence','Content words',Negatives,'Sentences with complex semantic categories','Number of complex semantic categories','Intentional words','Noun word density','Content word frequency in logarithmic','Average frequency of content word in domain in Logarithmic','Number of Idioms','Standard Deviation of number of idioms',Pronouns,'Personal pronouns','First personal pronouns','Third personal pronouns',conjunctions,'positive conjunctions','negative conjunctions','adversative conjunctions','causal conjunctions','hypothesis conjunction','condition conjunction','purpose conjunctions','figure of speech (simile)','Content word category',class
-1.072286,4.669972,-0.578255,0.05512,-1.178306,-0.475108,-0.511825,-0.645394,0.147231,-0.027527,0.786778,-0.210901,0.345691,-0.157364,0.780135,0.370245,0.375612,-1.181694,2.971852,1.318838,-0.822033,-2.621233,-0.845835,-1.050717,-0.102567,-0.229998,0.97791,-0.463198,-1.61636,-0.968659,3.58495,0.97791,0.297566,-0.178607,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,1.506467,2.112012,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.362504,censored
0.989991,0.425853,-0.578255,0.05512,0.383521,1.042986,0.902019,-0.95813,0.466177,0.233114,0.137438,-0.507312,0.697843,-0.157364,0.131913,0.504823,0.241139,0.38291,0.324929,-0.936197,-0.361382,0.105959,1.339521,0.66274,-0.102567,-0.229998,0.236905,-0.463198,-0.412744,0.080078,-0.304085,0.236906,-0.293246,-0.789005,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.245701,-0.002252,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,0.298322,censored
-0.821495,-0.988853,-0.578255,0.05512,2.335805,0.96953,0.902019,-0.243305,0.785123,-1.200412,-0.807058,0.695207,-0.846593,-0.157364,0.289673,0.720146,-0.83464,2.338665,-0.757904,1.068279,-0.822033,0.34349,-0.845835,-0.479564,-0.102567,-0.229998,1.224911,-0.463198,0.489969,3.014531,-0.304085,1.224912,0.967768,-0.414714,-0.146636,-0.072764,-0.691219,-0.34592,-0.444128,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.343501,censored
-0.418364,-0.988853,-0.578255,0.05512,1.945348,0.871588,1.225183,0.526894,0.531314,-1.167373,-0.836989,-0.157031,0.281691,-0.157364,-0.501486,-0.588477,-0.83464,1.947514,-0.484808,0.674542,-0.204302,-0.421985,-0.44114,-1.050717,-0.102567,-0.229998,-0.765017,0.103067,1.058344,2.473109,-0.304085,-0.765017,0.7717,-0.375807,-0.146636,-0.072764,-0.107506,-0.087821,0.561985,-0.361364,-0.746321,-0.606327,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.207702,censored
0.820606,0.425853,-0.578255,0.05512,0.773978,1.165413,0.942414,0.787049,-0.211583,-0.907191,-0.375394,0.136133,-0.066604,-0.157364,0.615403,1.187803,-0.569897,0.774061,-0.007369,-0.936197,-0.088477,0.069134,-0.238792,-0.019469,-0.102567,-0.229998,0.260062,1.421403,0.389668,0.503601,-0.304085,0.260062,0.831976,1.255161,-0.146636,-0.072764,-0.043663,-0.02315,0.11395,-0.361364,-0.253523,-0.606327,0.534217,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-0.558111,censored
0.228697,0.425853,-0.578255,0.05512,1.164434,1.140928,1.507952,0.024755,-0.275985,-1.486115,0.214632,-0.518215,0.602189,-0.157364,0.645095,-1.002445,-0.182966,1.165212,0.074478,0.191321,0.217079,0.330178,1.495617,0.989113,-0.102567,-0.229998,-0.808102,-0.463198,0.103092,-0.209364,-0.304085,-0.808102,0.712004,-0.114951,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,-0.341974,-0.11842,-0.431698,-0.300137,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.118626,censored
1.236203,0.425853,-0.578255,0.05512,1.164434,1.189899,1.225183,-0.107387,-0.034703,-0.357917,0.943917,-0.298816,0.450139,-0.157364,0.657605,0.462364,-0.595999,1.165212,-0.0974,-0.936197,-0.204302,-0.130784,-0.585674,-0.098796,-0.102567,-0.229998,0.257779,-0.463198,0.103092,1.172692,-0.304085,0.257778,0.15342,-0.640312,-0.146636,-0.072764,-0.691219,-0.679102,-0.444128,-0.361364,0.586314,0.465694,2.180355,1.225925,-0.222235,1.862662,-0.164986,-0.038133,-0.121372,0.045208,censored
0.95504,0.425853,-0.578255,0.05512,0.773978,1.189899,0.902019,-0.422011,-0.650133,0.363434,-0.098686,-0.208989,0.34342,-0.157364,0.090988,0.93547,0.510084,0.774061,-0.036015,-0.936197,0.660522,0.24304,0.06473,0.377164,-0.102567,-0.229998,0.236905,-0.463198,0.891175,1.296703,-0.304085,0.236906,-0.45896,-0.366695,-0.146636,-0.072764,-0.362301,-0.679102,-0.444128,0.454759,-0.245701,-0.002252,0.549549,-0.300137,-0.222235,0.927159,-0.164986,-0.038133,-0.121372,0.555051,censored
0.790554,0.425853,-0.578255,0.05512,0.773978,1.165413,1.265579,2.057539,-0.072044,-1.591373,-1.485914,0.226748,-0.174259,-0.157364,-0.01854,-1.190853,0.812647,0.774061,0.221802,-0.936197,0.336213,-0.481761,-0.238792,1.170431,-0.102567,-0.229998,-0.730518,0.653603,0.389668,0.660819,-0.304085,-0.730518,1.324112,0.53049,-0.146636,-0.072764,1.899005,1.944706,0.548011,-0.361364,0.129763,-0.077761,0.426893,1.20473,-0.222235,-0.280489,-0.164986,-0.038133,-0.121372,-1.498783,censored
0.436441,0.425853,-0.578255,0.05512,1.554891,1.091957,0.942414,0.259307,0.10238,-2.574887,-0.95648,0.650431,-0.677617,-0.157364,-0.796573,0.975844,-0.305155,1.556363,-0.465711,-0.936197,-0.822033,-0.039364,-0.390553,-0.634251,-0.102567,-0.229998,0.422156,-0.463198,1.392681,2.533698,0.546642,0.422156,2.973339,-0.017737,-0.146636,-0.072764,-0.043663,-0.02315,-0.444128,-0.361364,1.224868,1.77222,-0.431698,-0.300137,-0.222235,4.474627,-0.164986,-0.038133,-0.121372,-1.948059,censored
