idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
0,30,10,6.67,40,20,0,0,0,0,0,0,0,0,0,3.33,3.33,3.33,6.67,0,0,0,0,0,0,0,0,0,6.67,0,6.67,6.67,0,6.67,3.33,10,6.67,3.33,0,0,0,10,0,0,0,0,6.67,0,0,3.33,6.67,0,3.33,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,6.67,3.33,3.33,0,3.33,0,3.33,3.33,0,0,3.33,0,0,3.33,0,0,56.67,6.67,6.67,6.67,0,0,0,0,0,0,13.33,23.33,0.47971,0.52029,1,0.00073652,0.00071487,11,2.727272727,0.909574706,842,everythingElse,censored
1,56,14,0,53.57,25,0,0,0,0,0,0,0,0,0,8.93,0,5.36,3.57,3.57,5.36,1.79,0,1.79,0,0,1.79,0,5.36,0,5.36,0,1.79,3.57,1.79,5.36,0,1.79,1.79,0,1.79,7.14,0,0,0,0,7.14,1.79,3.57,0,1.79,0,0,8.93,5.36,1.79,0,0,0,0,0,0,5.36,1.79,0,1.79,0,3.57,10.71,1.79,5.36,5.36,0,10.71,0,0,0,0,3.57,0,0,3.57,0,3.57,35.71,5.36,7.14,3.57,0,0,0,0,10.71,0,3.57,5.36,0.469395,0.530605,1,0.00142626,0.00124591,11,5.090909091,1.69786042,903,everythingElse,censored
2,61,61,0,44.26,14.75,0,0,0,0,0,0,0,0,0,6.56,4.92,6.56,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,0,8.2,8.2,0,0,0,0,1.64,0,0,0,0,14.75,9.84,6.56,0,0,1.64,0,3.28,0,0,1.64,6.56,0,1.64,0,4.92,14.75,1.64,4.92,8.2,0,0,0,0,0,0,13.11,0,0,0,0,0,0,0,0,0,0,0,26.23,0,3.28,1.64,13.11,0,0,0,0,0,3.28,4.92,0.00812242,0.991878,0,0.00061817,0.00019483,9,6.777777778,2.259530259,938,everythingElse,censored
3,70,7.78,0,58.57,38.57,2.86,2.86,0,2.86,0,0,0,0,0,4.29,2.86,10,1.43,2.86,0,0,0,7.14,0,0,0,7.14,21.43,14.29,14.29,1.43,0,2.86,1.43,7.14,4.29,2.86,0,1.43,2.86,8.57,0,0,0,0,12.86,11.43,0,0,4.29,1.43,1.43,1.43,1.43,0,0,0,0,0,0,0,10,2.86,4.29,0,2.86,2.86,5.71,2.86,1.43,2.86,4.29,1.43,1.43,2.86,0,1.43,8.57,0,0,8.57,0,0,37.14,2.86,8.57,11.43,0,5.71,2.86,0,0,0,2.86,2.86,0.666317,0.333683,2,0.00128165,0.00110553,12,5.833333333,1.945240171,3019,everythingElse,censored
4,64,32,0,67.19,39.06,3.12,3.12,1.56,1.56,0,0,0,0,0,4.69,3.12,15.62,3.12,4.69,0,0,0,3.12,0,0,1.56,1.56,9.38,1.56,9.38,3.12,0,3.12,0,3.12,0,3.12,0,0,0,9.38,0,0,0,0,18.75,3.12,4.69,1.56,1.56,1.56,6.25,1.56,0,1.56,0,0,0,0,0,0,9.38,3.12,4.69,3.12,1.56,0,23.44,6.25,18.75,3.12,12.5,0,0,0,0,0,1.56,0,0,1.56,0,0,25,1.56,12.5,3.12,0,0,0,3.12,0,0,3.12,1.56,0.00460876,0.995391,0,0.00238541,0.00249552,11,5.818181818,1.941020916,879,china,censored
5,71,10.14,0,64.79,29.58,0,0,0,0,0,0,0,0,0,11.27,0,5.63,5.63,0,0,0,0,1.41,0,0,1.41,0,14.08,0,14.08,2.82,0,2.82,0,7.04,2.82,4.23,0,0,0,4.23,0,0,0,0,9.86,2.82,1.41,0,0,0,4.23,9.86,2.82,4.23,2.82,5.63,2.82,1.41,1.41,0,2.82,1.41,1.41,0,0,0,22.54,2.82,16.9,2.82,2.82,1.41,0,0,0,0,1.41,0,0,1.41,0,0,26.76,7.04,11.27,0,0,0,1.41,0,2.82,0,2.82,1.41,0.125204,0.874796,0,0.00244046,0.0033824,11,6.454545455,2.153456105,966,everythingElse,censored
6,64,16,0,54.69,31.25,1.56,0,0,0,0,0,0,0,1.56,1.56,1.56,4.69,1.56,4.69,1.56,1.56,0,3.12,0,3.12,0,0,9.38,0,9.38,1.56,1.56,3.12,3.12,6.25,1.56,4.69,0,0,0,4.69,0,0,0,0,10.94,4.69,0,1.56,1.56,4.69,0,1.56,0,0,0,1.56,0,1.56,0,0,0,0,0,0,0,0,9.38,4.69,4.69,0,1.56,1.56,0,0,0,0,3.12,0,0,0,3.12,3.12,29.69,7.81,14.06,0,0,0,0,0,0,0,3.12,4.69,0.0246972,0.975303,0,0.00206242,0.00237724,11,5.818181818,1.940873826,840,everythingElse,censored
7,64,64,0,59.38,28.12,4.69,0,0,0,0,0,0,0,4.69,6.25,1.56,4.69,1.56,0,0,0,0,4.69,1.56,0,1.56,3.12,10.94,1.56,10.94,1.56,0,3.12,0,6.25,3.12,3.12,1.56,0,1.56,4.69,0,1.56,0,0,14.06,4.69,1.56,6.25,1.56,3.12,0,1.56,1.56,0,0,0,0,0,0,0,6.25,0,3.12,4.69,0,1.56,12.5,4.69,4.69,4.69,4.69,1.56,0,0,1.56,0,4.69,0,0,3.12,1.56,1.56,25,0,18.75,1.56,0,0,0,0,0,0,3.12,1.56,0.0391144,0.960886,0,0.00226858,0.00259241,11,5.818181818,1.941014269,769,stability,censored
8,72,12,0,73.61,37.5,5.56,4.17,0,4.17,0,0,0,0,1.39,2.78,2.78,9.72,5.56,1.39,0,1.39,0,8.33,0,0,0,8.33,18.06,6.94,18.06,5.56,9.72,2.78,0,4.17,1.39,2.78,0,1.39,0,18.06,0,0,0,0,27.78,9.72,1.39,1.39,8.33,1.39,4.17,1.39,0,1.39,0,0,0,0,0,0,6.94,4.17,0,1.39,0,1.39,9.72,6.94,1.39,1.39,1.39,0,0,0,0,0,11.11,0,0,11.11,0,0,22.22,6.94,11.11,0,0,0,0,0,0,0,2.78,1.39,0.0171912,0.982809,0,0.00215923,0.00244613,11,6.545454545,2.183353302,11688,boxilai,censored
9,59,29.5,0,69.49,42.37,10.17,3.39,3.39,0,0,0,0,0,6.78,8.47,10.17,1.69,6.78,5.08,1.69,0,0,0,0,0,0,0,3.39,0,3.39,0,0,3.39,0,5.08,1.69,1.69,0,1.69,0,22.03,0,0,0,0,13.56,3.39,0,10.17,6.78,0,3.39,3.39,0,3.39,0,0,0,0,0,0,13.56,1.69,1.69,10.17,0,0,1.69,1.69,0,0,3.39,0,0,0,0,0,10.17,0,0,3.39,6.78,1.69,23.73,1.69,6.78,3.39,5.08,0,1.69,0,0,0,3.39,1.69,0.024828,0.975172,0,0.00205163,0.0014568,11,5.363636364,1.789048265,934,democracy,censored
