idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
91783,64,64,0,75,37.5,14.06,14.06,0,3.12,0,0,10.94,0,0,1.56,9.38,10.94,1.56,6.25,0,0,0,0,0,0,0,0,4.69,0,4.69,1.56,0,0,0,12.5,9.38,3.12,0,0,0,35.94,1.56,0,0,0,15.62,0,1.56,7.81,1.56,4.69,6.25,3.12,1.56,1.56,1.56,1.56,0,1.56,0,0,20.31,3.12,4.69,14.06,3.12,0,1.56,0,1.56,0,9.38,0,3.12,0,0,0,6.25,1.56,0,4.69,0,0,25,1.56,12.5,0,10.94,0,0,0,0,0,0,0,0.0432714,0.956729,0,0.00270629,0.00193818,10,6.4,2.13488149,3592,brainwash,uncensored
100669,47,47,0,61.7,36.17,6.38,6.38,2.13,0,0,4.26,0,0,0,8.51,0,4.26,0,2.13,0,4.26,0,4.26,0,2.13,0,4.26,8.51,2.13,8.51,6.38,2.13,2.13,2.13,8.51,2.13,4.26,0,2.13,0,21.28,0,0,0,4.26,12.77,8.51,0,0,0,0,6.38,4.26,0,0,2.13,2.13,2.13,0,0,0,6.38,4.26,2.13,0,2.13,0,8.51,2.13,4.26,2.13,0,0,0,0,0,0,4.26,0,0,4.26,0,0,23.4,2.13,10.64,2.13,0,0,0,0,8.51,0,0,0,0.0698397,0.93016,0,0.00206329,0.00206787,11,4.272727273,1.425619478,806,china,uncensored
88512,16,16,0,37.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,6.25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0.197162,0.802838,0,0.00086172,0.00036504,7,2.285714286,0.762313682,42801,env,uncensored
95514,18,9,0,72.22,50,0,0,0,0,0,0,0,0,0,0,5.56,22.22,16.67,5.56,11.11,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,22.22,0,0,0,0,16.67,0,0,0,5.56,0,11.11,5.56,0,5.56,0,0,0,0,0,0,22.22,16.67,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,0,0,0,22.22,0,11.11,0,0,0,11.11,0,0,0,0,0,0.190435,0.809565,0,0.00326855,0.00387111,8,2.25,0.752379887,2842,everythingElse,uncensored
85365,17,8.5,0,82.35,47.06,17.65,17.65,5.88,11.76,0,0,0,0,0,11.76,11.76,0,0,0,0,5.88,0,5.88,0,5.88,0,0,11.76,0,11.76,0,0,0,0,17.65,17.65,0,0,0,0,17.65,0,0,0,0,23.53,5.88,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,17.65,5.88,5.88,5.88,5.88,0,5.88,0,5.88,0,5.88,5.88,0,0,0,0,5.88,0,0,5.88,0,0,35.29,5.88,5.88,5.88,0,0,5.88,0,11.76,0,0,0,0.962898,0.0371023,2,0.00269213,0.00348032,11,1.545454545,0.517208998,215,everythingElse,uncensored
89117,9,9,0,88.89,55.56,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,11.11,0,0,11.11,11.11,0,11.11,0,0,11.11,0,11.11,11.11,0,0,0,22.22,22.22,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,11.11,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0.492626,0.507374,1,0.00326274,0.00439283,9,1,0.33588519,34342,everythingElse,uncensored
80216,24,6,0,58.33,29.17,4.17,4.17,0,0,0,0,4.17,0,0,4.17,4.17,4.17,4.17,0,4.17,0,0,0,0,0,0,0,8.33,0,8.33,0,0,4.17,0,8.33,4.17,4.17,0,4.17,0,4.17,0,0,0,0,8.33,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,20.83,0,16.67,8.33,4.17,0,12.5,4.17,0,4.17,12.5,0,0,0,0,0,4.17,0,0,4.17,0,0,33.33,12.5,12.5,0,0,0,8.33,0,0,0,0,0,0.92472,0.0752802,2,0.00189483,0.00230408,12,2,0.668066303,11807,everythingElse,uncensored
91470,33,16.5,0,66.67,54.55,3.03,3.03,0,3.03,0,0,0,0,0,6.06,3.03,12.12,9.09,0,3.03,6.06,0,3.03,0,3.03,0,0,18.18,6.06,12.12,3.03,0,3.03,3.03,6.06,6.06,0,0,0,0,6.06,0,0,0,0,12.12,6.06,0,3.03,3.03,0,0,3.03,0,3.03,0,0,0,0,0,0,9.09,3.03,3.03,3.03,3.03,0,18.18,6.06,6.06,6.06,3.03,0,0,0,0,0,3.03,0,0,3.03,0,0,27.27,3.03,21.21,0,0,3.03,0,0,0,0,0,0,0.702395,0.297605,2,0.00103202,0.00060032,12,2.75,0.91721078,104583,everythingElse,uncensored
90581,7,7,0,85.71,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,14.29,0,0,0,0,0,0,42.86,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51078,0.48922,1,0.00053656,0.00010828,4,1.75,0.58354828,25935,everythingElse,uncensored
61080,68,9.71,0,64.71,41.18,4.41,1.47,1.47,0,0,0,0,0,2.94,10.29,1.47,4.41,10.29,2.94,0,5.88,1.47,2.94,0,0,2.94,0,5.88,1.47,4.41,2.94,1.47,7.35,5.88,10.29,1.47,5.88,0,2.94,0,8.82,1.47,1.47,1.47,0,7.35,0,1.47,1.47,2.94,1.47,1.47,0,0,0,0,1.47,1.47,1.47,0,0,4.41,0,0,2.94,0,1.47,14.71,4.41,11.76,2.94,4.41,2.94,1.47,1.47,0,0,0,0,0,0,0,0,26.47,8.82,16.18,0,0,1.47,0,0,0,0,0,0,0.0538611,0.946139,0,0.00182338,0.00168076,11,6.181818182,2.061774107,18294,everythingElse,uncensored
