idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
4,64,32.0,0.0,67.19,39.06,3.12,3.12,1.56,1.56,0.0,0.0,0.0,0.0,0.0,4.69,3.12,15.62,3.12,4.69,0.0,0.0,0.0,3.12,0.0,0.0,1.56,1.56,9.38,1.56,9.38,3.12,0.0,3.12,0.0,3.12,0.0,3.12,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,18.75,3.12,4.69,1.56,1.56,1.56,6.25,1.56,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,9.38,3.12,4.69,3.12,1.56,0.0,23.44,6.25,18.75,3.12,12.5,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.56,0.0,0.0,25.0,1.56,12.5,3.12,0.0,0.0,0.0,3.12,0.0,0.0,3.12,1.56,0.00460876,0.995391,0,0.00238541,0.00249552,11,5.818181817999999,1.941020916,879,china,censored
7,64,64.0,0.0,59.38,28.12,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,6.25,1.56,4.69,1.56,0.0,0.0,0.0,0.0,4.69,1.56,0.0,1.56,3.12,10.94,1.56,10.94,1.56,0.0,3.12,0.0,6.25,3.12,3.12,1.56,0.0,1.56,4.69,0.0,1.56,0.0,0.0,14.06,4.69,1.56,6.25,1.56,3.12,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,3.12,4.69,0.0,1.56,12.5,4.69,4.69,4.69,4.69,1.56,0.0,0.0,1.56,0.0,4.69,0.0,0.0,3.12,1.56,1.56,25.0,0.0,18.75,1.56,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.56,0.0391144,0.960886,0,0.00226858,0.00259241,11,5.818181817999999,1.941014269,769,stability,censored
8,72,12.0,0.0,73.61,37.5,5.56,4.17,0.0,4.17,0.0,0.0,0.0,0.0,1.39,2.78,2.78,9.72,5.56,1.39,0.0,1.39,0.0,8.33,0.0,0.0,0.0,8.33,18.06,6.94,18.06,5.56,9.72,2.78,0.0,4.17,1.39,2.78,0.0,1.39,0.0,18.06,0.0,0.0,0.0,0.0,27.78,9.72,1.39,1.39,8.33,1.39,4.17,1.39,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,6.94,4.17,0.0,1.39,0.0,1.39,9.72,6.94,1.39,1.39,1.39,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,22.22,6.94,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,1.39,0.0171912,0.982809,0,0.00215923,0.00244613,11,6.545454545,2.183353302,11688,boxilai,censored
9,59,29.5,0.0,69.49,42.37,10.17,3.39,3.39,0.0,0.0,0.0,0.0,0.0,6.78,8.47,10.17,1.69,6.78,5.08,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,3.39,0.0,0.0,3.39,0.0,5.08,1.69,1.69,0.0,1.69,0.0,22.03,0.0,0.0,0.0,0.0,13.56,3.39,0.0,10.17,6.78,0.0,3.39,3.39,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,13.56,1.69,1.69,10.17,0.0,0.0,1.69,1.69,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,3.39,6.78,1.69,23.73,1.69,6.78,3.39,5.08,0.0,1.69,0.0,0.0,0.0,3.39,1.69,0.024828,0.975172,0,0.00205163,0.0014568,11,5.363636364,1.789048265,934,democracy,censored
12,64,16.0,0.0,56.25,25.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,3.12,1.56,4.69,4.69,1.56,0.0,0.0,0.0,3.12,0.0,0.0,1.56,1.56,9.38,1.56,9.38,4.69,0.0,3.12,3.12,10.94,6.25,6.25,1.56,0.0,1.56,17.19,0.0,0.0,9.38,0.0,15.62,7.81,1.56,1.56,3.12,3.12,4.69,1.56,0.0,1.56,0.0,3.12,0.0,0.0,3.12,0.0,10.94,1.56,4.69,4.69,0.0,1.56,4.69,0.0,4.69,0.0,1.56,0.0,0.0,0.0,0.0,0.0,7.81,3.12,0.0,3.12,1.56,0.0,18.75,4.69,3.12,1.56,1.56,0.0,1.56,0.0,0.0,0.0,3.12,3.12,0.0178702,0.98213,0,0.00186041,0.0023102,11,5.818181817999999,1.940784143,791,democracy,censored
13,66,33.0,0.0,54.55,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,15.15,4.55,1.52,4.55,0.0,1.52,6.06,1.52,1.52,0.0,3.03,4.55,3.03,4.55,0.0,0.0,22.73,0.0,3.03,1.52,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,3.03,0.0,0.0,1.52,0.0,1.52,0.0,0.0,0.0,0.0,1.52,0.0,1.52,0.0,0.0,7.58,0.0,4.55,3.03,1.52,0.0,6.06,0.0,1.52,4.55,6.06,0.0,3.03,4.55,0.0,0.0,6.06,0.0,0.0,3.03,0.0,3.03,16.67,1.52,9.09,1.52,0.0,0.0,0.0,0.0,0.0,0.0,3.03,1.52,0.686284,0.313717,2,0.00108382,0.00089257,9,7.333333333,2.445103241,3016,social,censored
14,56,18.67,0.0,51.79,30.36,3.57,1.79,0.0,1.79,0.0,0.0,0.0,0.0,1.79,3.57,3.57,5.36,3.57,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,5.36,3.57,0.0,3.57,5.36,10.71,3.57,7.14,0.0,1.79,1.79,1.79,0.0,0.0,0.0,0.0,16.07,3.57,1.79,3.57,7.14,1.79,1.79,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,1.79,1.79,1.79,1.79,1.79,10.71,0.0,7.14,3.57,5.36,0.0,0.0,1.79,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,26.79,3.57,16.07,1.79,0.0,0.0,0.0,0.0,0.0,0.0,3.57,1.79,0.124564,0.8754360000000001,0,0.00188218,0.00172973,10,5.6,1.867870637,5588,china,censored
15,55,27.5,0.0,45.45,23.64,3.64,1.82,1.82,0.0,0.0,0.0,0.0,0.0,1.82,9.09,0.0,7.27,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,3.64,1.82,0.0,3.64,0.0,1.82,0.0,1.82,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,1.82,5.45,7.27,0.0,1.82,9.09,1.82,7.27,1.82,7.27,0.0,0.0,1.82,1.82,0.0,1.82,0.0,0.0,1.82,0.0,0.0,41.82,1.82,27.27,1.82,1.82,0.0,0.0,0.0,3.64,0.0,3.64,1.82,0.80057,0.19943,2,0.00125612,0.00109951,11,5.0,1.667451877,11689,democracy,censored
18,55,18.33,0.0,40.0,29.09,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,1.82,1.82,5.45,1.82,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,1.82,5.45,3.64,1.82,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,9.09,0.0,3.64,0.0,1.82,1.82,3.64,1.82,0.0,0.0,1.82,1.82,0.0,1.82,0.0,0.0,3.64,0.0,1.82,0.0,0.0,1.82,3.64,0.0,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09,1.82,27.27,3.64,0.0,1.82,0.0,1.82,3.64,0.0,7.27,1.82,0.204727,0.795273,0,0.00101711,0.00041967,9,6.1111111110000005,2.037515964,268392,china,censored
30,65,65.0,0.0,36.92,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,4.62,3.08,3.08,1.54,1.54,0.0,0.0,3.08,1.54,1.54,0.0,1.54,0.0,0.0,0.0,1.54,0.0,12.31,1.54,3.08,0.0,3.08,1.54,0.0,0.0,6.15,0.0,0.0,3.08,0.0,7.69,1.54,0.0,4.62,1.54,3.08,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,9.23,0.0,3.08,4.62,0.0,1.54,6.15,1.54,3.08,1.54,7.69,0.0,0.0,1.54,0.0,0.0,3.08,0.0,0.0,3.08,0.0,0.0,15.38,1.54,0.0,1.54,9.23,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.128709,0.871291,0,0.00087837,0.0003951,10,6.5,2.167091157,1768,china,censored
35,69,17.25,0.0,56.52,28.99,2.9,1.45,1.45,0.0,0.0,0.0,0.0,0.0,1.45,8.7,1.45,2.9,2.9,2.9,2.9,1.45,1.45,1.45,0.0,0.0,0.0,1.45,7.25,1.45,7.25,1.45,0.0,5.8,1.45,7.25,1.45,5.8,0.0,1.45,0.0,7.25,0.0,0.0,0.0,0.0,8.7,4.35,0.0,0.0,0.0,1.45,2.9,4.35,1.45,1.45,0.0,2.9,1.45,0.0,0.0,1.45,11.59,0.0,0.0,10.14,0.0,2.9,13.04,4.35,7.25,1.45,7.25,2.9,0.0,0.0,0.0,0.0,4.35,1.45,0.0,2.9,0.0,0.0,18.84,5.8,10.14,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140546,0.985945,0,0.00194695,0.00178935,11,6.272727272999999,2.092154524,27261,china,censored
37,56,56.0,0.0,39.29,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,5.36,0.0,5.36,7.14,0.0,0.0,5.36,0.0,0.0,5.36,0.0,3.57,0.0,3.57,0.0,0.0,7.14,0.0,7.14,7.14,0.0,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,1.79,1.79,1.79,0.0,0.0,0.0,5.36,1.79,1.79,3.57,0.0,0.0,10.71,1.79,1.79,7.14,3.57,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,1.79,19.64,0.0,3.57,0.0,0.0,0.0,10.71,0.0,0.0,0.0,0.120914,0.879086,0,0.0008051,0.00060529,11,5.090909091,1.697439827,90160,dalai,censored
41,47,15.67,0.0,48.94,29.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,2.13,0.0,10.64,0.0,0.0,2.13,2.13,0.0,0.0,0.0,12.77,0.0,12.77,0.0,0.0,17.02,4.26,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,2.13,2.13,0.0,0.0,0.0,0.0,0.0,2.13,0.0,2.13,0.0,2.13,0.0,2.13,0.0,0.0,2.13,0.0,0.0,0.0,2.13,0.0,10.64,4.26,6.38,2.13,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,4.26,0.0,0.0,23.4,6.38,6.38,2.13,0.0,0.0,0.0,0.0,4.26,0.0,0.0,4.26,0.683217,0.316783,2,0.0026793000000000003,0.00352189,9,5.222222222,1.742807804,5323,obama,censored
43,21,21.0,0.0,61.9,38.1,4.76,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0.0,9.52,0.0,0.0,14.29,0.0,0.0,4.76,0.0,0.0,0.0,4.76,9.52,4.76,9.52,9.52,0.0,14.29,0.0,9.52,4.76,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,4.76,19.05,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,9.52,0.0,4.76,14.29,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077529999999999,0.192247,2,0.00262123,0.00236308,10,2.1,0.701661437,56712,china,censored
44,34,8.5,0.0,52.94,47.06,11.76,2.94,2.94,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,11.76,2.94,2.94,2.94,11.76,2.94,11.76,2.94,0.0,5.88,2.94,2.94,2.94,2.94,14.71,0.0,8.82,0.0,2.94,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,5.88,0.0,0.0,0.0,5.88,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,2.94,2.94,14.71,0.0,2.94,0.0,0.0,0.0,0.0,5.88,0.0,0.0,2.94,0.0,2.94,26.47,8.82,14.71,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.7468899999999999,0.25311,2,0.00140482,0.00079478,10,3.4,1.134066533,177926,democracy,censored
47,71,17.75,0.0,61.97,42.25,8.45,7.04,0.0,0.0,0.0,7.04,0.0,0.0,1.41,9.86,2.82,2.82,1.41,0.0,4.23,4.23,2.82,5.63,0.0,1.41,1.41,2.82,8.45,2.82,8.45,4.23,0.0,2.82,1.41,11.27,9.86,1.41,0.0,0.0,0.0,12.68,0.0,1.41,8.45,0.0,14.08,4.23,1.41,2.82,4.23,0.0,2.82,0.0,0.0,0.0,0.0,2.82,0.0,2.82,0.0,0.0,9.86,1.41,4.23,7.04,1.41,0.0,16.9,5.63,11.27,2.82,4.23,0.0,0.0,1.41,1.41,0.0,5.63,0.0,0.0,5.63,0.0,0.0,19.72,8.45,7.04,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90673,0.09327,2,0.00207996,0.00225061,11,6.454545455,2.152958675,3601,usa,censored
54,37,12.33,0.0,48.65,37.84,5.41,2.7,0.0,2.7,0.0,0.0,0.0,0.0,2.7,10.81,2.7,8.11,0.0,0.0,2.7,2.7,0.0,5.41,0.0,2.7,0.0,2.7,5.41,5.41,2.7,2.7,0.0,13.51,0.0,5.41,2.7,2.7,2.7,0.0,0.0,5.41,0.0,0.0,0.0,0.0,8.11,2.7,0.0,2.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51,0.0,8.11,5.41,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,5.41,0.0,0.0,29.73,5.41,16.22,0.0,0.0,2.7,0.0,0.0,0.0,0.0,5.41,0.0,0.821392,0.178608,2,0.00133014,0.00091357,11,3.3636363639999995,1.121960025,2692,china,censored
56,67,13.4,0.0,59.7,28.36,4.48,2.99,1.49,1.49,0.0,1.49,0.0,0.0,2.99,5.97,2.99,4.48,4.48,0.0,1.49,1.49,1.49,5.97,1.49,2.99,0.0,2.99,4.48,2.99,2.99,0.0,0.0,5.97,0.0,8.96,5.97,1.49,0.0,1.49,0.0,13.43,1.49,0.0,0.0,0.0,8.96,2.99,0.0,4.48,2.99,2.99,1.49,5.97,1.49,2.99,0.0,2.99,0.0,1.49,0.0,1.49,11.94,4.48,0.0,5.97,1.49,1.49,10.45,1.49,5.97,2.99,4.48,2.99,0.0,0.0,1.49,0.0,4.48,0.0,0.0,4.48,1.49,0.0,25.37,7.46,17.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97997,0.020030000000000003,2,0.00103745,0.00053105,11,6.090909091,2.030825864,116862,democracy,censored
57,23,23.0,0.0,56.52,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4.35,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,13.04,8.7,0.0,4.35,4.35,4.35,0.0,4.35,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,4.35,8.7,0.0,0.0,8.7,0.0,4.35,4.35,4.35,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,4.35,0.0,0.0,17.39,4.35,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211461,0.788539,0,0.00288278,0.00388767,9,2.555555556,0.854108669,115324,china,censored
