idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
5139,7,3.5,0.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,85.71,14.29,14.29,0.0,0.0,0.0,0.0,28.57,28.57,0.0,0.0,0.0,0.34833200000000003,0.651668,0,0.00091297,0.00047353,6,1.166666667,0.389351056,1966,patriotism,uncensored
105275,78,6.5,0.0,53.85,26.92,2.56,1.28,1.28,0.0,0.0,0.0,0.0,0.0,1.28,7.69,0.0,3.85,1.28,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,11.54,6.41,5.13,0.0,0.0,0.0,2.56,5.13,2.56,2.56,1.28,0.0,1.28,12.82,0.0,0.0,0.0,0.0,6.41,5.13,0.0,0.0,5.13,1.28,0.0,2.56,0.0,0.0,1.28,2.56,1.28,2.56,0.0,0.0,12.82,1.28,1.28,10.26,1.28,0.0,12.82,0.0,8.97,2.56,6.41,0.0,0.0,0.0,0.0,0.0,2.56,0.0,1.28,0.0,1.28,0.0,33.33,3.85,0.0,11.54,7.69,6.41,3.85,0.0,0.0,0.0,0.0,0.0,0.0192514,0.980749,0,0.0010512,0.00106389,10,7.8,2.60070503,764,stability,uncensored
23599,68,13.6,0.0,72.06,48.53,7.35,1.47,1.47,0.0,0.0,0.0,0.0,0.0,5.88,5.88,5.88,13.24,7.35,4.41,0.0,1.47,1.47,1.47,0.0,0.0,0.0,1.47,8.82,1.47,8.82,2.94,4.41,1.47,5.88,8.82,1.47,5.88,0.0,1.47,0.0,11.76,5.88,0.0,0.0,0.0,26.47,2.94,2.94,7.35,7.35,4.41,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,2.94,1.47,5.88,1.47,2.94,14.71,2.94,8.82,7.35,0.0,1.47,0.0,1.47,0.0,0.0,4.41,0.0,0.0,1.47,1.47,2.94,25.0,7.35,11.76,1.47,0.0,1.47,0.0,0.0,2.94,0.0,0.0,0.0,0.0216026,0.978397,0,0.00277881,0.00267944,11,6.181818182000001,2.062425477,91204,china,uncensored
46772,6,3.0,0.0,83.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,16.67,16.67,0.0,0.0,0.0,0.0,33.33,0.0,33.33,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,16.67,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621381,0.937862,0,0.00288059,0.00472059,7,0.857142857,0.288248012,1325,cr,uncensored
23718,58,14.5,0.0,41.38,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,5.17,1.72,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,5.17,0.0,0.0,5.17,3.45,3.45,3.45,0.0,0.0,0.0,0.0,3.45,0.0,1.72,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,1.72,1.72,1.72,0.0,0.0,0.0,6.9,1.72,0.0,6.9,0.0,0.0,12.07,3.45,8.62,0.0,5.17,0.0,0.0,1.72,0.0,0.0,1.72,0.0,0.0,0.0,0.0,1.72,13.79,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202618,0.7973819999999999,0,0.00222805,0.00190137,11,5.272727273,1.758952231,209,china,uncensored
77892,54,18.0,0.0,75.93,46.3,12.96,11.11,3.7,1.85,5.56,0.0,0.0,0.0,1.85,7.41,0.0,5.56,5.56,3.7,1.85,1.85,1.85,5.56,0.0,0.0,0.0,5.56,11.11,7.41,9.26,0.0,1.85,0.0,5.56,14.81,5.56,7.41,0.0,1.85,0.0,18.52,0.0,3.7,0.0,0.0,16.67,5.56,1.85,1.85,3.7,5.56,3.7,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,12.96,5.56,0.0,3.7,1.85,1.85,11.11,5.56,5.56,1.85,0.0,0.0,1.85,3.7,0.0,0.0,11.11,0.0,0.0,9.26,1.85,1.85,22.22,3.7,16.67,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0113055,0.988694,0,0.00227647,0.0019934,10,5.4,1.80142329,1235,democracy,uncensored
11835,52,52.0,0.0,42.31,19.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,1.92,0.0,1.92,0.0,1.92,1.92,0.0,5.77,0.0,1.92,0.0,3.85,7.69,3.85,7.69,0.0,0.0,5.77,1.92,1.92,0.0,1.92,0.0,0.0,0.0,7.69,0.0,0.0,3.85,0.0,13.46,3.85,1.92,0.0,0.0,1.92,1.92,1.92,1.92,0.0,0.0,3.85,0.0,0.0,0.0,0.0,11.54,3.85,5.77,3.85,5.77,0.0,19.23,5.77,9.62,5.77,5.77,1.92,0.0,1.92,0.0,0.0,3.85,0.0,0.0,3.85,0.0,0.0,17.31,1.92,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.929521,0.0704794,2,0.00153358,0.00123377,11,4.727272727,1.576680026,217572,china,uncensored
23641,25,12.5,0.0,64.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,4.0,4.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,16.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,0.0,16.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563066,0.436934,2,0.00331666,0.00432707,9,2.777777778,0.928473836,19708,usa,uncensored
105409,71,23.67,0.0,77.46,49.3,8.45,4.23,0.0,4.23,0.0,0.0,0.0,0.0,4.23,1.41,2.82,11.27,5.63,5.63,0.0,1.41,0.0,7.04,1.41,1.41,1.41,4.23,18.31,2.82,18.31,7.04,0.0,0.0,2.82,8.45,1.41,7.04,4.23,0.0,1.41,5.63,0.0,0.0,0.0,0.0,26.76,7.04,5.63,2.82,4.23,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,4.23,2.82,4.23,1.41,7.04,19.72,4.23,4.23,9.86,4.23,0.0,0.0,1.41,0.0,0.0,4.23,0.0,0.0,2.82,1.41,0.0,16.9,4.23,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039568,0.960432,0,0.00310037,0.00402364,11,6.454545455,2.153889822,2069,china,uncensored
60204,79,39.5,0.0,75.95,49.37,6.33,5.06,0.0,0.0,2.53,0.0,2.53,0.0,1.27,13.92,2.53,8.86,6.33,1.27,2.53,3.8,1.27,5.06,1.27,1.27,1.27,1.27,11.39,1.27,11.39,3.8,0.0,1.27,1.27,7.59,2.53,1.27,0.0,0.0,1.27,13.92,0.0,0.0,0.0,0.0,18.99,5.06,3.8,2.53,2.53,1.27,6.33,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,12.66,1.27,2.53,8.86,2.53,0.0,24.05,7.59,13.92,7.59,6.33,0.0,0.0,1.27,0.0,0.0,8.86,0.0,1.27,6.33,1.27,2.53,10.13,2.53,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796972,0.203028,2,0.00304725,0.00350698,11,7.181818182000001,2.396124137,25083,democracy,uncensored
