idx,content,followers,topic,class,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability
0,"( 1 / 2 ) [ 公民 大 联署 废除 劳教 ] 签名 格式 : [ 姓名 + 籍贯 或 居住地 + 职业 ] . 方式 : 请发 签名 邮件 到 邮箱 citizenright1989 ( 原发 feichulaojiao 的 , 请 重发 , 抱歉 ) . 也 可以 发私",842,everythingElse,censored,30,10.0,6.67,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,6.67,0.0,6.67,3.33,10.0,6.67,3.33,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,3.33,6.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,6.67,0.0,0.0,6.67,3.33,3.33,0.0,3.33,0.0,3.33,3.33,0.0,0.0,3.33,0.0,0.0,3.33,0.0,0.0,56.67,6.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,13.33,23.33,0.47971,0.5202899999999999,1,0.00073652,0.00071487,11,2.727272727272727,0.9095747057575756
1,"( 1 / 2 ) 财新 博客 [ 崔卫平 : 独立 电影 的 非主流 传统 ] “ 北京 独立 电影展 ” 在 宋庄 举行 开幕式 , 放映 影片 《 鸡蛋 与 石头 》 . 不到 半小时 , 突然 放映厅 里 一片 漆黑 . 微博上 马上 有人 说 : “ 本届 电影节 被迫 中止 , 被 拉闸 停电 . ” 对 独立 影展 感到 如此 不安 , 部分 原因 在于 人们 对 “ 独立 电影 ” 望文生义 的 理解",903,everythingElse,censored,56,14.0,0.0,53.57,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93,0.0,5.36,3.57,3.57,5.36,1.79,0.0,1.79,0.0,0.0,1.79,0.0,5.36,0.0,5.36,0.0,1.79,3.57,1.79,5.36,0.0,1.79,1.79,0.0,1.79,7.14,0.0,0.0,0.0,0.0,7.14,1.79,3.57,0.0,1.79,0.0,0.0,8.93,5.36,1.79,0.0,0.0,0.0,0.0,0.0,0.0,5.36,1.79,0.0,1.79,0.0,3.57,10.71,1.79,5.36,5.36,0.0,10.71,0.0,0.0,0.0,0.0,3.57,0.0,0.0,3.57,0.0,3.57,35.71,5.36,7.14,3.57,0.0,0.0,0.0,0.0,10.71,0.0,3.57,5.36,0.469395,0.530605,1,0.00142626,0.00124591,11,5.090909090909091,1.6978604203030303
2,"( 1 / 2 ) 韩志国 : [ 五 小事 解决 民生问题 ] 1 取消 交通管制 , 让 官员 感受 堵车 之苦 才能 真正 治堵 ; 2 取消 食品 特供 , 让 官员 品尝 有毒 食品 才 有 食品安全 ; 3 取消 福利 分房 ; 让 官员 体会 买房 难 ; 民众 才能 安居乐业 ; 4 取消 公车 消费 ; 官员 才 知 油价 之高 养车 之难 ; 5 取消 干部 病房 ; 官员 才 知 看病",938,everythingElse,censored,61,61.0,0.0,44.26,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,4.92,6.56,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.11,0.0,8.2,8.2,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,14.75,9.84,6.56,0.0,0.0,1.64,0.0,3.28,0.0,0.0,1.64,6.56,0.0,1.64,0.0,4.92,14.75,1.64,4.92,8.2,0.0,0.0,0.0,0.0,0.0,0.0,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23,0.0,3.28,1.64,13.11,0.0,0.0,0.0,0.0,0.0,3.28,4.92,0.00812242,0.991878,0,0.00061817,0.00019483,9,6.777777777777778,2.259530259259259
3,"( 1 / 2 ) / 偷笑 郭 市长 问 : 这么 大水 , 村里 有 伤亡 吗 ? 村民 异口同声 : 没有 ! 我们 村 组织 得 好 , 转移 得 快 . 郭 又 问 : 村里 受 损失 了 吗 ? 村民 开心 地说 : 感谢 谠 , 我们 还 拣到 了 好多 车 , 赚 了 呢 ! 郭再 问 : 房子 有 冲塌 的 吗 ? 村民 : 早 被 强拆 光 了 , 大水 晚 了 一步 . 郭 : 庄稼 受淹 吧 ? 村民 : 没事 , 地 都",3019,everythingElse,censored,70,7.78,0.0,58.57,38.57,2.86,2.86,0.0,2.86,0.0,0.0,0.0,0.0,0.0,4.29,2.86,10.0,1.43,2.86,0.0,0.0,0.0,7.14,0.0,0.0,0.0,7.14,21.43,14.29,14.29,1.43,0.0,2.86,1.43,7.14,4.29,2.86,0.0,1.43,2.86,8.57,0.0,0.0,0.0,0.0,12.86,11.43,0.0,0.0,4.29,1.43,1.43,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.86,4.29,0.0,2.86,2.86,5.71,2.86,1.43,2.86,4.29,1.43,1.43,2.86,0.0,1.43,8.57,0.0,0.0,8.57,0.0,0.0,37.14,2.86,8.57,11.43,0.0,5.71,2.86,0.0,0.0,0.0,2.86,2.86,0.666317,0.333683,2,0.00128165,0.00110553,12,5.833333333333332,1.9452401711111107
4,"( 1 / 2 ) 《 环球时报 》 评 缅甸 新闻 开放 : 中国 需要 听从 时代 的 召唤 , 顺应 国家 现实 的 前进 , 而 不应 六神无主 , 让 缅甸 , 越南 这样 的 落后 国家 成为 我们 的 图腾 - - 先进 国家 不 学 , 落后 国家 不是 图腾 , 潜台词 : 流氓 到底 . 一家 媒体 面对 落后 国家 都 实行 的 新闻 开放 居然 这么 说话 , 大概 真是 不 把 自己 当 媒体 了 ,",879,china,censored,64,32.0,0.0,67.19,39.06,3.12,3.12,1.56,1.56,0.0,0.0,0.0,0.0,0.0,4.69,3.12,15.62,3.12,4.69,0.0,0.0,0.0,3.12,0.0,0.0,1.56,1.56,9.38,1.56,9.38,3.12,0.0,3.12,0.0,3.12,0.0,3.12,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,18.75,3.12,4.69,1.56,1.56,1.56,6.25,1.56,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,9.38,3.12,4.69,3.12,1.56,0.0,23.44,6.25,18.75,3.12,12.5,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.56,0.0,0.0,25.0,1.56,12.5,3.12,0.0,0.0,0.0,3.12,0.0,0.0,3.12,1.56,0.00460876,0.995391,0,0.00238541,0.00249552,11,5.8181818181818175,1.9410209160606056
5,"( 1 / 2 ) "" 分裂 的 兲 朝 "" 这是 一个 癌症 晚期 , 一个 神经 和 精神 皆 分裂 的 帝国 . 台上 各个 贪污犯 , 却 表演 的 清正 廉洁奉公 . 台下 大多 糊涂蛋 , 却 感觉 到 幸福快乐 迷幻 . 台上 的 把 下面 的 当猴 耍 , 当牛 使 , 当猪 羊 宰割 . 台下 的 把 上面 的 当神敬 , 当爷 看 , 当 爹娘 爱 . 最 分裂 的 是 清醒 者 , 说 台上 被 抓 ! 说 台下 被 笑",966,everythingElse,censored,71,10.14,0.0,64.79,29.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,0.0,5.63,5.63,0.0,0.0,0.0,0.0,1.41,0.0,0.0,1.41,0.0,14.08,0.0,14.08,2.82,0.0,2.82,0.0,7.04,2.82,4.23,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,9.86,2.82,1.41,0.0,0.0,0.0,4.23,9.86,2.82,4.23,2.82,5.63,2.82,1.41,1.41,0.0,2.82,1.41,1.41,0.0,0.0,0.0,22.54,2.82,16.9,2.82,2.82,1.41,0.0,0.0,0.0,0.0,1.41,0.0,0.0,1.41,0.0,0.0,26.76,7.04,11.27,0.0,0.0,0.0,1.41,0.0,2.82,0.0,2.82,1.41,0.125204,0.8747959999999999,0,0.00244046,0.0033824,11,6.454545454545454,2.153456104848485
6,"( 1 / 2 ) [ 公开 的 谋略 ] 收容遣送 , 劳教 , 计生 暴政 , 户籍制度 ... 每个 局部 具体 恶制 , 单废 哪个 都 显得 还 远远不够 , 但 组合 起来 就是 整个 恶 制度 . 认为 废除 劳教 恶制 意义 不大 的 人 , 幻想 着 来 一场 飓风 把 整座 大厦 卷 走 , 无视 抽掉 一根 根 极权 柱子 的 多米诺 效应 . 公开 的 谋略 , 就是 恶狼 的 毒牙 利爪 非拔 不可 ,",840,everythingElse,censored,64,16.0,0.0,54.69,31.25,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.56,1.56,4.69,1.56,4.69,1.56,1.56,0.0,3.12,0.0,3.12,0.0,0.0,9.38,0.0,9.38,1.56,1.56,3.12,3.12,6.25,1.56,4.69,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,10.94,4.69,0.0,1.56,1.56,4.69,0.0,1.56,0.0,0.0,0.0,1.56,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,4.69,4.69,0.0,1.56,1.56,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,3.12,3.12,29.69,7.81,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,4.69,0.024697200000000002,0.975303,0,0.00206242,0.00237724,11,5.8181818181818175,1.9408738260606055
7,"( 1 / 2 ) 人民日报 推出 新 的 黑五类 : 维权 律师 , 地下 宗教 , 异见 人士 , 网络 领袖 , 弱势群体 , 作为 打击 对象 , 这 意图 很 明显 , 就是 用 那翠 手段 阻止 人们 的 正常 诉求 , 把 正常 的 诉求 上升 到 敌我 高度 , 这是 它们 惯用 的 手法 , 制造 假想敌 , 可 在 信息化 时代 这种 手法 已经 不灵 了 , 也 希望 那些 喜欢 意淫 的 家伙 们",769,stability,censored,64,64.0,0.0,59.38,28.12,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,6.25,1.56,4.69,1.56,0.0,0.0,0.0,0.0,4.69,1.56,0.0,1.56,3.12,10.94,1.56,10.94,1.56,0.0,3.12,0.0,6.25,3.12,3.12,1.56,0.0,1.56,4.69,0.0,1.56,0.0,0.0,14.06,4.69,1.56,6.25,1.56,3.12,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,3.12,4.69,0.0,1.56,12.5,4.69,4.69,4.69,4.69,1.56,0.0,0.0,1.56,0.0,4.69,0.0,0.0,3.12,1.56,1.56,25.0,0.0,18.75,1.56,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.56,0.0391144,0.960886,0,0.00226858,0.00259241,11,5.8181818181818175,1.9410142693939392
8,"( 1 / 2 ) 党中央 要 换届 了 , 由 党中央 选举 党中央 . 我们 平头百姓 只能 做 旁观者 . 其实 , 连观 也 观不上 . 我们 不 知道 是 谁 推荐 了 谁 , 是 什么 理由 , 又 是 谁 推荐 的 被 撤 下来 , 谁 投 了 谁 的 赞成票 , 谁 投 了 反对票 . 也 包括 bxl 的 案件 , 大家 都 极为 关心 , 可是 都 掩盖 得 严严实实 . 叫喊 了 很 久 的 政府 信息 公开 只是 做",11688,boxilai,censored,72,12.0,0.0,73.61,37.5,5.56,4.17,0.0,4.17,0.0,0.0,0.0,0.0,1.39,2.78,2.78,9.72,5.56,1.39,0.0,1.39,0.0,8.33,0.0,0.0,0.0,8.33,18.06,6.94,18.06,5.56,9.72,2.78,0.0,4.17,1.39,2.78,0.0,1.39,0.0,18.06,0.0,0.0,0.0,0.0,27.78,9.72,1.39,1.39,8.33,1.39,4.17,1.39,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,6.94,4.17,0.0,1.39,0.0,1.39,9.72,6.94,1.39,1.39,1.39,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,22.22,6.94,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,1.39,0.0171912,0.982809,0,0.00215923,0.00244613,11,6.545454545454546,2.183353301818182
9,"( 1 / 2 ) 北京 早报网 : 一条 耐人寻味 的 来自 利比亚 街头 的 标语 : 如果 政府 不能 为 人民 做主 , 那 人民 就要 自己 做主 ; 如果 法制 不能 为 人民 主持公道 , 那 人民 就要 为 自己 主持公道 ; 如果 媒体 不让 人民 发声 , 那 人民 就要 上街 发声 ; 如果 政府 坚持 对 人民 高压 , 那 人民 就要 反抗 到底 . 同意 请 转发 !",934,democracy,censored,59,29.5,0.0,69.49,42.37,10.17,3.39,3.39,0.0,0.0,0.0,0.0,0.0,6.78,8.47,10.17,1.69,6.78,5.08,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,3.39,0.0,0.0,3.39,0.0,5.08,1.69,1.69,0.0,1.69,0.0,22.03,0.0,0.0,0.0,0.0,13.56,3.39,0.0,10.17,6.78,0.0,3.39,3.39,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,13.56,1.69,1.69,10.17,0.0,0.0,1.69,1.69,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,3.39,6.78,1.69,23.73,1.69,6.78,3.39,5.08,0.0,1.69,0.0,0.0,0.0,3.39,1.69,0.024828,0.9751719999999999,0,0.00205163,0.0014568,11,5.363636363636363,1.7890482645454544
