idx,content,followers,topic,class,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability
91783,"给 法律 一个 尊严 , 她们 不是 婊子 ; 给 贪官 一双 镣铐 , 他们 不是 公仆 ; 给 市民 一个 干净 的 天空 , 他们 不是 吸尘器 ; 给 农民 一块 好 田地 , 他们 需要 生活 ; 给 工人 一个 安稳 , 他们 也 要 养家糊口 ; 给 孩子 一个 好 的 教育 , 他们 不 需要 洗脑 ; 给 老人 一个 保障 , 他们 需要 安享晚年 ; 给 我们 一个 平台 , 让 我们 可以 说话 .",3592.0,brainwash,uncensored,64,64.0,0.0,75.0,37.5,14.06,14.06,0.0,3.12,0.0,0.0,10.94,0.0,0.0,1.56,9.38,10.94,1.56,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,4.69,1.56,0.0,0.0,0.0,12.5,9.38,3.12,0.0,0.0,0.0,35.94,1.56,0.0,0.0,0.0,15.62,0.0,1.56,7.81,1.56,4.69,6.25,3.12,1.56,1.56,1.56,1.56,0.0,1.56,0.0,0.0,20.31,3.12,4.69,14.06,3.12,0.0,1.56,0.0,1.56,0.0,9.38,0.0,3.12,0.0,0.0,0.0,6.25,1.56,0.0,4.69,0.0,0.0,25.0,1.56,12.5,0.0,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432714,0.956729,0,0.00270629,0.00193818,10,6.4,2.13488149
100669,"近日 成龙 在 接受 大陆 媒体 采访 时 , 除了 大谈 参与 北京奥运 等 经历 , 更 高呼 : “ 中国 给 我 的 感觉 是 中国 五千年 来 最好 的 几年 ” , 大陆 民众 狂批 他 拍 中共 马屁 , 嘲讽 他 是否 在 大陆 “ 越来越 难 混 了 , 不 拍马屁 吃不香 ” .",806.0,china,uncensored,47,47.0,0.0,61.7,36.17,6.38,6.38,2.13,0.0,0.0,4.26,0.0,0.0,0.0,8.51,0.0,4.26,0.0,2.13,0.0,4.26,0.0,4.26,0.0,2.13,0.0,4.26,8.51,2.13,8.51,6.38,2.13,2.13,2.13,8.51,2.13,4.26,0.0,2.13,0.0,21.28,0.0,0.0,0.0,4.26,12.77,8.51,0.0,0.0,0.0,0.0,6.38,4.26,0.0,0.0,2.13,2.13,2.13,0.0,0.0,0.0,6.38,4.26,2.13,0.0,2.13,0.0,8.51,2.13,4.26,2.13,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,4.26,0.0,0.0,23.4,2.13,10.64,2.13,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.06983969999999999,0.93016,0,0.00206329,0.00206787,11,4.2727272727272725,1.4256194775757576
88512,"看看 看 今日 看点 : 地沟油 案 宁波 今起 公开审理 , 看 看看 记者 现场 直击 庭审 过程 .",42801.0,env,uncensored,16,16.0,0.0,37.5,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,6.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197162,0.802838,0,0.00086172,0.00036504,7,2.2857142857142856,0.7623136819047619
95514,"虽然 群 追 不行 , 但是 群 P 还是 很 内行 ! 一位 围观 的 , 不明真相 的 群众 如实 说 !",2842.0,everythingElse,uncensored,18,9.0,0.0,72.22,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,22.22,16.67,5.56,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,5.56,0.0,11.11,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,22.22,16.67,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,22.22,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.190435,0.809565,0,0.00326855,0.00387111,8,2.25,0.7523798866666667
85365,"王 民生 : 我们 的 目标 是 “ 让 裙 中 满意 , 让 自己 的 裆 放心 . ” 谢谢 大家 !",215.0,everythingElse,uncensored,17,8.5,0.0,82.35,47.06,17.65,17.65,5.88,11.76,0.0,0.0,0.0,0.0,0.0,11.76,11.76,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,0.0,11.76,0.0,11.76,0.0,0.0,0.0,0.0,17.65,17.65,0.0,0.0,0.0,0.0,17.65,0.0,0.0,0.0,0.0,23.53,5.88,11.76,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,5.88,5.88,5.88,5.88,0.0,5.88,0.0,5.88,0.0,5.88,5.88,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,35.29,5.88,5.88,5.88,0.0,0.0,5.88,0.0,11.76,0.0,0.0,0.0,0.962898,0.037102300000000005,2,0.00269213,0.00348032,11,1.5454545454545454,0.5172089984848485
89117,眼下 最 冷静 的 做法 就是 别 那么 冷静,34342.0,everythingElse,uncensored,9,9.0,0.0,88.89,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,11.11,11.11,0.0,0.0,11.11,11.11,0.0,11.11,0.0,0.0,11.11,0.0,11.11,11.11,0.0,0.0,0.0,22.22,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,11.11,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492626,0.507374,1,0.00326274,0.00439283,9,1.0,0.33588519
80216,"欧洲杯 决赛 尘埃落定 , 打法 先进 的 球队 拿 冠军 , 打法 领先 10 年 . 能 打败 他们 的 是 时间 . 恭喜 西班牙 , 卫冕冠军 ! ! 还是 无敌 …",11807.0,everythingElse,uncensored,24,6.0,0.0,58.33,29.17,4.17,4.17,0.0,0.0,0.0,0.0,4.17,0.0,0.0,4.17,4.17,4.17,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,4.17,0.0,8.33,4.17,4.17,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,8.33,0.0,0.0,4.17,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,0.0,16.67,8.33,4.17,0.0,12.5,4.17,0.0,4.17,12.5,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,4.17,0.0,0.0,33.33,12.5,12.5,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.92472,0.0752802,2,0.00189483,0.00230408,12,2.0,0.6680663033333333
91470,"终于 登机 , 排 在 第四架 , 空姐 笑 曰 , 且 等 着 吧 , 北京 来 成都 时 也 管制 , 找 关系 才 抢 飞过来 . 好 吧 , 晚安 北京 , 一点 咱 哥们 能 到 么 ?",104583.0,everythingElse,uncensored,33,16.5,0.0,66.67,54.55,3.03,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,6.06,3.03,12.12,9.09,0.0,3.03,6.06,0.0,3.03,0.0,3.03,0.0,0.0,18.18,6.06,12.12,3.03,0.0,3.03,3.03,6.06,6.06,0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,0.0,12.12,6.06,0.0,3.03,3.03,0.0,0.0,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,9.09,3.03,3.03,3.03,3.03,0.0,18.18,6.06,6.06,6.06,3.03,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,3.03,0.0,0.0,27.27,3.03,21.21,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.702395,0.297605,2,0.00103202,0.00060032,12,2.75,0.91721078
90581,第 12 章 行业 逆向 投资 策略,25935.0,everythingElse,uncensored,7,7.0,0.0,85.71,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,14.29,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51078,0.48922,1,0.00053656,0.00010828,4,1.75,0.58354828
61080,"微自护 如何 预防 坏人 勒索 呢 ? 1 , 放学 后 应立即 和 同学 结伴 回家 . 2 , 离开 家时 , 不要 带过 多 的 钱 和 贵重物品 . 3 , 天黑 时 , 不要 独自 出来 玩 . 4 , 在 有 路灯 照明 和 人 多 的 地方 行走 . 5 , 遇到 坏人 勒索 时 , 应 大声喊叫 , 并 立即 向 家人 或 老师 报告 . 如果 情况紧急 , 有 生命危险 时 , 应采 一切 方法 保全 自己 的 生命 .",18294.0,everythingElse,uncensored,68,9.71,0.0,64.71,41.18,4.41,1.47,1.47,0.0,0.0,0.0,0.0,0.0,2.94,10.29,1.47,4.41,10.29,2.94,0.0,5.88,1.47,2.94,0.0,0.0,2.94,0.0,5.88,1.47,4.41,2.94,1.47,7.35,5.88,10.29,1.47,5.88,0.0,2.94,0.0,8.82,1.47,1.47,1.47,0.0,7.35,0.0,1.47,1.47,2.94,1.47,1.47,0.0,0.0,0.0,0.0,1.47,1.47,1.47,0.0,0.0,4.41,0.0,0.0,2.94,0.0,1.47,14.71,4.41,11.76,2.94,4.41,2.94,1.47,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47,8.82,16.18,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0538611,0.946139,0,0.00182338,0.00168076,11,6.1818181818181825,2.0617741072727283
