idx,'CRIE Readability 1.0','SVM readability prediction 1.0','SVM readability prediction 2.0',Paragraphs,'Average paragraph length',Characters,Words,Adverbs,Verbs,'Type-token ratio','Difficult words','Low-stroke characters','Intermediate-stroke characters','High-stroke characters','Average strokes','Two-character words','Three-character words',Sentences,'Average sentence length','Simple sentence ratio','modifiers per NP','Np ratio','Average propositional phrase','Sentences with complex structure',Parallelism,'Average number of idioms each sentence','Content words',Negatives,'Sentences with complex semantic categories','Number of complex semantic categories','Intentional words','Noun word density','Content word frequency in logarithmic','Average frequency of content word in domain in Logarithmic','Number of Idioms','Standard Deviation of number of idioms',Pronouns,'Personal pronouns','First personal pronouns','Third personal pronouns',conjunctions,'positive conjunctions','negative conjunctions','adversative conjunctions','causal conjunctions','hypothesis conjunction','condition conjunction','purpose conjunctions','figure of speech (simile)','Content word category',WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
4,0.657475,0.195487,-0.651698,0,0.381921,0.761309,0.556693,1.0327600000000001,-0.084381,-0.713576,-0.281084,-0.09147999999999999,0.147699,-0.16983199999999998,1.092439,1.264393,-0.860499,0.381921,-0.13023099999999999,-0.720549,-0.173015,-0.023236,-0.330538,-0.099172,-0.11835899999999999,-0.282775,0.372818,1.6026209999999999,0.599763,0.28430900000000003,-0.398656,0.372818,0.671966,1.549568,-0.294373,-0.15883599999999998,0.084472,0.100213,0.35012600000000005,-0.400669,-0.439856,-0.80513,0.43478599999999995,-0.363487,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,-0.409992,0.6967939999999999,0.80774,-0.122295,0.5728850000000001,0.377797,-0.310677,0.153693,0.36787600000000004,0.94558,-0.337336,-0.281177,-0.243365,-0.189858,-0.750777,-0.272144,0.31786,1.462971,-0.392034,0.772864,-0.660446,-0.675022,-0.48617299999999997,-0.24201399999999998,-0.46948599999999996,-0.569407,0.294566,-0.075311,0.018736000000000003,-0.22596999999999998,0.180945,0.113015,-0.443107,0.141023,-0.686851,-0.7320220000000001,-0.8155899999999999,-0.15078,-0.332685,-0.463552,-0.301141,0.18323499999999998,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,0.853879,-0.17638399999999999,1.146878,-0.16501300000000002,-0.149874,-0.21313600000000002,1.261601,-0.129936,-0.443374,0.472599,-0.27866799999999997,-0.48211499999999996,-0.313348,-0.285244,-0.23919400000000002,-0.2257,-0.039329,0.627347,0.7782060000000001,-0.492796,0.548149,-0.549976,2.134477,1.2084489999999999,3.129058,-0.134237,1.6528900000000002,-0.373008,-0.196129,-0.47085600000000005,-0.24443,-0.269583,-0.9237559999999999,-0.237173,-0.23873899999999998,-0.699595,-0.378841,-0.612421,0.135744,-0.387219,0.285379,0.9324540000000001,-0.294319,-0.435381,-0.333002,0.957152,-0.377053,-0.09074199999999999,1.966938,0.295045,-1.129097,1.1290959999999999,-0.749889,0.437468,0.336658,0.559443,0.5923510000000001,0.592763,-0.198456,china,censored
7,0.841556,0.195487,-0.651698,0,0.381921,0.790513,0.508425,-0.48050299999999996,-0.654175,0.755509,0.08669199999999999,-0.645659,0.715539,-0.16983199999999998,0.232068,0.9423459999999999,0.45088100000000003,0.381921,-0.160547,-0.720549,0.636099,0.191685,-0.020894,0.376143,-0.11835899999999999,-0.282775,0.34123600000000004,-0.486922,1.2031120000000002,1.0245309999999999,-0.398656,0.341237,-0.746955,-0.37788299999999997,-0.294373,-0.15883599999999998,-0.326008,-0.739313,-0.484121,0.471262,-0.43124700000000005,-0.11573599999999999,0.45078,-0.363487,-0.334022,1.008437,-0.21933699999999998,-0.084213,-0.157799,0.927165,0.6967939999999999,3.129018,-0.122295,-0.053466,-0.6432399999999999,0.024513,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,0.963083,0.11236600000000001,-0.21628499999999998,-0.568239,-0.797452,-0.760793,-0.660446,-0.675022,-0.48617299999999997,0.177776,0.707626,-0.569407,0.294566,0.542651,0.304705,-0.22596999999999998,0.491281,-0.395348,-0.443107,0.141023,-0.686851,-0.168383,0.17009100000000002,-0.15078,1.0999860000000001,-0.463552,1.1604860000000001,-0.593527,-0.31669899999999995,1.225101,-0.27319,-0.29122800000000004,0.21996500000000002,0.257603,-0.069881,1.531077,-0.149874,0.31704099999999996,-0.802941,-0.129936,0.595731,-0.44441499999999995,-0.27866799999999997,-0.48211499999999996,-0.313348,-0.285244,-0.23919400000000002,-0.2257,-0.551654,-0.655533,0.25824899999999995,-0.157496,-0.472488,0.074451,0.31969699999999995,0.6896770000000001,-0.13841900000000001,0.28418000000000004,0.034222,0.44056999999999996,-0.196129,-0.47085600000000005,0.957667,-0.269583,-0.21430700000000003,-0.237173,-0.23873899999999998,-0.278163,0.6615489999999999,0.211287,0.135744,-0.559424,1.276724,0.24629600000000001,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.09074199999999999,1.966938,0.295045,-1.020749,1.02075,-0.749889,0.274644,0.422333,0.559443,0.5923510000000001,0.592751,-0.19862,stability,censored
8,0.616324,0.195487,-0.651698,0,0.381921,0.761309,0.942838,2.622911,0.09691799999999999,-1.504622,-1.757095,0.054024,-0.001392,-0.16983199999999998,0.052372,-1.7714349999999999,0.818271,0.381921,0.112292,-0.720549,0.285761,-0.704056,-0.330538,1.326773,-0.11835899999999999,-0.282775,-0.978195,0.751326,0.599763,0.43104499999999996,-0.398656,-0.978195,1.212892,0.688353,-0.294373,-0.15883599999999998,2.587078,2.618791,0.998984,-0.400669,-0.018005,-0.20191099999999998,0.322827,1.103301,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,-1.53995,1.103106,-0.643059,-0.122295,1.087759,0.23220100000000002,0.210256,0.438591,-0.446974,3.099489,-0.337336,-0.281177,-0.243365,-0.189858,-0.242831,-0.742923,0.201444,0.366527,0.242081,-0.306255,-0.660446,0.033198000000000005,-0.48617299999999997,1.151045,-0.46948599999999996,-0.569407,-0.5095890000000001,2.606486,1.6098940000000002,1.419151,1.907686,0.9081469999999999,5.612641,0.069008,-0.686851,-0.542942,-0.37645700000000004,-0.233208,-0.332685,0.147574,-0.301141,1.620824,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,2.074402,1.648021,-0.135967,-0.226491,2.4906650000000004,-0.270912,0.574522,-0.196699,-0.443374,0.372668,-0.27866799999999997,-0.48211499999999996,-0.313348,-0.285244,-0.23919400000000002,-0.2257,-0.438713,1.059085,-0.77504,-0.862266,-0.472488,0.006404000000000001,-0.141463,1.437906,-0.905323,-0.595295,-0.6497229999999999,-0.373008,-0.196129,-0.47085600000000005,-0.24443,-0.269583,1.240858,-0.237173,-0.23873899999999998,1.880324,-0.378841,-0.612421,-0.07584500000000001,0.206668,0.06490399999999999,-0.43986099999999995,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.09074199999999999,1.72321,0.22073600000000002,-1.089588,1.089589,-0.749889,0.122244,0.292984,0.559443,1.016543,1.0167979999999999,-0.182319,boxilai,censored
9,0.131432,0.195487,-0.651698,0,1.206978,0.673696,0.556693,0.372237,0.32354,-2.64175,-1.053415,0.734352,-0.6984899999999999,-0.16983199999999998,-1.224093,0.9938739999999999,-0.539033,1.206978,-0.6152770000000001,-0.720549,-0.9654469999999999,-0.157322,-0.48536,-0.83591,-0.11835899999999999,-0.282775,0.593893,-0.486922,1.806461,2.179047,0.828709,0.593893,3.025625,0.036827,-0.294373,-0.15883599999999998,0.084472,0.100213,-0.484121,-0.400669,1.187284,1.909358,-0.572842,-0.363487,-0.334022,5.096646,-0.21933699999999998,-0.084213,-0.157799,-2.079631,0.44284799999999996,0.62639,-0.122295,0.7573409999999999,0.686721,1.194477,0.22695300000000002,1.323759,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,1.7268279999999998,0.659554,2.7317810000000002,-1.125753,0.559139,0.9003969999999999,0.023578,-0.675022,-0.48617299999999997,-1.0762450000000001,-0.46948599999999996,-0.569407,-0.5095890000000001,-0.693274,-1.079309,-0.702994,-1.010666,-0.903711,-0.443107,0.198211,-0.686851,-0.379073,-0.28168000000000004,-0.497462,-0.332685,0.279472,-0.301141,2.278339,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,0.152383,-0.10175,-0.676318,2.948704,1.886111,-0.743314,0.316867,0.588755,-0.443374,1.5483280000000001,-0.27866799999999997,-0.48211499999999996,-0.313348,-0.285244,-0.23919400000000002,-0.2257,0.644861,0.03936,-0.215342,1.0128489999999999,-0.472488,-0.549976,-1.473519,-0.30796100000000004,-1.228352,-0.965741,-0.235211,-0.373008,-0.196129,-0.47085600000000005,-0.24443,-0.269583,1.027796,-0.237173,-0.23873899999999998,-0.205223,4.142853,0.279929,0.039083,-0.372869,-0.621899,1.051212,1.603122,-0.435381,0.126578,-0.19434,-0.377053,-0.09074199999999999,2.160487,0.35186999999999996,-1.0656079999999999,1.0656079999999999,-0.749889,-0.027717000000000002,-0.581834,0.559443,0.327231,0.326839,-0.198374,democracy,censored
12,-0.215577,0.195487,-0.651698,0,-0.44313500000000006,0.848922,0.653229,-0.7753399999999999,0.014509000000000001,-0.35401,0.814222,-0.8749610000000001,0.659958,-0.16983199999999998,0.5532050000000001,1.354566,-0.558515,-0.44313500000000006,0.9308069999999999,0.585742,-0.364867,0.276059,-0.020894,0.6613319999999999,-0.11835899999999999,2.478452,-0.21001599999999998,0.188486,-0.003585,-0.39420700000000003,0.791516,-0.21001599999999998,0.202959,-1.949802,1.598272,2.4970529999999997,-0.74973,-0.739313,-0.484121,0.431629,0.595597,1.169043,-0.572842,-0.363487,1.401366,-0.383293,-0.21933699999999998,-0.084213,-0.157799,-0.31340100000000004,0.6967939999999999,-0.35289899999999996,-0.122295,-0.304487,-0.9344309999999999,-0.310677,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,0.38936,-0.6591199999999999,-0.21628499999999998,-0.568239,0.015983,-0.250664,-0.660446,-0.675022,-0.48617299999999997,-0.24201399999999998,-0.46948599999999996,-0.569407,0.294566,-0.075311,0.018736000000000003,-0.22596999999999998,0.180945,0.624637,-0.443107,0.141023,0.502479,0.676175,1.158931,0.6080409999999999,1.0999860000000001,-0.463552,1.1604860000000001,1.476734,-0.31669899999999995,-0.271146,5.846776,-0.29122800000000004,0.43081899999999995,1.120049,-0.069881,-0.16501300000000002,0.458581,0.31704099999999996,0.746291,-0.129936,-0.443374,0.472599,-0.27866799999999997,0.65225,-0.313348,-0.285244,3.2683,-0.2257,0.21601399999999998,-0.014093000000000001,0.7782060000000001,-0.157496,-0.472488,0.074451,-0.975864,-0.869964,-0.13841900000000001,-0.965741,-0.6144890000000001,-0.373008,-0.196129,-0.47085600000000005,-0.24443,-0.269583,0.49287600000000004,2.8651150000000003,-0.23873899999999998,-0.278163,0.6615489999999999,-0.612421,-0.339951,-0.041705,-1.202431,0.24629600000000001,0.28835900000000003,-0.435381,0.091226,-0.19434,-0.377053,-0.09074199999999999,1.966938,0.976943,-1.087456,1.087456,-0.749889,-0.294218,0.172788,0.559443,0.5923510000000001,0.592348,-0.19858699999999999,democracy,censored
13,0.49516499999999997,0.195487,-0.651698,0,0.381921,0.235629,0.267084,0.402605,-0.42196999999999996,-0.631744,-0.099986,0.626945,-0.588435,-0.16983199999999998,-0.7649739999999999,0.658057,-0.47252200000000005,0.381921,-0.312123,-0.720549,-0.86535,0.94815,-0.330538,0.376143,-0.11835899999999999,-0.282775,1.1427690000000001,0.281646,0.599763,-0.053522,-0.398656,1.1427690000000001,0.877885,0.487936,-0.294373,-0.15883599999999998,-0.74973,-0.739313,-0.484121,-0.400669,-0.9822360000000001,-0.80513,-0.572842,-0.363487,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,-0.23726999999999998,0.798372,0.88028,-0.122295,-0.440824,0.125804,-0.9767879999999999,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,-0.750777,-1.053489,-0.750429,1.375627,-0.020401,-0.263744,1.1811559999999999,-0.675022,0.639007,0.544089,0.6774439999999999,0.405018,-0.5095890000000001,0.506999,-0.8666659999999999,0.22353299999999998,-0.779903,-0.903711,-0.443107,4.294582,-0.686851,-0.748229,-0.335387,-0.538676,-0.332685,-0.463552,-0.301141,-1.37029,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,-0.86134,-0.201263,-0.676318,-0.72917,-0.165476,-0.743314,-0.300844,-0.742591,-0.443374,-0.44441499999999995,-0.27866799999999997,0.070524,-0.313348,0.558589,-0.23919400000000002,-0.2257,-0.333957,-0.655533,0.7318399999999999,-0.512017,0.521979,-0.549976,-0.748602,-0.869964,-0.8751120000000001,0.246869,0.318162,-0.373008,3.979085,1.746018,-0.24443,-0.269583,0.096219,-0.237173,-0.23873899999999998,-0.302476,-0.378841,0.9874729999999999,-0.498262,-0.391635,-0.255498,0.22870300000000002,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.09074199999999999,1.902422,0.277561,1.01136,-1.011357,1.434596,-1.376543,-1.080756,-0.9629620000000001,1.476084,1.474811,-0.19526500000000002,social,censored
14,0.826433,0.195487,-0.651698,0,1.206978,0.848922,0.653229,0.719178,0.21228899999999998,0.50895,-0.084491,0.259221,-0.356915,1.5453430000000001,0.44933599999999996,0.829923,-0.8702409999999999,1.206978,-0.569804,-0.720549,-0.840326,-0.519247,-0.717593,-0.408127,-0.11835899999999999,-0.282775,0.8618629999999999,-0.486922,-0.003585,-0.0008730000000000001,-0.398656,0.8618629999999999,-0.31266900000000003,-0.9342290000000001,-0.294373,-0.15883599999999998,-0.34526799999999996,-0.33226999999999995,0.324846,-0.400669,-0.45629200000000003,-0.147072,-0.572842,-0.363487,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,0.864086,0.290481,-0.159217,-0.122295,-0.662172,-0.434179,-0.214604,-0.20717800000000003,-0.446974,1.1353879999999998,-0.337336,-0.281177,-0.243365,-0.189858,-0.09666,-0.548203,0.47193999999999997,-0.44372700000000004,-0.27508699999999997,-0.175453,-0.660446,-0.675022,-0.48617299999999997,-1.0762450000000001,-0.46948599999999996,-0.569407,-0.5095890000000001,-0.693274,-0.718182,-0.702994,-0.618767,0.259658,-0.443107,0.236337,1.356357,0.634758,0.312256,0.823808,-0.332685,0.323438,1.375982,-1.073828,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,0.491642,-0.051993,0.019528999999999998,0.561883,2.026523,-0.134969,-0.21165599999999998,-0.039608,-0.443374,-0.44441499999999995,-0.27866799999999997,-0.48211499999999996,-0.313348,-0.285244,-0.23919400000000002,-0.2257,-0.405977,0.080478,-0.182223,-0.77684,0.698628,0.16651400000000002,0.022763,-0.869964,0.43094899999999997,-0.014308000000000001,0.173083,-0.373008,-0.196129,0.401277,-0.24443,-0.269583,-0.468167,-0.237173,-0.23873899999999998,-0.156596,-0.378841,-0.612421,0.271983,-0.165339,0.8516360000000001,0.347461,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.09074199999999999,2.289519,0.395581,-0.752438,0.752438,-0.749889,-0.263878,-0.340495,-0.20176,0.46509399999999995,0.464764,-0.191426,china,censored
15,-0.197623,0.195487,-0.651698,0,-0.44313500000000006,0.527673,0.21881599999999998,-0.5393640000000001,1.461425,1.1599540000000002,0.309681,-0.44563,0.510579,-0.16983199999999998,0.381475,0.595214,0.6227590000000001,-0.44313500000000006,0.5215489999999999,0.585742,-0.715205,0.914327,0.44357299999999994,1.516899,-0.11835899999999999,2.478452,0.8731459999999999,-0.486922,-0.003585,-0.633078,0.9794379999999999,0.8731450000000001,-1.0569819999999999,-0.698259,1.897111,2.4970529999999997,0.655242,0.20331300000000002,-0.484121,-0.400669,-0.9822360000000001,-0.80513,-0.572842,-0.363487,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,1.584522,0.23969200000000002,0.48131,-0.122295,-1.170631,-1.061361,-0.199659,-0.19903800000000002,0.503685,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,-0.08569700000000001,0.812372,-0.750429,-0.088777,-1.20287,-0.760793,-0.660446,0.252287,-0.48617299999999997,-1.0762450000000001,-0.46948599999999996,-0.569407,-0.5095890000000001,-0.693274,-1.03348,-0.702994,-0.960932,-0.310621,-0.443107,0.251164,-0.686851,-0.9661219999999999,-0.8155899999999999,-0.465946,-0.332685,-0.463552,-0.301141,0.135205,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,-1.188434,-1.03883,-0.676318,-0.72917,-0.758329,-0.124773,-0.201746,-0.742591,-0.443374,-0.44441499999999995,-0.27866799999999997,-0.48211499999999996,-0.313348,-0.285244,-0.23919400000000002,-0.2257,0.509005,0.092814,1.0299040000000002,0.39350599999999997,-0.472488,0.17852200000000001,-0.245971,-0.26473,0.461161,-0.48069700000000004,0.5689420000000001,-0.373008,-0.196129,0.415894,1.158016,-0.269583,-0.8648239999999999,-0.237173,-0.23873899999999998,-0.629356,-0.378841,-0.612421,1.4159329999999999,-0.358518,2.628125,0.360656,0.385472,-0.435381,-0.333002,-0.19434,0.46241400000000005,-0.09074199999999999,2.339699,0.408695,1.370217,-1.370217,1.434596,-1.1364100000000001,-0.897769,0.559443,0.11513499999999999,0.114069,-0.182317,democracy,censored
18,-0.397061,0.195487,-0.651698,0,-0.44313500000000006,0.556878,0.604961,-1.836285,-1.1387,-0.823105,0.274994,-1.192956,1.2763280000000001,-0.16983199999999998,-0.736401,-0.021613999999999998,-0.23240300000000003,-0.44313500000000006,0.8853340000000001,0.585742,0.369174,-0.887741,-0.9498270000000001,-0.47942399999999996,-0.11835899999999999,-0.282775,2.362493,0.884675,-0.003585,-0.530705,-0.398656,2.362493,0.431471,-0.155105,-0.294373,-0.15883599999999998,-0.74973,-0.739313,-0.484121,-0.400669,-0.9822360000000001,-0.80513,-0.572842,-0.363487,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,0.236848,0.23969200000000002,-0.183881,-0.122295,-1.607713,-0.552709,-0.199659,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,0.579383,-0.9795450000000001,-0.12726099999999999,-0.42700200000000005,-0.7298819999999999,0.429508,-0.660446,-0.675022,-0.48617299999999997,-1.0762450000000001,-0.46948599999999996,-0.569407,-0.5095890000000001,-0.693274,-1.7007400000000001,-0.702994,-1.68505,-0.903711,-0.443107,4.8707,0.006925,-0.312444,0.33437100000000003,-0.465946,-0.332685,-0.463552,-0.301141,-0.767429,-0.31669899999999995,-0.271146,-0.27319,-0.29122800000000004,-0.45179600000000003,-1.03883,0.7387,-0.72917,-0.048465,-0.124773,0.399448,-0.027826999999999998,-0.443374,-0.44441499999999995,2.032893,0.179598,-0.313348,0.7251350000000001,-0.23919400000000002,-0.2257,-0.9788629999999999,-0.655533,-0.17228800000000002,-1.159124,-0.472488,0.17852200000000001,-1.150043,-0.869964,-1.228352,-0.48069700000000004,-0.560603,-0.373008,-0.196129,-0.47085600000000005,-0.24443,-0.269583,-1.277348,-0.237173,-0.23873899999999998,-1.121027,-0.378841,-0.612421,1.9692610000000002,-0.358518,2.628125,1.161173,-0.294319,0.36649699999999996,-0.333002,0.477364,0.46241400000000005,-0.09074199999999999,4.941852,0.408695,-0.500727,0.500727,-0.749889,-1.469516,-1.49892,-0.9629620000000001,0.763206,0.7616109999999999,0.200927,china,censored
30,-1.282483,0.195487,-0.651698,0,0.794449,0.7029,0.653229,-1.415848,0.014509000000000001,1.515735,0.364865,-0.7306560000000001,0.802632,-0.16983199999999998,0.72464,0.567601,0.064935,0.794449,-0.355431,1.892034,0.142765,0.8267639999999999,-0.9498270000000001,-0.27571799999999996,-0.11835899999999999,-0.282775,1.719366,-0.486922,-0.26216300000000003,0.670196,0.791516,1.7193650000000003,-1.0878940000000001,-1.04627,-0.294373,-0.15883599999999998,-0.74973,-0.739313,-0.484121,-0.400669,0.06965199999999999,0.510985,-0.572842,-0.363487,-0.334022,-0.383293,-0.21933699999999998,-0.084213,-0.157799,2.188758,0.747583,3.2015580000000003,-0.122295,-1.8547240000000003,-1.8322720000000001,-0.9767879999999999,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,-0.750777,-0.668979,0.8314600000000001,-0.8674379999999999,-0.402429,-0.257204,-0.037134,-0.675022,-0.48617299999999997,-0.252709,0.692535,0.417839,-0.5095890000000001,-0.083234,-1.7007400000000001,-0.702994,-1.68505,-0.401866,-0.443107,2.087541,-0.09981,-0.739225,-0.8155899999999999,-0.160478,1.081619,-0.463552,-0.301141,-0.351721,-0.31669899999999995,-0.271146,1.7363509999999998,-0.29122800000000004,-0.6410239999999999,-0.613136,-0.676318,0.9416049999999999,-0.157675,0.30344699999999997,-0.802941,-0.742591,-0.443374,-0.44441499999999995,-0.27866799999999997,0.077796,-0.313348,-0.285244,-0.23919400000000002,-0.2257,-0.06388200000000001,-0.655533,0.245002,-0.17244600000000002,-0.472488,0.066445,-0.733672,-0.35784299999999997,-0.512575,-0.555319,0.655989,-0.373008,-0.196129,0.279471,-0.24443,-0.269583,-0.579231,-0.237173,-0.23873899999999998,-0.28896900000000003,-0.378841,-0.612421,-0.596445,-0.389427,-1.6973099999999999,0.237499,3.153197,-0.435381,-0.333002,-0.19434,-0.377053,-0.09074199999999999,-0.269623,0.9594590000000001,-0.7394229999999999,0.7394229999999999,-0.749889,-1.6628759999999998,-1.520646,-0.20176,0.990031,0.9883430000000001,-0.197129,china,censored
