'CRIE Readability 1.0','SVM readability prediction 1.0',Paragraphs,'Average paragraph length',Characters,Words,Adverbs,Verbs,'Type-token ratio','Difficult words','Low-stroke characters','Intermediate-stroke characters','High-stroke characters','Average strokes','Two-character words','Three-character words',Sentences,'Average sentence length','Simple sentence ratio','modifiers per NP','Np ratio','Average propositional phrase','Sentences with complex structure',Parallelism,'Average number of idioms each sentence','Content words',Negatives,'Sentences with complex semantic categories','Number of complex semantic categories','Intentional words','Noun word density','Content word frequency in logarithmic','Average frequency of content word in domain in Logarithmic','Number of Idioms',Pronouns,'Personal pronouns','First personal pronouns','Third personal pronouns',conjunctions,'positive conjunctions','negative conjunctions','adversative conjunctions','causal conjunctions','hypothesis conjunction','condition conjunction','purpose conjunctions','figure of speech (simile)','Content word category',pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,class
0.657475,0.195487,0,0.381921,0.761309,0.556693,1.03276,-0.084381,-0.713576,-0.281084,-0.09148,0.147699,-0.169832,1.092439,1.264393,-0.860499,0.381921,-0.130231,-0.720549,-0.173015,-0.023236,-0.330538,-0.099172,-0.118359,-0.282775,0.372818,1.602621,0.599763,0.284309,-0.398656,0.372818,0.671966,1.549568,-0.294373,0.084472,0.100213,0.350126,-0.400669,-0.439856,-0.80513,0.434786,-0.363487,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,-0.409992,-1.129097,1.129096,-0.749889,0.437468,0.336658,0.559443,0.592351,0.592763,-0.198456,censored
0.841556,0.195487,0,0.381921,0.790513,0.508425,-0.480503,-0.654175,0.755509,0.086692,-0.645659,0.715539,-0.169832,0.232068,0.942346,0.450881,0.381921,-0.160547,-0.720549,0.636099,0.191685,-0.020894,0.376143,-0.118359,-0.282775,0.341236,-0.486922,1.203112,1.024531,-0.398656,0.341237,-0.746955,-0.377883,-0.294373,-0.326008,-0.739313,-0.484121,0.471262,-0.431247,-0.115736,0.45078,-0.363487,-0.334022,1.008437,-0.219337,-0.084213,-0.157799,0.927165,-1.020749,1.02075,-0.749889,0.274644,0.422333,0.559443,0.592351,0.592751,-0.19862,censored
0.616324,0.195487,0,0.381921,0.761309,0.942838,2.622911,0.096918,-1.504622,-1.757095,0.054024,-0.001392,-0.169832,0.052372,-1.771435,0.818271,0.381921,0.112292,-0.720549,0.285761,-0.704056,-0.330538,1.326773,-0.118359,-0.282775,-0.978195,0.751326,0.599763,0.431045,-0.398656,-0.978195,1.212892,0.688353,-0.294373,2.587078,2.618791,0.998984,-0.400669,-0.018005,-0.201911,0.322827,1.103301,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,-1.53995,-1.089588,1.089589,-0.749889,0.122244,0.292984,0.559443,1.016543,1.016798,-0.182319,censored
0.131432,0.195487,0,1.206978,0.673696,0.556693,0.372237,0.32354,-2.64175,-1.053415,0.734352,-0.69849,-0.169832,-1.224093,0.993874,-0.539033,1.206978,-0.615277,-0.720549,-0.965447,-0.157322,-0.48536,-0.83591,-0.118359,-0.282775,0.593893,-0.486922,1.806461,2.179047,0.828709,0.593893,3.025625,0.036827,-0.294373,0.084472,0.100213,-0.484121,-0.400669,1.187284,1.909358,-0.572842,-0.363487,-0.334022,5.096646,-0.219337,-0.084213,-0.157799,-2.079631,-1.065608,1.065608,-0.749889,-0.027717,-0.581834,0.559443,0.327231,0.326839,-0.198374,censored
-0.215577,0.195487,0,-0.443135,0.848922,0.653229,-0.77534,0.014509,-0.35401,0.814222,-0.874961,0.659958,-0.169832,0.553205,1.354566,-0.558515,-0.443135,0.930807,0.585742,-0.364867,0.276059,-0.020894,0.661332,-0.118359,2.478452,-0.210016,0.188486,-0.003585,-0.394207,0.791516,-0.210016,0.202959,-1.949802,1.598272,-0.74973,-0.739313,-0.484121,0.431629,0.595597,1.169043,-0.572842,-0.363487,1.401366,-0.383293,-0.219337,-0.084213,-0.157799,-0.313401,-1.087456,1.087456,-0.749889,-0.294218,0.172788,0.559443,0.592351,0.592348,-0.198587,censored
0.495165,0.195487,0,0.381921,0.235629,0.267084,0.402605,-0.42197,-0.631744,-0.099986,0.626945,-0.588435,-0.169832,-0.764974,0.658057,-0.472522,0.381921,-0.312123,-0.720549,-0.86535,0.94815,-0.330538,0.376143,-0.118359,-0.282775,1.142769,0.281646,0.599763,-0.053522,-0.398656,1.142769,0.877885,0.487936,-0.294373,-0.74973,-0.739313,-0.484121,-0.400669,-0.982236,-0.80513,-0.572842,-0.363487,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,-0.23727,1.01136,-1.011357,1.434596,-1.376543,-1.080756,-0.962962,1.476084,1.474811,-0.195265,censored
0.826433,0.195487,0,1.206978,0.848922,0.653229,0.719178,0.212289,0.50895,-0.084491,0.259221,-0.356915,1.545343,0.449336,0.829923,-0.870241,1.206978,-0.569804,-0.720549,-0.840326,-0.519247,-0.717593,-0.408127,-0.118359,-0.282775,0.861863,-0.486922,-0.003585,-0.000873,-0.398656,0.861863,-0.312669,-0.934229,-0.294373,-0.345268,-0.33227,0.324846,-0.400669,-0.456292,-0.147072,-0.572842,-0.363487,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,0.864086,-0.752438,0.752438,-0.749889,-0.263878,-0.340495,-0.20176,0.465094,0.464764,-0.191426,censored
-0.197623,0.195487,0,-0.443135,0.527673,0.218816,-0.539364,1.461425,1.159954,0.309681,-0.44563,0.510579,-0.169832,0.381475,0.595214,0.622759,-0.443135,0.521549,0.585742,-0.715205,0.914327,0.443573,1.516899,-0.118359,2.478452,0.873146,-0.486922,-0.003585,-0.633078,0.979438,0.873145,-1.056982,-0.698259,1.897111,0.655242,0.203313,-0.484121,-0.400669,-0.982236,-0.80513,-0.572842,-0.363487,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,1.584522,1.370217,-1.370217,1.434596,-1.13641,-0.897769,0.559443,0.115135,0.114069,-0.182317,censored
-0.397061,0.195487,0,-0.443135,0.556878,0.604961,-1.836285,-1.1387,-0.823105,0.274994,-1.192956,1.276328,-0.169832,-0.736401,-0.021614,-0.232403,-0.443135,0.885334,0.585742,0.369174,-0.887741,-0.949827,-0.479424,-0.118359,-0.282775,2.362493,0.884675,-0.003585,-0.530705,-0.398656,2.362493,0.431471,-0.155105,-0.294373,-0.74973,-0.739313,-0.484121,-0.400669,-0.982236,-0.80513,-0.572842,-0.363487,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,0.236848,-0.500727,0.500727,-0.749889,-1.469516,-1.49892,-0.962962,0.763206,0.761611,0.200927,censored
-1.282483,0.195487,0,0.794449,0.7029,0.653229,-1.415848,0.014509,1.515735,0.364865,-0.730656,0.802632,-0.169832,0.72464,0.567601,0.064935,0.794449,-0.355431,1.892034,0.142765,0.826764,-0.949827,-0.275718,-0.118359,-0.282775,1.719366,-0.486922,-0.262163,0.670196,0.791516,1.719365,-1.087894,-1.04627,-0.294373,-0.74973,-0.739313,-0.484121,-0.400669,0.069652,0.510985,-0.572842,-0.363487,-0.334022,-0.383293,-0.219337,-0.084213,-0.157799,2.188758,-0.739423,0.739423,-0.749889,-1.662876,-1.520646,-0.20176,0.990031,0.988343,-0.197129,censored
