idx,'CRIE Readability 1.0','SVM readability prediction 1.0','SVM readability prediction 2.0',Paragraphs,'Average paragraph length',Characters,Words,Adverbs,Verbs,'Type-token ratio','Difficult words','Low-stroke characters','Intermediate-stroke characters','High-stroke characters','Average strokes','Two-character words','Three-character words',Sentences,'Average sentence length','Simple sentence ratio','modifiers per NP','Np ratio','Average propositional phrase','Sentences with complex structure',Parallelism,'Average number of idioms each sentence','Content words',Negatives,'Sentences with complex semantic categories','Number of complex semantic categories','Intentional words','Noun word density','Content word frequency in logarithmic','Average frequency of content word in domain in Logarithmic','Number of Idioms','Standard Deviation of number of idioms',Pronouns,'Personal pronouns','First personal pronouns','Third personal pronouns',conjunctions,'positive conjunctions','negative conjunctions','adversative conjunctions','causal conjunctions','hypothesis conjunction','condition conjunction','purpose conjunctions','figure of speech (simile)','Content word category',class
-0.817446,-1.237435,4.846891,-0.584243,0,-1.185722,-0.481114,-0.517916,-0.73036,-0.394612,-0.053114,-0.151504,-0.511498,-0.209591,-0.185977,0.868095,-0.372389,0.007348,-1.185722,2.97762,1.315471,-0.824128,-2.653058,-0.848042,-1.03338,-0.067009,-0.230399,-0.387245,-0.522159,-1.138374,-0.971516,3.302855,1.093097,0.294396,-0.257618,-0.215084,-0.074035,-0.651577,-0.643653,-0.462162,-0.377825,0.588706,1.134484,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,-0.416936,censored
-0.817417,1.087028,0.400271,-0.584243,0,0.379602,1.040605,0.8993,-0.344093,1.273134,0.229442,1.051552,0.846305,1.710566,-0.185977,0.11893,1.148295,0.932605,0.379602,0.320101,-0.939114,-0.363702,0.098883,1.336377,1.036398,-0.067009,-0.230399,0.966569,-0.522159,-0.122432,0.077128,-0.385949,0.239768,-0.2962,-0.925632,-0.215084,-0.074035,-0.651577,-0.643653,-0.462162,-0.377825,-0.085165,0.235932,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,1.181752,censored
-0.817388,-0.954759,-1.081936,-0.584243,0,2.336257,0.966973,0.8993,0.428442,1.551092,-1.324621,0.249515,1.135199,-0.08158,-0.185977,0.301256,1.300363,-0.917908,2.336257,-0.767065,1.064961,-0.824128,0.33857,-0.848042,0.346472,-0.067009,-0.230399,1.256671,-0.522159,2.417421,3.011318,-0.385949,1.377541,0.964353,-0.516011,-0.215084,-0.074035,-0.651577,-0.170023,-0.462162,-0.377825,-0.759035,-0.66262,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,0.885699,censored
-0.817359,-0.500377,-1.081936,-0.584243,0,1.944926,0.868798,1.223235,1.587244,1.690071,-1.288803,0.450024,0.788526,1.070514,-0.185977,-0.613104,0.616055,-0.917908,1.944926,-0.492877,0.671304,-0.206699,-0.433852,-0.44352,-1.03338,-0.067009,-0.230399,0.966569,0.595981,2.925392,2.469944,-0.385949,-0.914031,0.768357,-0.473432,-0.215084,-0.074035,0.276592,0.303608,1.416587,-0.377825,-0.759035,-0.66262,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,0.767277,censored
-0.81733,0.896109,0.400271,-0.584243,0,0.770933,1.163324,0.939792,1.587244,0.717219,-1.006744,0.650534,1.164088,0.942503,-0.185977,0.67771,1.680534,-0.45528,0.770933,-0.013526,-0.939114,-0.090931,0.061724,-0.241259,0.46146,-0.067009,-0.230399,1.014919,2.832259,0.893509,0.500613,-0.385949,0.266434,0.828611,1.311487,-0.215084,-0.074035,0.276592,0.303608,0.477213,-0.377825,-0.085165,-0.66262,0.912505,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,0.826488,censored
-0.817301,0.228947,0.400271,-0.584243,0,1.162264,1.13878,1.506678,1.200977,1.134156,-1.634346,1.753335,0.932973,1.710566,-0.185977,0.712026,0.463987,0.469977,1.162264,0.068648,0.188179,0.214476,0.325137,1.492407,2.41625,-0.067009,-0.230399,1.208321,-0.522159,0.893509,-0.212289,-0.385949,-0.963648,0.708683,-0.187954,-0.215084,-0.074035,-0.651577,-0.643653,-0.462162,-0.377825,-0.085165,0.235932,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,1.063331,censored
-0.817272,1.364541,0.400271,-0.584243,0,1.162264,1.187868,1.223235,0.81471,1.134156,-0.411285,2.154354,1.048531,1.582555,-0.185977,0.726484,1.452431,-0.45528,1.162264,-0.103918,-0.939114,-0.206699,-0.140008,-0.587992,0.576447,-0.067009,-0.230399,1.305022,-0.522159,0.893509,1.169644,-0.385949,0.263804,0.150304,-0.762904,-0.215084,-0.074035,-0.651577,-0.643653,-0.462162,-0.377825,1.262577,1.134484,3.701839,1.975709,-0.2838,3.641188,-0.197191,-0.081755,-0.139743,1.418595,censored
-0.817243,1.047633,0.400271,-0.584243,0,0.770933,1.187868,0.8993,0.235308,0.300283,0.370721,0.851043,1.07742,1.454545,-0.185977,0.071633,1.452431,1.395233,0.770933,-0.042288,-0.939114,0.657702,0.237208,0.062133,1.036398,-0.067009,-0.230399,0.966569,-0.522159,1.40148,1.293644,-0.385949,0.239768,-0.461853,-0.46346,-0.215084,-0.074035,-0.187493,-0.643653,-0.462162,0.679559,-0.085165,0.235932,0.912505,-0.329922,-0.2838,1.653238,-0.197191,-0.081755,-0.139743,1.300173,censored
-0.817213,0.862236,0.400271,-0.584243,0,0.770933,1.163324,1.263727,3.518582,1.134156,-1.748455,-0.151504,1.192978,0.814493,-0.185977,-0.054952,0.15985,2.320489,0.770933,0.216562,-0.939114,0.333552,-0.49417,-0.241259,2.186275,-0.067009,-0.230399,1.014919,1.71412,0.893509,0.657817,-0.385949,-0.874302,1.320567,0.518413,-0.215084,-0.074035,3.525181,3.619021,1.416587,-0.377825,0.588706,0.235932,0.912505,1.975709,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,0.648856,censored
-0.817184,0.463103,0.400271,-0.584243,0,1.553595,1.089692,0.939792,1.007843,0.995177,-2.814666,0.14926,1.250757,0.174441,-0.185977,-0.954143,1.528465,0.007348,1.553595,-0.473703,-0.939114,-0.824128,-0.047758,-0.392954,-0.228467,-0.067009,-0.230399,1.06327,-0.522159,2.925392,2.530528,1.458453,0.4531,2.969191,-0.081563,-0.215084,-0.074035,0.276592,0.303608,-0.462162,-0.377825,1.936448,2.931589,-0.482162,-0.329922,-0.2838,7.617087,-0.197191,-0.081755,-0.139743,0.17517,censored
-0.817155,-0.157971,0.400271,-0.584243,0,1.944926,0.696991,0.980284,1.587244,1.968029,-2.88955,0.750788,0.499631,1.326535,-0.185977,0.518502,0.768124,-0.917908,1.944926,-0.607921,0.188179,-0.824128,-0.725114,-0.645781,-1.03338,2.395641,-0.230399,1.401723,-0.522159,0.893509,-0.212289,-0.385949,1.578839,1.330971,-1.423397,-0.215084,-0.074035,-0.651577,-0.643653,-0.462162,-0.377825,-0.759035,-0.66262,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,0.234381,censored
-0.817126,0.947516,0.400271,-0.584243,0,1.944926,1.286043,1.223235,1.973512,1.551092,0.090154,0.450024,1.279646,1.070514,-0.185977,-0.110666,1.756568,-0.45528,1.944926,-0.492877,-0.939114,-0.412509,-0.607387,-0.241259,-0.228467,-0.067009,-0.230399,1.11162,0.595981,1.40148,0.767194,-0.385949,-0.409244,-0.330404,0.208397,-0.215084,-0.074035,-0.187493,-0.170023,-0.462162,-0.377825,3.284189,3.830142,0.912505,-0.329922,4.885289,7.617087,-0.197191,-0.081755,-0.139743,1.359384,censored
-0.817097,0.177466,0.400271,-0.584243,0,-0.011729,1.236955,1.020776,0.042175,0.856198,-0.669602,1.452571,1.07742,1.454545,-0.185977,0.297854,1.832602,0.007348,-0.011729,0.993109,0.188179,-0.268442,0.306101,0.062133,0.576447,-0.067009,2.242194,0.966569,0.595981,-0.122432,-0.226312,1.458453,-0.225686,0.402064,-1.911005,1.886412,1.985785,-0.651577,-0.643653,-0.462162,0.679559,1.262577,2.033037,-0.482162,-0.329922,2.300744,-0.334711,-0.197191,-0.081755,-0.139743,0.944909,censored
-0.817068,0.762505,0.400271,-0.584243,0,0.770933,0.721535,0.696841,0.81471,0.300283,-0.930015,0.550279,0.846305,0.04643,-0.185977,-0.630722,1.07226,0.007348,0.770933,-0.186093,-0.939114,-0.731513,0.854867,-0.241259,1.036398,-0.067009,-0.230399,0.918218,0.595981,0.893509,0.138678,-0.385949,0.916546,1.015888,0.333853,-0.215084,-0.074035,-0.651577,-0.643653,-0.462162,-0.377825,-0.759035,-0.66262,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,0.648856,censored
-0.817039,1.035184,0.400271,-0.584243,0,1.553595,1.236955,1.020776,1.394111,0.995177,0.139538,0.851043,1.308535,0.558472,2.284618,0.224685,1.528465,-0.45528,1.553595,-0.430561,-0.939114,-0.70836,-0.343272,-0.620498,0.46146,-0.067009,-0.230399,1.208321,-0.522159,0.893509,0.195084,-0.385949,0.679361,-0.066884,-0.975787,-0.215084,-0.074035,-0.187493,-0.170023,0.477213,-0.377825,-0.085165,0.235932,-0.482162,-0.329922,-0.2838,-0.334711,-0.197191,-0.081755,-0.139743,1.418595,censored
