idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
4,0.696794,0.80774,-0.122295,0.572885,0.377797,-0.310677,0.153693,0.367876,0.94558,-0.337336,-0.281177,-0.243365,-0.189858,-0.750777,-0.272144,0.31786,1.462971,-0.392034,0.772864,-0.660446,-0.675022,-0.486173,-0.242014,-0.469486,-0.569407,0.294566,-0.075311,0.018736,-0.22597,0.180945,0.113015,-0.443107,0.141023,-0.686851,-0.732022,-0.81559,-0.15078,-0.332685,-0.463552,-0.301141,0.183235,-0.316699,-0.271146,-0.27319,-0.291228,0.853879,-0.176384,1.146878,-0.165013,-0.149874,-0.213136,1.261601,-0.129936,-0.443374,0.472599,-0.278668,-0.482115,-0.313348,-0.285244,-0.239194,-0.2257,-0.039329,0.627347,0.778206,-0.492796,0.548149,-0.549976,2.134477,1.208449,3.129058,-0.134237,1.65289,-0.373008,-0.196129,-0.470856,-0.24443,-0.269583,-0.923756,-0.237173,-0.238739,-0.699595,-0.378841,-0.612421,0.135744,-0.387219,0.285379,0.932454,-0.294319,-0.435381,-0.333002,0.957152,-0.377053,-0.090742,1.966938,0.295045,-1.129097,1.129096,-0.749889,0.437468,0.336658,0.559443,0.592351,0.592763,-0.198456,china,censored
7,0.696794,3.129018,-0.122295,-0.053466,-0.64324,0.024513,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,0.963083,0.112366,-0.216285,-0.568239,-0.797452,-0.760793,-0.660446,-0.675022,-0.486173,0.177776,0.707626,-0.569407,0.294566,0.542651,0.304705,-0.22597,0.491281,-0.395348,-0.443107,0.141023,-0.686851,-0.168383,0.170091,-0.15078,1.099986,-0.463552,1.160486,-0.593527,-0.316699,1.225101,-0.27319,-0.291228,0.219965,0.257603,-0.069881,1.531077,-0.149874,0.317041,-0.802941,-0.129936,0.595731,-0.444415,-0.278668,-0.482115,-0.313348,-0.285244,-0.239194,-0.2257,-0.551654,-0.655533,0.258249,-0.157496,-0.472488,0.074451,0.319697,0.689677,-0.138419,0.28418,0.034222,0.44057,-0.196129,-0.470856,0.957667,-0.269583,-0.214307,-0.237173,-0.238739,-0.278163,0.661549,0.211287,0.135744,-0.559424,1.276724,0.246296,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.090742,1.966938,0.295045,-1.020749,1.02075,-0.749889,0.274644,0.422333,0.559443,0.592351,0.592751,-0.19862,stability,censored
8,1.103106,-0.643059,-0.122295,1.087759,0.232201,0.210256,0.438591,-0.446974,3.099489,-0.337336,-0.281177,-0.243365,-0.189858,-0.242831,-0.742923,0.201444,0.366527,0.242081,-0.306255,-0.660446,0.033198,-0.486173,1.151045,-0.469486,-0.569407,-0.509589,2.606486,1.609894,1.419151,1.907686,0.908147,5.612641,0.069008,-0.686851,-0.542942,-0.376457,-0.233208,-0.332685,0.147574,-0.301141,1.620824,-0.316699,-0.271146,-0.27319,-0.291228,2.074402,1.648021,-0.135967,-0.226491,2.490665,-0.270912,0.574522,-0.196699,-0.443374,0.372668,-0.278668,-0.482115,-0.313348,-0.285244,-0.239194,-0.2257,-0.438713,1.059085,-0.77504,-0.862266,-0.472488,0.006404,-0.141463,1.437906,-0.905323,-0.595295,-0.649723,-0.373008,-0.196129,-0.470856,-0.24443,-0.269583,1.240858,-0.237173,-0.238739,1.880324,-0.378841,-0.612421,-0.075845,0.206668,0.064904,-0.439861,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.090742,1.72321,0.220736,-1.089588,1.089589,-0.749889,0.122244,0.292984,0.559443,1.016543,1.016798,-0.182319,boxilai,censored
9,0.442848,0.62639,-0.122295,0.757341,0.686721,1.194477,0.226953,1.323759,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,1.726828,0.659554,2.731781,-1.125753,0.559139,0.900397,0.023578,-0.675022,-0.486173,-1.076245,-0.469486,-0.569407,-0.509589,-0.693274,-1.079309,-0.702994,-1.010666,-0.903711,-0.443107,0.198211,-0.686851,-0.379073,-0.28168,-0.497462,-0.332685,0.279472,-0.301141,2.278339,-0.316699,-0.271146,-0.27319,-0.291228,0.152383,-0.10175,-0.676318,2.948704,1.886111,-0.743314,0.316867,0.588755,-0.443374,1.548328,-0.278668,-0.482115,-0.313348,-0.285244,-0.239194,-0.2257,0.644861,0.03936,-0.215342,1.012849,-0.472488,-0.549976,-1.473519,-0.307961,-1.228352,-0.965741,-0.235211,-0.373008,-0.196129,-0.470856,-0.24443,-0.269583,1.027796,-0.237173,-0.238739,-0.205223,4.142853,0.279929,0.039083,-0.372869,-0.621899,1.051212,1.603122,-0.435381,0.126578,-0.19434,-0.377053,-0.090742,2.160487,0.35187,-1.065608,1.065608,-0.749889,-0.027717,-0.581834,0.559443,0.327231,0.326839,-0.198374,democracy,censored
12,0.696794,-0.352899,-0.122295,-0.304487,-0.934431,-0.310677,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,0.38936,-0.65912,-0.216285,-0.568239,0.015983,-0.250664,-0.660446,-0.675022,-0.486173,-0.242014,-0.469486,-0.569407,0.294566,-0.075311,0.018736,-0.22597,0.180945,0.624637,-0.443107,0.141023,0.502479,0.676175,1.158931,0.608041,1.099986,-0.463552,1.160486,1.476734,-0.316699,-0.271146,5.846776,-0.291228,0.430819,1.120049,-0.069881,-0.165013,0.458581,0.317041,0.746291,-0.129936,-0.443374,0.472599,-0.278668,0.65225,-0.313348,-0.285244,3.2683,-0.2257,0.216014,-0.014093,0.778206,-0.157496,-0.472488,0.074451,-0.975864,-0.869964,-0.138419,-0.965741,-0.614489,-0.373008,-0.196129,-0.470856,-0.24443,-0.269583,0.492876,2.865115,-0.238739,-0.278163,0.661549,-0.612421,-0.339951,-0.041705,-1.202431,0.246296,0.288359,-0.435381,0.091226,-0.19434,-0.377053,-0.090742,1.966938,0.976943,-1.087456,1.087456,-0.749889,-0.294218,0.172788,0.559443,0.592351,0.592348,-0.198587,democracy,censored
13,0.798372,0.88028,-0.122295,-0.440824,0.125804,-0.976788,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,-0.750777,-1.053489,-0.750429,1.375627,-0.020401,-0.263744,1.181156,-0.675022,0.639007,0.544089,0.677444,0.405018,-0.509589,0.506999,-0.866666,0.223533,-0.779903,-0.903711,-0.443107,4.294582,-0.686851,-0.748229,-0.335387,-0.538676,-0.332685,-0.463552,-0.301141,-1.37029,-0.316699,-0.271146,-0.27319,-0.291228,-0.86134,-0.201263,-0.676318,-0.72917,-0.165476,-0.743314,-0.300844,-0.742591,-0.443374,-0.444415,-0.278668,0.070524,-0.313348,0.558589,-0.239194,-0.2257,-0.333957,-0.655533,0.73184,-0.512017,0.521979,-0.549976,-0.748602,-0.869964,-0.875112,0.246869,0.318162,-0.373008,3.979085,1.746018,-0.24443,-0.269583,0.096219,-0.237173,-0.238739,-0.302476,-0.378841,0.987473,-0.498262,-0.391635,-0.255498,0.228703,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.090742,1.902422,0.277561,1.01136,-1.011357,1.434596,-1.376543,-1.080756,-0.962962,1.476084,1.474811,-0.195265,social,censored
14,0.290481,-0.159217,-0.122295,-0.662172,-0.434179,-0.214604,-0.207178,-0.446974,1.135388,-0.337336,-0.281177,-0.243365,-0.189858,-0.09666,-0.548203,0.47194,-0.443727,-0.275087,-0.175453,-0.660446,-0.675022,-0.486173,-1.076245,-0.469486,-0.569407,-0.509589,-0.693274,-0.718182,-0.702994,-0.618767,0.259658,-0.443107,0.236337,1.356357,0.634758,0.312256,0.823808,-0.332685,0.323438,1.375982,-1.073828,-0.316699,-0.271146,-0.27319,-0.291228,0.491642,-0.051993,0.019529,0.561883,2.026523,-0.134969,-0.211656,-0.039608,-0.443374,-0.444415,-0.278668,-0.482115,-0.313348,-0.285244,-0.239194,-0.2257,-0.405977,0.080478,-0.182223,-0.77684,0.698628,0.166514,0.022763,-0.869964,0.430949,-0.014308,0.173083,-0.373008,-0.196129,0.401277,-0.24443,-0.269583,-0.468167,-0.237173,-0.238739,-0.156596,-0.378841,-0.612421,0.271983,-0.165339,0.851636,0.347461,-0.294319,-0.435381,-0.333002,-0.19434,-0.377053,-0.090742,2.289519,0.395581,-0.752438,0.752438,-0.749889,-0.263878,-0.340495,-0.20176,0.465094,0.464764,-0.191426,china,censored
15,0.239692,0.48131,-0.122295,-1.170631,-1.061361,-0.199659,-0.199038,0.503685,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,-0.085697,0.812372,-0.750429,-0.088777,-1.20287,-0.760793,-0.660446,0.252287,-0.486173,-1.076245,-0.469486,-0.569407,-0.509589,-0.693274,-1.03348,-0.702994,-0.960932,-0.310621,-0.443107,0.251164,-0.686851,-0.966122,-0.81559,-0.465946,-0.332685,-0.463552,-0.301141,0.135205,-0.316699,-0.271146,-0.27319,-0.291228,-1.188434,-1.03883,-0.676318,-0.72917,-0.758329,-0.124773,-0.201746,-0.742591,-0.443374,-0.444415,-0.278668,-0.482115,-0.313348,-0.285244,-0.239194,-0.2257,0.509005,0.092814,1.029904,0.393506,-0.472488,0.178522,-0.245971,-0.26473,0.461161,-0.480697,0.568942,-0.373008,-0.196129,0.415894,1.158016,-0.269583,-0.864824,-0.237173,-0.238739,-0.629356,-0.378841,-0.612421,1.415933,-0.358518,2.628125,0.360656,0.385472,-0.435381,-0.333002,-0.19434,0.462414,-0.090742,2.339699,0.408695,1.370217,-1.370217,1.434596,-1.13641,-0.897769,0.559443,0.115135,0.114069,-0.182317,democracy,censored
18,0.239692,-0.183881,-0.122295,-1.607713,-0.552709,-0.199659,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,0.579383,-0.979545,-0.127261,-0.427002,-0.729882,0.429508,-0.660446,-0.675022,-0.486173,-1.076245,-0.469486,-0.569407,-0.509589,-0.693274,-1.70074,-0.702994,-1.68505,-0.903711,-0.443107,4.8707,0.006925,-0.312444,0.334371,-0.465946,-0.332685,-0.463552,-0.301141,-0.767429,-0.316699,-0.271146,-0.27319,-0.291228,-0.451796,-1.03883,0.7387,-0.72917,-0.048465,-0.124773,0.399448,-0.027827,-0.443374,-0.444415,2.032893,0.179598,-0.313348,0.725135,-0.239194,-0.2257,-0.978863,-0.655533,-0.172288,-1.159124,-0.472488,0.178522,-1.150043,-0.869964,-1.228352,-0.480697,-0.560603,-0.373008,-0.196129,-0.470856,-0.24443,-0.269583,-1.277348,-0.237173,-0.238739,-1.121027,-0.378841,-0.612421,1.969261,-0.358518,2.628125,1.161173,-0.294319,0.366497,-0.333002,0.477364,0.462414,-0.090742,4.941852,0.408695,-0.500727,0.500727,-0.749889,-1.469516,-1.49892,-0.962962,0.763206,0.761611,0.200927,china,censored
30,0.747583,3.201558,-0.122295,-1.854724,-1.832272,-0.976788,-0.692861,-0.446974,-0.341814,-0.337336,-0.281177,-0.243365,-0.189858,-0.750777,-0.668979,0.83146,-0.867438,-0.402429,-0.257204,-0.037134,-0.675022,-0.486173,-0.252709,0.692535,0.417839,-0.509589,-0.083234,-1.70074,-0.702994,-1.68505,-0.401866,-0.443107,2.087541,-0.09981,-0.739225,-0.81559,-0.160478,1.081619,-0.463552,-0.301141,-0.351721,-0.316699,-0.271146,1.736351,-0.291228,-0.641024,-0.613136,-0.676318,0.941605,-0.157675,0.303447,-0.802941,-0.742591,-0.443374,-0.444415,-0.278668,0.077796,-0.313348,-0.285244,-0.239194,-0.2257,-0.063882,-0.655533,0.245002,-0.172446,-0.472488,0.066445,-0.733672,-0.357843,-0.512575,-0.555319,0.655989,-0.373008,-0.196129,0.279471,-0.24443,-0.269583,-0.579231,-0.237173,-0.238739,-0.288969,-0.378841,-0.612421,-0.596445,-0.389427,-1.69731,0.237499,3.153197,-0.435381,-0.333002,-0.19434,-0.377053,-0.090742,-0.269623,0.959459,-0.739423,0.739423,-0.749889,-1.662876,-1.520646,-0.20176,0.990031,0.988343,-0.197129,china,censored
