Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,10001,5.04347,2.0,8.0,1,12,220,126,30,30,0.7539682,38,199,21,0,7.022727,68,7,12,10.5,0.0,0.5742424,285.6911,0.5833333,28,0,0.0,99,1,5,1.018701,1,0.7857143,0.05078062,1.790196,0,0.00368,3,3,1,1,3,1,1,1,0,0,0,0,0,84
,10002,5.417695,3.0,8.0,1,17,325,202,43,46,0.6831683,57,297,28,0,6.775384,100,7,17,11.88235,0.0,0.5527778,300.3102,0.5882353,73,0,0.0,154,3,9,2.637233,1,0.7623762,0.08791802,1.969951,0,0.00368,10,12,5,0,12,8,4,0,3,1,0,1,0,115
,10003,4.675,2.0,8.0,1,2,46,26,4,7,0.9230769,9,41,5,0,7.021739,16,2,2,13.0,0.0,0.1,346.1538,0.5,12,0,0.0,22,0,1,0.435883,0,0.8461539,0.0,1.387719,0,0.00368,1,1,0,1,0,0,0,0,0,0,0,0,0,22
,10004,3.968914,1.0,1.0,1,6,71,46,9,8,0.8260869,13,62,9,0,7.295774,23,1,6,7.666667,0.8,0.3444444,380.9524,0.1666667,21,0,0.0,36,0,2,0.921766,0,0.7826087,0.03762875,1.574898,0,0.00368,1,0,0,0,2,1,1,0,1,0,0,0,0,32
,10005,4.173498,1.0,1.0,1,5,75,44,6,5,0.8636364,18,64,11,0,7.506667,21,5,5,8.8,0.6666667,0.1666667,446.6667,0.4,12,0,0.0,37,0,4,1.010199,0,0.8409091,0.03648848,2.085704,0,0.00368,1,1,0,0,1,0,0,0,0,0,0,0,0,33
,10006,5.040823,2.0,2.0,1,10,209,130,31,28,0.7769231,40,180,28,1,7.186603,63,5,10,13.0,0.0,0.4999999,232.3815,0.2,19,0,0.0,107,2,5,1.728225,0,0.8230769,0.04708382,1.703193,0,0.00368,1,1,0,0,5,5,0,0,1,1,0,0,0,90
,10007,4.885012,2.0,8.0,1,14,172,109,14,35,0.7522936,30,139,33,0,7.674418,54,3,14,7.785714,0.0,0.2428571,327.9055,0.1428571,36,0,0.0,96,4,11,3.203047,0,0.880734,0.08286465,2.147062,0,0.00368,3,3,0,2,3,3,0,0,0,1,0,0,0,73
,10008,6.468526,4.0,6.0,1,25,573,349,84,106,0.7163324,130,472,100,1,7.457242,155,24,25,13.96,0.0,0.1912281,282.4638,0.4,78,0,0.0,282,4,9,2.047947,2,0.8080229,0.055576,1.640263,0,0.00368,12,11,4,2,6,3,2,1,1,0,0,0,0,232
,10009,5.253235,2.0,8.0,1,9,188,118,21,31,0.7033898,55,157,31,0,7.175532,58,1,9,13.11111,0.0,0.3888889,312.5,1.0,6,0,0.0,96,1,6,2.131965,0,0.8135593,0.07027958,1.8901,0,0.00368,3,3,0,2,1,1,0,0,1,0,0,0,0,75
,10010,4.679908,2.0,8.0,1,3,60,40,9,9,0.875,10,54,6,0,6.45,20,0,3,13.33333,0.0,0.5,173.6111,0.3333333,6,0,0.0,32,0,2,0.4550995,0,0.8,0.03114104,1.774229,0,0.00368,3,3,0,1,1,1,0,0,1,0,0,0,0,29
,10011,4.806738,2.0,8.0,1,7,165,100,19,25,0.77,25,133,32,0,7.951515,55,5,7,14.28571,0.0,0.84,221.2121,0.4285714,20,0,0.0,81,0,3,1.032649,0,0.81,0.0512856,1.86607,0,0.00368,0,0,0,0,4,4,1,0,1,2,0,0,1,68
