Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,37501,4.445799,2.0,0,1,10,129,80,13,24,0.75,30,116,13,0,6.953488,45,2,10,8.0,0.6,0.1416667,346.731,0.4,13,0,0.0,66,0,5,1.471082,0,0.825,0.07873027,1.73614,0,0.00336,8,7,6,2,5,4,1,0,2,0,1,0,0,50
,37502,4.94501,5.0,0,1,2,97,59,5,25,0.8983051,29,72,24,1,7.865979,21,4,2,29.5,0.0,0.0,411.7647,1.0,7,0,0.5,55,0,0,0.0,0,0.9322034,0.03176128,1.354638,1,0.01664,3,3,0,1,0,0,0,0,0,0,0,0,1,49
,37503,4.804496,2.0,0,1,6,107,67,14,23,0.880597,21,97,10,0,6.971962,28,3,6,11.16667,0.0,0.6333334,318.254,0.3333333,12,0,0.1666667,61,3,2,0.4550993,0,0.9104478,0.03902241,1.956343,1,0.01664,2,2,2,0,1,0,1,0,0,0,0,0,0,54
,37504,4.035882,5.0,0,1,1,178,114,21,33,0.7192982,23,150,26,0,7.545455,58,3,1,114.0,1.0,0.0,0.0,7.0,0,0,0.0,96,2,0,0.0,0,0.8421053,0.08088303,2.073743,0,0.00336,9,9,7,0,3,1,2,1,0,1,0,0,0,71
,37505,4.891758,2.0,0,1,7,173,104,24,23,0.7596154,25,153,19,0,7.395349,58,4,7,14.85714,0.0,0.25,329.7619,0.5714286,14,0,0.1428571,84,1,2,0.721766,1,0.8076923,0.06715592,1.88598,1,0.01664,5,6,4,1,5,3,3,1,0,2,0,0,0,68
,37506,3.864135,5.0,0,1,1,74,41,7,8,0.902439,13,63,11,0,7.364865,21,3,1,41.0,1.0,0.0,0.0,2.0,0,0,0.0,35,0,0,0.0,0,0.8536586,0.02822156,1.860606,0,0.00336,3,3,1,0,2,0,2,0,0,0,0,0,0,32
,37507,4.629,1.0,0,1,2,29,15,3,5,1.0,7,25,4,0,7.344828,7,2,2,7.5,0.0,0.5,196.4286,0.0,0,0,0.0,14,0,0,0.0,0,0.9333333,0.0,2.441652,0,0.00336,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,37508,3.874583,5.0,0,1,1,63,43,12,18,0.8604651,14,48,15,0,8.396826,16,2,1,43.0,1.0,0.0,0.0,1.0,0,0,0.0,35,2,0,0.0,1,0.8139535,0.01824424,2.231917,0,0.00336,2,2,2,0,0,0,0,0,0,0,0,0,0,33
,37509,4.601117,2.0,0,1,2,35,25,8,9,0.88,7,27,8,0,8.028571,8,1,2,12.5,0.0,0.0,180.5555,0.5,7,0,0.0,21,0,1,0.560883,0,0.84,0.03168737,2.190737,0,0.00336,1,1,0,0,0,0,0,0,0,0,0,0,0,19
,37510,4.196033,2.0,0,1,6,142,93,16,21,0.7419355,23,129,13,0,7.021127,32,7,6,15.5,0.8,0.6964286,352.399,0.3333333,12,0,0.1666667,79,1,2,0.7884327,0,0.8494624,0.07691052,2.146564,1,0.01664,8,8,5,0,2,2,0,0,0,0,0,0,0,61
