Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,0,4.874588,2.0,0,1,6,133,82,13,19,0.8170732,27,100,25,0,8.104,41,5,6,13.66667,0.0,0.15,351.0839,0.3333333,6,0,0.0,73,0,3,0.8040776,0,0.8902439,0.06105854,1.389208,0,0.00313411934036116,3,3,3,0,3,2,3,0,0,2,0,0,0,60
,1,4.652175,2.0,0,1,3,37,26,2,8,0.8461539,11,26,9,0,8.2,9,1,3,8.666667,0.0,0.0,222.2222,0.0,7,0,0.0,22,0,2,0.6217661,0,0.8461539,0.04753105,1.017572,0,0.00313411934036116,2,2,1,0,0,0,0,0,0,0,0,0,0,19
,10,4.660974,4.0,0,1,16,452,267,37,75,0.4606742,45,367,85,0,8.019912,168,7,16,16.6875,0.3333333,0.2757576,329.3429,1.0625,33,0,0.0,207,1,5,1.604415,0,0.7752809,0.1468875,1.265074,0,0.00313411934036116,1,0,0,0,7,2,3,1,0,0,1,0,0,108
,100,4.581755,2.0,0,1,8,116,71,9,16,0.7746479,25,98,18,0,7.594828,39,3,8,8.875,0.3333333,0.2333333,482.3676,0.75,15,0,0.0,58,0,6,2.490298,0,0.8169014,0.07038139,1.583016,0,0.00313411934036116,6,5,2,1,1,1,0,0,0,0,0,0,0,46
,1000,5.276221,4.0,0,1,12,271,152,13,38,0.7105263,61,215,55,1,8.00738,91,8,12,12.66667,0.0,0.3225108,321.6954,0.75,58,0,0.0,130,0,4,1.993532,1,0.8552632,0.08755443,1.351532,0,0.00313411934036116,1,1,0,1,9,7,2,2,0,1,0,0,0,94
,1001,4.845565,2.0,0,1,8,172,99,8,17,0.7474747,30,140,32,0,8.081395,53,10,8,12.375,0.0,0.2722222,357.5606,1.25,13,0,0.0,80,0,4,1.743532,0,0.8080808,0.07281416,1.481377,0,0.00313411934036116,0,0,0,0,3,2,1,1,0,0,0,0,0,61
,1002,5.541746,4.0,0,1,28,484,277,43,71,0.7364621,76,419,63,1,7.447205,180,9,28,9.892858,0.0,0.5408289,304.2549,0.3928571,59,0,0.07142857,228,2,17,5.473106,1,0.8231047,0.04920908,1.174664,2,0.0368578830588391,1,1,0,1,13,11,1,0,0,1,0,0,0,188
,1003,5.059391,2.0,0,1,12,239,141,20,35,0.7163121,45,203,36,0,7.732218,79,8,12,11.75,0.0,0.5416667,307.6848,0.8333333,20,0,0.0,119,0,6,1.465298,1,0.8439716,0.08260266,1.320332,0,0.00313411934036116,1,1,0,1,5,2,2,2,0,0,0,0,0,88
,1004,5.1352,4.0,0,1,20,365,209,22,54,0.6315789,49,302,56,0,7.435754,133,7,20,10.45,0.0,0.6447368,360.1663,0.6,84,0,0.0,179,0,9,2.376519,0,0.8564593,0.1186466,1.439613,0,0.00313411934036116,3,5,1,0,4,4,0,0,1,1,0,0,0,119
,1005,4.734568,2.0,0,1,5,103,60,5,13,0.8833333,18,90,13,0,7.718447,30,3,5,12.0,0.0,0.7499999,227.3088,0.8,14,0,0.0,50,1,1,0.560883,1,0.8333333,0.03344778,1.491045,0,0.00313411934036116,0,0,0,0,3,2,1,1,0,0,0,0,0,45
,1006,7.923382,5.0,0,1,85,1523,864,164,202,0.5150463,253,1338,183,0,7.295858,454,82,85,10.16471,0.25,0.3873016,275.9519,0.5176471,199,0,0.01176471,685,7,49,17.53207,2,0.7928241,0.1285345,1.600752,1,0.016861881859239,18,14,2,3,48,29,16,8,9,5,1,0,0,406
,1007,4.871757,2.0,0,1,4,112,60,4,10,0.9,25,93,19,0,7.767857,35,7,4,15.0,0.0,1.0,378.3069,1.5,12,0,0.0,51,0,1,0.560883,0,0.85,0.01881438,1.113004,0,0.00313411934036116,1,1,1,0,1,1,0,0,0,0,0,0,0,48
,1008,4.730139,2.0,0,1,4,91,56,8,12,0.8392857,16,76,14,1,7.252747,26,3,4,14.0,0.0,0.05555557,352.381,0.75,13,0,0.0,46,1,1,0.2275497,0,0.8214286,0.04203103,1.689658,0,0.00313411934036116,2,2,2,0,0,0,0,0,0,0,0,0,0,40
,1009,5.001688,2.0,0,1,7,144,88,15,24,0.7613636,41,119,25,0,7.972222,35,9,7,12.57143,0.0,0.2333333,311.5079,0.7142857,43,0,0.0,73,1,2,0.7217661,0,0.8295454,0.07134821,1.303314,0,0.00313411934036116,0,0,0,1,2,1,1,1,0,0,0,0,0,57
,101,4.762129,2.0,0,1,5,95,59,12,14,0.9152542,19,74,21,0,7.610526,23,2,5,11.8,0.0,1.066667,326.7094,0.2,21,0,0.0,54,0,4,0.6768656,0,0.9152542,0.0240824,1.80663,0,0.00313411934036116,0,0,0,0,1,1,0,0,0,0,0,0,0,50
,1010,5.004411,2.0,0,1,5,124,68,8,20,0.9117647,36,108,16,0,7.629032,37,6,5,13.6,0.0,0.0,214.2857,0.6,8,0,0.0,61,1,2,0.6217661,1,0.8970588,0.02112491,1.636225,0,0.00313411934036116,0,0,0,1,0,0,0,0,0,0,0,0,0,57
,1011,4.567973,2.0,0,1,8,158,99,10,20,0.7878788,35,133,25,0,7.113924,49,5,8,12.375,0.5,0.5,354.2708,0.5,47,0,0.0,90,0,1,0.06088305,2,0.9090909,0.05250488,1.471363,0,0.00313411934036116,3,3,1,0,1,1,0,0,0,0,0,0,0,74
,1012,4.759314,2.0,0,1,6,95,58,9,14,0.9482759,17,84,11,0,7.452631,33,2,6,9.666667,0.0,0.1388889,335.3506,0.6666667,14,0,0.0,46,1,2,0.6217661,0,0.7931035,0.006689556,1.442492,0,0.00313411934036116,0,0,0,1,3,1,2,2,1,0,0,0,0,45
