Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,40001,4.618445,2.0,0,1,10,163,106,24,27,0.7358491,29,146,17,0,7.006135,49,1,10,10.6,0.3333333,0.4166667,275.7692,0.3,42,0,0.0,90,1,3,1.015982,0,0.8490566,0.05885478,2.2415,0,0.00581316755345963,3,3,1,0,0,0,0,0,0,0,0,0,0,72
,40002,4.839625,2.0,0,1,7,108,68,8,24,0.7941176,26,94,14,0,7.657407,37,0,7,9.714286,0.0,0.0,330.0264,0.1428571,7,0,0.1428571,63,1,3,1.432649,0,0.9264706,0.05067316,1.459743,1,0.0290658377672982,1,1,0,0,2,2,2,0,0,2,0,0,0,51
,40003,4.764283,2.0,0,1,4,94,60,8,17,0.8833333,19,80,14,0,7.351064,34,0,4,15.0,0.0,0.5083333,279.7619,0.75,13,0,0.0,54,0,2,0.06621051,0,0.9,0.03502586,1.73972,0,0.00581316755345963,1,1,0,0,2,0,2,0,0,0,0,0,0,48
,40004,4.298156,2.0,0,1,3,49,33,2,6,0.7575758,20,33,15,0,8.5625,14,1,3,11.0,0.5,0.0,281.25,0.6666667,7,0,0.0,25,0,2,0.8360518,0,0.7575758,0.1062459,1.824193,0,0.00581316755345963,4,4,2,0,0,0,0,0,0,0,0,0,0,17
,40005,3.787941,1.0,0,1,1,35,21,7,5,0.8571429,8,29,6,0,7.542857,10,2,1,21.0,1.0,0.0,0.0,1.0,0,0,0.0,16,1,0,0.0,0,0.7619048,0.02006867,2.346442,0,0.00581316755345963,2,2,0,0,0,0,0,0,0,0,0,0,0,15
,40006,4.00598,5.0,0,1,1,147,80,7,20,0.7,36,125,21,0,7.821918,36,11,1,80.0,1.0,0.0,0.0,2.0,0,0,0.0,76,0,0,0.0,0,0.95,0.1153455,1.211449,0,0.00581316755345963,0,0,0,0,1,1,0,0,0,0,0,0,0,52
,40007,4.794034,2.0,0,1,3,137,72,6,18,0.7083333,30,120,17,0,7.686131,34,11,3,24.0,0.0,0.0,333.3333,0.6666667,0,0,0.0,68,0,1,0.2275497,0,0.9444444,0.1084016,1.222749,0,0.00581316755345963,0,0,0,0,1,1,0,0,0,0,0,0,0,47
,40008,4.852474,2.0,0,1,6,92,59,10,17,0.8644068,26,68,24,0,7.815217,29,2,6,9.833333,0.0,0.1666667,298.9268,1.166667,21,0,0.0,45,0,4,1.276866,0,0.7627119,0.02936878,1.550317,0,0.00581316755345963,0,0,0,0,0,0,0,0,0,0,0,0,0,41
,40009,4.685,2.0,0,1,2,40,25,6,4,0.88,11,35,5,0,7.325,9,3,2,12.5,0.0,0.2916667,400.0,0.5,14,0,0.0,17,0,0,0.0,0,0.68,0.0,0.5301435,0,0.00581316755345963,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,40010,4.675,2.0,0,1,2,30,20,0,5,1.0,9,24,5,0,7.034483,8,1,2,10.0,0.0,0.5,400.0,0.5,0,0,0.0,19,0,1,0.310883,1,0.95,0.0,0.9471213,0,0.00581316755345963,1,1,1,2,0,0,0,0,0,0,0,0,0,19
