idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
0,4.685565,2,0,1,3,47,29,0.137931034,0.206896552,0.9310345,0.379310345,0.893617021,0.106382979,0,7.042553,0.482758621,0.068965517,3,9.666667,0,0.6666667,320.8333,0.3333333,2,0,0,0.896551724,0,0.666666667,0.6217661,0,0.8965517,0.0120412,1.77906,0,0.006448089,0.034482759,0.034482759,0,0.034482759,0,0,0,0,0,0,0,0,0,0.862068966,censored
1,4.631059,2,0,1,2,55,34,0.147058824,0.323529412,0.8235294,0.352941176,0.854545455,0.145454545,0,7.545455,0.5,0.058823529,2,17,0,0,307.6923,1,3.5,0,0,0.794117647,0.029411765,0,0,0,0.7941176,0.04692093,0.9566573,0,0.006448089,0,0,0,0,0.029411765,0.029411765,0.029411765,0,0,0.029411765,0,0,0,0.676470588,censored
2,5.118556,2,0,1,6,184,115,0.208695652,0.243478261,0.7652174,0.339130435,0.847826087,0.152173913,0,7.201087,0.460869565,0.043478261,6,19.16667,0,0.5,384.2106,0.6666667,1.5,0,0,0.773913043,0.026086957,0.166666667,0.560883,0.008695652,0.773913,0.04588712,1.963497,0,0.006448089,0.069565217,0.052173913,0.017391304,0.017391304,0.060869565,0.043478261,0.008695652,0.008695652,0.008695652,0.017391304,0,0,0,0.660869565,censored
3,5.04283,4,0,1,25,389,219,0.219178082,0.219178082,0.6438356,0.278538813,0.904884319,0.087403599,0,6.790155,0.543378995,0.02739726,25,8.76,0.25,0.5273334,291.4481,0.44,2.64,0,0.08,0.780821918,0.02283105,0.6,5.215627,0,0.7808219,0.09991034,1.501407,0.00913242,0.058304302,0.00456621,0.00456621,0.00456621,0,0.03652968,0.01826484,0.01369863,0.00456621,0,0.00456621,0.00913242,0,0,0.534246575,censored
4,4.593163,2,0,1,4,64,41,0.146341463,0.292682927,0.8536586,0.243902439,0.875,0.125,0,7.1875,0.414634146,0.073170732,4,10.25,0,0,224.1071,1.25,5,0,0,0.804878049,0,0.5,0.6217661,0.024390244,0.8048781,0.05375536,1.049596,0,0.006448089,0,0,0,0,0.048780488,0.048780488,0,0,0,0,0,0,0,0.682926829,censored
5,4.334036,2,0,1,5,92,55,0.163636364,0.290909091,0.8909091,0.345454545,0.869565217,0.130434783,0,7.347826,0.509090909,0,5,11,0.5,0.2,272.4164,0.8,4,0,0,0.818181818,0,0.6,0.4076492,0,0.8181818,0.03450529,1.612707,0,0.006448089,0.018181818,0.018181818,0,0,0.018181818,0,0,0,0,0,0,0,0,0.727272727,censored
6,4.892266,2,0,1,7,103,66,0.136363636,0.303030303,0.8636364,0.378787879,0.825242718,0.174757282,0,7.543689,0.393939394,0.060606061,7,9.428572,0,0.1428571,262.585,0.1428571,2,0,0,0.848484848,0.015151515,0.571428571,1.543532,0,0.8484849,0.02951275,1.977392,0,0.006448089,0.045454545,0.045454545,0.015151515,0,0,0,0,0,0,0,0,0,0,0.772727273,censored
7,4.673411,2,0,1,2,40,23,0.130434783,0.347826087,0.9130435,0.52173913,0.875,0.125,0,7.425,0.52173913,0.043478261,2,11.5,0,0.5,289.6826,0.5,3,0,0,0.956521739,0,0.5,0.360883,0,0.9565217,0.030103,1.63404,0,0.006448089,0.043478261,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0.869565217,censored
8,5.071383,2,0,1,8,228,133,0.172932331,0.22556391,0.7218045,0.270676692,0.842105263,0.153508772,0,7.215859,0.639097744,0.037593985,8,16.625,0,0.32,357.5824,1.125,1.5,0,0,0.812030075,0.007518797,0.5,1.510199,0.015037594,0.8120301,0.07432124,1.602336,0,0.006448089,0.060150376,0.060150376,0.037593985,0.022556391,0.030075188,0.015037594,0.007518797,0.007518797,0,0.007518797,0,0.007518797,0.125,0.62406015,censored
9,4.753908,2,0,1,7,118,73,0.232876712,0.232876712,0.7671233,0.301369863,0.838983051,0.161016949,0,7.169491,0.561643836,0.02739726,7,10.42857,0,0.2222222,257.4347,0.7142857,2,0,0,0.739726027,0.01369863,0.571428571,0.850675,0,0.739726,0.07119657,1.22088,0,0.006448089,0.01369863,0.01369863,0.01369863,0,0.068493151,0.04109589,0.01369863,0.01369863,0.01369863,0.01369863,0,0,0,0.589041096,censored
10,4.14572,2,0,1,4,73,40,0.125,0.275,0.775,0.525,0.849315068,0.150684932,0,7.178082,0.525,0.15,4,10,0.6666667,0.25,278.6276,1,4.5,0,0,0.775,0,0.25,0.06088305,0,0.775,0.07224721,1.089044,0,0.006448089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,censored
11,4.987368,2,0,1,8,154,97,0.18556701,0.309278351,0.8041237,0.288659794,0.844155844,0.155844156,0,7.188312,0.474226804,0.030927835,8,12.125,0,0.1666667,247.3544,0.5,2.25,0,0,0.804123711,0,0.625,0.9877486,0.010309278,0.8041237,0.03013306,1.834712,0,0.006448089,0.082474227,0.06185567,0.051546392,0,0.020618557,0.020618557,0,0,0,0,0,0,0.125,0.711340206,censored
12,4.280907,2,0,1,6,116,66,0.136363636,0.318181818,0.6515151,0.303030303,0.870689655,0.129310345,0,7.560345,0.590909091,0.03030303,6,11,0.5,0.2277778,278.3326,0.3333333,2.5,0,0,0.787878788,0,0.833333333,1.512749,0,0.7878788,0.1057272,2.085191,0,0.006448089,0.045454545,0.045454545,0.015151515,0,0.045454545,0.03030303,0.015151515,0.015151515,0,0,0,0,0,0.545454545,censored
13,4.226818,2,0,1,5,88,49,0.204081633,0.204081633,0.8367347,0.448979592,0.875,0.125,0,7.068182,0.551020408,0.12244898,5,9.8,0.6666667,0.08333333,252.9762,0.2,0,0,0,0.836734694,0,0.6,1.282649,0,0.8367347,0.03833921,1.059811,0,0.006448089,0.020408163,0.020408163,0,0,0.040816327,0,0.020408163,0.020408163,0,0,0,0,0,0.734693878,censored
14,4.561919,2,0,1,2,61,35,0.085714286,0.228571429,0.6571429,0.571428571,0.868852459,0.131147541,0,7.049181,0.685714286,0.028571429,2,17.5,0,0.4285715,400.3268,0.5,3,0,0,0.942857143,0.057142857,0,0,0,0.9428571,0.1720171,1.333965,0,0.006448089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,censored
15,5.277672,4,0,1,14,322,179,0.111731844,0.379888268,0.726257,0.340782123,0.847826087,0.152173913,0,7.152174,0.659217877,0.044692737,14,12.78571,0,0.4,291.2913,0.5714286,3.642857143,0,0,0.865921788,0,0.714285714,3.942164,0.011173184,0.8659218,0.0741215,1.229174,0,0.006448089,0,0,0,0,0.016759777,0.011173184,0,0,0,0,0,0,0,0.648044693,censored
16,5.441082,3,0,1,17,282,153,0.150326797,0.235294118,0.6209151,0.477124183,0.804964539,0.191489362,0,7.060498,0.522875817,0.071895425,17,9,0,0.2735294,300.3161,0.7058824,2.176470588,0,0.1764706,0.751633987,0,0.941176471,4.641192,0.006535948,0.751634,0.07729164,1.830308,0.019607843,0.090680497,0,0,0,0,0.078431373,0.019607843,0.052287582,0,0.013071895,0,0,0,0,0.535947712,censored
17,4.914173,2,0,1,6,138,80,0.175,0.2875,0.75,0.4125,0.826086957,0.166666667,0,7.69343,0.5875,0.05,6,13.33333,0,0.7708333,428.125,0.1666667,1.166666667,0,0.1666667,0.9125,0.0375,0.5,0.9826491,0,0.9125,0.06686974,1.877446,0.0125,0.025928106,0.0125,0.0125,0.0125,0,0.0125,0,0,0,0.0125,0,0,0,0,0.7125,censored
18,4.043764,2,0,1,6,146,92,0.152173913,0.22826087,0.7065217,0.282608696,0.835616438,0.164383562,0,7.404109,0.402173913,0.076086957,6,15.33333,1,0,271.4286,0.8333333,0,0,0,0.891304348,0.010869565,0.666666667,1.743532,0,0.8913044,0.0920141,1.987651,0,0.006448089,0.086956522,0.086956522,0.054347826,0,0.010869565,0,0.010869565,0.010869565,0,0,0,0,0,0.652173913,censored
19,5.263784,2,0,1,14,227,147,0.149659864,0.258503401,0.7142857,0.353741497,0.81938326,0.176211454,0,7.429204,0.421768707,0.040816327,14,10.5,0,0.5952381,267.0493,0.3571429,3.428571429,0,0,0.857142857,0.006802721,0.357142857,1.854415,0,0.8571429,0.07128193,1.945317,0,0.006448089,0.040816327,0.040816327,0.040816327,0,0.040816327,0.013605442,0.020408163,0.006802721,0,0.013605442,0,0,0,0.653061224,censored
20,4.347318,2,0,1,6,119,75,0.12,0.253333333,0.72,0.266666667,0.87394958,0.12605042,0,6.991597,0.386666667,0.08,6,12.5,0.5,0,355.3393,0.6666667,3.833333333,0,0,0.88,0.013333333,0.333333333,0.6217661,0,0.88,0.09715652,2.46569,0,0.006448089,0.08,0.08,0.08,0,0.013333333,0.013333333,0,0,0,0,0,0,0,0.64,censored
21,4.706165,2,0,1,3,66,42,0.142857143,0.238095238,0.9047619,0.357142857,0.833333333,0.166666667,0,6.787879,0.380952381,0.095238095,3,14,0,0.1481481,380.0366,0.6666667,2.666666667,0,0,0.880952381,0,0,0,0,0.8809524,0.03648848,1.876922,0,0.006448089,0.023809524,0.023809524,0.023809524,0,0.023809524,0.023809524,0,0,0,0.023809524,0,0,0,0.785714286,censored
22,4.77246,2,0,1,4,86,46,0.173913043,0.195652174,0.8695652,0.413043478,0.848837209,0.151162791,0,6.895349,0.413043478,0.130434783,4,11.5,0,1,175.9259,0.25,0,0,0.5,0.891304348,0.065217391,0.75,1.539792,0,0.8913044,0.04180972,2.266794,0.043478261,0.058304302,0.043478261,0.043478261,0.02173913,0,0.043478261,0.043478261,0,0,0.043478261,0,0,0,0,0.782608696,censored
23,4.043839,2,0,1,6,138,85,0.164705882,0.235294118,0.7647059,0.294117647,0.833333333,0.166666667,0,7.391304,0.423529412,0.082352941,6,14.16667,1,0,271.4286,0.6666667,0,0,0,0.894117647,0.011764706,0.666666667,1.743532,0,0.8941177,0.0698631,1.943789,0,0.006448089,0.082352941,0.082352941,0.047058824,0,0.011764706,0,0.011764706,0.011764706,0,0,0,0,0,0.705882353,censored
24,3.999649,5,0,1,1,127,75,0.186666667,0.293333333,0.88,0.32,0.803149606,0.188976378,0,7.626984,0.546666667,0.053333333,1,75,1,0,0,3,0,0,0,0.786666667,0,0,0,0.013333333,0.7866667,0.01612661,1.685858,0,0.006448089,0.053333333,0.013333333,0.013333333,0.013333333,0,0,0,0,0,0,0,0,0,0.746666667,censored
25,4.664048,2,0,1,2,40,28,0.142857143,0.214285714,0.9285714,0.25,0.925,0.075,0,7.2,0.428571429,0,2,14,0,0.08333335,354.1667,1.5,6.5,0,0,0.857142857,0,0.5,0.005327463,0,0.8571429,0.01308826,2.134142,0,0.006448089,0.107142857,0.107142857,0.107142857,0,0,0,0,0,0,0,0,0,0,0.821428571,censored
26,4.679789,2,0,1,4,59,38,0.026315789,0.263157895,0.9210526,0.210526316,0.93220339,0.06779661,0,7,0.473684211,0,4,9.5,0,0.4,393.9394,0.75,5,0,0,0.921052632,0,0.5,0.6217661,0,0.9210526,0.02431723,2.117748,0,0.006448089,0.105263158,0.105263158,0.105263158,0,0,0,0,0,0,0,0,0,0,0.842105263,censored
27,3.703616,1,0,1,1,35,26,0.038461538,0.346153846,0.8846154,0.076923077,0.828571429,0.171428571,0,7.742857,0.346153846,0,1,26,1,0,0,2,0,0,0,0.884615385,0,0,0,0,0.8846154,0.0451545,2.291907,0,0.006448089,0.153846154,0.153846154,0.115384615,0,0,0,0,0,0,0,0,0,0,0.769230769,censored
28,5.3645,2,0,1,14,231,136,0.154411765,0.323529412,0.7647059,0.375,0.83982684,0.16017316,0,7.238095,0.580882353,0.036764706,14,9.714286,0,0.4871795,243.9866,0.3571429,0.5,0,0.07142857,0.852941176,0.007352941,0.5,2.583324,0.007352941,0.8529412,0.06664407,1.834363,0.007352941,0.025928106,0.095588235,0.088235294,0.073529412,0.007352941,0.066176471,0.029411765,0.036764706,0.007352941,0.007352941,0.007352941,0,0,0,0.661764706,censored
29,3.75473,1,0,1,2,34,26,0.192307692,0.346153846,0.8846154,0.307692308,0.852941176,0.147058824,0,7.323529,0.153846154,0.076923077,2,13,1,0.25,431.8182,0.5,3.5,0,0,0.923076923,0.076923077,0.5,0.560883,0.038461538,0.9230769,0.04300429,2.443397,0,0.006448089,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0.807692308,censored
30,4.348877,2,0,1,11,140,96,0.166666667,0.260416667,0.7083333,0.25,0.85,0.135714286,0,7.391304,0.364583333,0.03125,11,8.727273,0.5714286,0.512987,253.8961,0.2727273,2.636363636,0,0,0.84375,0.020833333,0.454545455,1.771082,0,0.84375,0.0922316,2.132521,0,0.006448089,0.072916667,0.0625,0.0625,0,0.041666667,0.041666667,0,0,0,0.03125,0,0,0,0.614583333,censored
31,4.802256,2,0,1,8,145,98,0.204081633,0.183673469,0.744898,0.193877551,0.896551724,0.103448276,0,6.965517,0.367346939,0.040816327,8,12.25,0,0.4854167,297.4059,1.125,4,0,0.125,0.775510204,0.010204082,0.125,0.1608831,0,0.7755102,0.07095578,2.199266,0.010204082,0.025928106,0.06122449,0.06122449,0.051020408,0.010204082,0.040816327,0.020408163,0.030612245,0.020408163,0,0.020408163,0,0,0,0.602040816,censored
32,3.764243,1,0,1,5,42,29,0.034482759,0.24137931,0.8275862,0.24137931,0.857142857,0.142857143,0,7.476191,0.448275862,0,5,5.8,1,0.2,452.8139,0.2,1.4,0,0,0.75862069,0,0.6,0.7826492,0.034482759,0.7586207,0.01433476,1.990789,0,0.006448089,0.034482759,0.034482759,0.034482759,0,0.068965517,0.068965517,0,0,0,0,0,0,0,0.724137931,censored
33,4.79636,2,0,1,6,105,70,0.142857143,0.271428571,0.8285714,0.228571429,0.933333333,0.066666667,0,6.942857,0.471428571,0.014285714,6,11.66667,0,0.5111111,374.8932,0.5,4,0,0,0.785714286,0,0.333333333,0.4717661,0.014285714,0.7857143,0.02116042,1.905624,0,0.006448089,0.057142857,0.057142857,0.042857143,0,0.042857143,0.028571429,0.014285714,0,0.014285714,0,0,0,0,0.728571429,censored
34,4.552449,2,0,1,14,169,113,0.10619469,0.256637168,0.7433628,0.265486726,0.875739645,0.112426036,0,7.161677,0.389380531,0.053097345,14,8.071428,0.5,0.2857143,316.7234,0.5,2.642857143,0,0,0.805309735,0.008849558,0.357142857,0.7925104,0.008849558,0.8053097,0.07703793,2.070377,0,0.006448089,0.07079646,0.07079646,0.026548673,0.026548673,0.026548673,0.008849558,0.017699115,0,0,0.017699115,0,0,0,0.628318584,censored
35,4.116225,2,0,1,4,68,43,0.046511628,0.23255814,0.9534883,0.255813953,0.897058824,0.102941176,0,6.897059,0.395348837,0.093023256,4,10.75,0.6666667,0.2291667,361.8048,0.5,3,0,0,0.860465116,0.023255814,0.5,0.4931946,0,0.8604651,0.008361945,1.791976,0,0.006448089,0.023255814,0.023255814,0.023255814,0,0.023255814,0.023255814,0,0,0,0,0,0,0,0.837209302,censored
36,4.756745,2,0,1,6,99,66,0.136363636,0.303030303,0.7575758,0.257575758,0.858585859,0.141414141,0,7.565657,0.439393939,0.03030303,6,11,0,0.1666667,414.3773,0.6666667,4.833333333,0,0,0.848484848,0,0.5,0.9207443,0,0.8484849,0.07061841,1.879381,0,0.006448089,0.075757576,0.075757576,0.075757576,0,0.015151515,0,0.015151515,0.015151515,0,0,0,0,0,0.666666667,censored
37,4.801256,2,0,1,6,115,71,0.169014085,0.309859155,0.7605634,0.281690141,0.860869565,0.139130435,0,7.06087,0.436619718,0.070422535,6,11.83333,0,0.4,183.1818,0.1666667,1,0,0,0.830985915,0.028169014,0.666666667,0.8435322,0,0.8309859,0.0688839,1.830827,0,0.006448089,0.070422535,0.070422535,0.070422535,0,0.014084507,0.014084507,0,0,0,0,0.014084507,0,0,0.661971831,censored
