idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
0,4.685565,2,0,1,3,47,29,4,6,0.9310345,11,42,5,0,7.042553,14,2,3,9.666667,0,0.6666667,320.8333,0.3333333,6,0,0,26,0,2,0.6217661,0,0.8965517,0.0120412,1.77906,0,0.006448089,1,1,0,1,0,0,0,0,0,0,0,0,0,25,censored
1,4.631059,2,0,1,2,55,34,5,11,0.8235294,12,47,8,0,7.545455,17,2,2,17,0,0,307.6923,1,7,0,0,27,1,0,0,0,0.7941176,0.04692093,0.9566573,0,0.006448089,0,0,0,0,1,1,1,0,0,1,0,0,0,23,censored
2,5.118556,2,0,1,6,184,115,24,28,0.7652174,39,156,28,0,7.201087,53,5,6,19.16667,0,0.5,384.2106,0.6666667,9,0,0,89,3,1,0.560883,1,0.773913,0.04588712,1.963497,0,0.006448089,8,6,2,2,7,5,1,1,1,2,0,0,0,76,censored
3,5.04283,4,0,1,25,389,219,48,48,0.6438356,61,352,34,0,6.790155,119,6,25,8.76,0.25,0.5273334,291.4481,0.44,66,0,0.08,171,5,15,5.215627,0,0.7808219,0.09991034,1.501407,2,0.058304302,1,1,1,0,8,4,3,1,0,1,2,0,0,117,censored
4,4.593163,2,0,1,4,64,41,6,12,0.8536586,10,56,8,0,7.1875,17,3,4,10.25,0,0,224.1071,1.25,20,0,0,33,0,2,0.6217661,1,0.8048781,0.05375536,1.049596,0,0.006448089,0,0,0,0,2,2,0,0,0,0,0,0,0,28,censored
5,4.334036,2,0,1,5,92,55,9,16,0.8909091,19,80,12,0,7.347826,28,0,5,11,0.5,0.2,272.4164,0.8,20,0,0,45,0,3,0.4076492,0,0.8181818,0.03450529,1.612707,0,0.006448089,1,1,0,0,1,0,0,0,0,0,0,0,0,40,censored
6,4.892266,2,0,1,7,103,66,9,20,0.8636364,25,85,18,0,7.543689,26,4,7,9.428572,0,0.1428571,262.585,0.1428571,14,0,0,56,1,4,1.543532,0,0.8484849,0.02951275,1.977392,0,0.006448089,3,3,1,0,0,0,0,0,0,0,0,0,0,51,censored
7,4.673411,2,0,1,2,40,23,3,8,0.9130435,12,35,5,0,7.425,12,1,2,11.5,0,0.5,289.6826,0.5,6,0,0,22,0,1,0.360883,0,0.9565217,0.030103,1.63404,0,0.006448089,1,1,0,0,0,0,0,0,0,0,0,0,0,20,censored
8,5.071383,2,0,1,8,228,133,23,30,0.7218045,36,192,35,0,7.215859,85,5,8,16.625,0,0.32,357.5824,1.125,12,0,0,108,1,4,1.510199,2,0.8120301,0.07432124,1.602336,0,0.006448089,8,8,5,3,4,2,1,1,0,1,0,1,1,83,censored
9,4.753908,2,0,1,7,118,73,17,17,0.7671233,22,99,19,0,7.169491,41,2,7,10.42857,0,0.2222222,257.4347,0.7142857,14,0,0,54,1,4,0.850675,0,0.739726,0.07119657,1.22088,0,0.006448089,1,1,1,0,5,3,1,1,1,1,0,0,0,43,censored
10,4.14572,2,0,1,4,73,40,5,11,0.775,21,62,11,0,7.178082,21,6,4,10,0.6666667,0.25,278.6276,1,18,0,0,31,0,1,0.06088305,0,0.775,0.07224721,1.089044,0,0.006448089,0,0,0,0,0,0,0,0,0,0,0,0,0,25,censored
11,4.987368,2,0,1,8,154,97,18,30,0.8041237,28,130,24,0,7.188312,46,3,8,12.125,0,0.1666667,247.3544,0.5,18,0,0,78,0,5,0.9877486,1,0.8041237,0.03013306,1.834712,0,0.006448089,8,6,5,0,2,2,0,0,0,0,0,0,1,69,censored
