idx,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class
0,4.874588,2,0,1,6,133,82,13,19,0.8170732,27,100,25,0,8.104,41,5,6,13.66667,0,0.15,351.0839,0.3333333,6,0,0,73,0,3,0.8040776,0,0.8902439,0.06105854,1.389208,0,0.003134119,3,3,3,0,3,2,3,0,0,2,0,0,0,60,uncensored
42,4.844738,2,0,1,8,119,76,15,23,0.8421053,23,103,16,0,7.016807,36,2,8,9.5,0,0.4375,222.2375,0.375,18,0,0,61,2,4,1.114961,0,0.8026316,0.03056803,1.719354,0,0.003134119,2,2,1,0,3,1,2,0,1,0,0,0,0,55,uncensored
121,4.833673,2,0,1,9,194,106,16,23,0.754717,28,165,29,0,7.515464,63,5,9,11.77778,0,0.61875,278.0293,0.7777778,33,0,0,89,0,4,1.100675,0,0.8396226,0.06168978,1.58237,0,0.003134119,0,0,0,0,4,2,2,2,0,0,0,0,0,72,uncensored
272,4.201804,2,0,1,6,100,55,11,10,0.7636364,13,76,24,0,7.65,37,4,6,9.166667,0.5,0.2833333,368.8492,0,13,0,0,47,0,3,0.5874109,0,0.8545455,0.05538427,1.220057,0,0.003134119,0,0,0,0,1,0,0,0,0,0,0,0,0,37,uncensored
294,4.546525,2,0,1,8,115,65,12,12,0.8,27,95,20,0,7.547826,42,4,8,8.125,0.3333333,0.875,365.997,0.25,12,0,0,53,0,4,1.343532,0,0.8153846,0.05189321,1.08505,0,0.003134119,0,0,0,0,3,2,1,1,0,0,0,1,0,44,uncensored
379,4.848705,2,0,1,3,132,74,12,15,0.8243243,25,114,18,0,6.833333,41,4,3,24.66667,0,0.2,437.5,2,8,0,0,60,0,1,0.3942164,0,0.8108108,0.03473423,1.400545,0,0.003134119,1,1,1,0,1,0,1,0,0,0,1,0,0,52,uncensored
555,4.913486,2,0,1,3,100,48,0,11,0.9166667,29,83,17,0,7.58,36,6,3,16,0,0.375,458.3333,0,0,0,0,46,0,2,1.121766,0,0.9583333,0.02866952,0.9374772,0,0.003134119,1,1,1,0,2,2,0,0,0,0,0,0,0,42,uncensored
615,3.727374,1,0,1,1,26,14,1,0,0.8571429,7,23,3,0,6.038462,6,3,1,14,1,0.4,357.1429,0,0,0,0,12,0,0,0,0,0.8571429,0.02736636,1.910534,0,0.003134119,0,0,0,0,0,0,0,0,0,0,0,0,0,11,uncensored
626,5.352604,2,0,1,15,269,150,20,37,0.6866667,68,227,42,0,7.524164,88,10,15,10,0,0.2987179,308.0974,0.2666667,20,0,0.06666667,134,1,9,2.945566,0,0.8933333,0.1024835,1.264521,1,0.016861882,1,1,0,0,2,2,0,0,1,0,0,0,0,94,uncensored
629,4.666712,2,0,1,5,58,35,2,11,0.9428571,12,49,9,0,7.396552,17,0,5,7,0,0.06666666,324.2857,0.2,6,0,0,29,0,4,1.057818,0,0.8285714,0.02229852,1.383457,0,0.003134119,0,0,0,0,2,2,0,0,1,0,0,0,0,27,uncensored
658,4.737624,2,0,1,6,97,48,3,17,0.875,19,79,18,0,7.793815,43,3,6,8,0,0,290.6746,0,6,0,0,47,0,4,1.743532,0,0.9791667,0.04100589,0.6796395,0,0.003134119,0,0,0,0,1,1,0,0,0,0,0,0,0,41,uncensored
675,5.456137,4,0,1,22,345,191,28,47,0.8115183,66,299,45,1,7.4,119,13,22,8.681818,0,0.4603175,327.3625,0.1818182,39,0,0,163,2,14,4.616648,0,0.8534032,0.0365076,1.385797,0,0.003134119,2,3,2,1,7,3,2,0,0,0,0,0,1,145,uncensored
685,4.633,2,0,1,2,29,19,1,2,1,6,27,2,0,6.448276,8,1,2,9.5,0,0.5,472.2222,1,12,0,0,17,0,0,0,0,0.8947368,0,1.970542,0,0.003134119,1,1,1,0,0,0,0,0,0,0,0,0,0,17,uncensored
695,3.785,2,0,1,1,29,20,3,5,1,7,27,2,0,6.344828,5,2,1,20,1,0.25,400,1,6,0,0,16,1,0,0,0,0.8,0,2.009542,0,0.003134119,1,1,1,0,0,0,0,0,0,0,0,0,0,16,uncensored
759,4.622129,2,0,1,3,51,31,4,11,0.9354839,9,37,14,0,8.058824,13,2,3,10.33333,0,0.5555556,324.2424,0.3333333,14,0,0,27,1,3,0.2826492,0,0.8709677,0.0240824,1.273666,0,0.003134119,0,0,0,0,1,1,0,0,1,0,0,0,1,25,uncensored
782,4.769,2,0,1,3,67,44,2,11,1,17,59,8,0,7.641791,21,1,3,14.66667,0,0.2222222,364.4162,0,21,0,0,40,0,1,0.3942164,0,0.9090909,0,1.226649,0,0.003134119,0,0,0,0,2,2,0,0,0,1,0,0,0,40,uncensored
806,5.286061,3,0,1,12,264,164,18,37,0.7439024,60,229,33,0,6.770992,78,8,12,13.66667,0,0.6119047,331.7629,0.5,33,0,0,142,2,4,1.057818,0,0.8658537,0.07109039,1.868051,0,0.003134119,1,1,0,0,8,6,2,0,1,1,0,0,0,110,uncensored
853,4.925781,2,0,1,6,157,97,21,25,0.6701031,32,131,26,0,7.375796,50,5,6,16.16667,0,0.3333333,336.7965,0.1666667,12,0,0,78,2,2,0.7884327,0,0.8041237,0.08647752,1.933723,0,0.003134119,4,4,1,1,1,1,0,0,0,0,0,0,0,58,uncensored
894,3.749865,2,0,1,1,31,18,3,6,0.8888889,8,30,1,0,6.290323,10,0,1,18,1,0,277.7778,0,6,0,0,15,0,0,0,0,0.8333333,0.02150214,1.775576,0,0.003134119,0,0,0,0,0,0,0,0,0,0,0,0,0,14,uncensored
900,4.345973,2,0,1,2,28,17,1,6,0.5882353,11,24,4,0,9,11,0,2,8.5,0,0.5,225,0,0,0,0,16,0,2,0.921766,0,0.9411765,0.2341345,0.3306425,0,0.003134119,0,0,0,0,0,0,0,0,0,0,0,0,0,9,uncensored
957,4.753908,2,0,1,6,110,68,13,12,0.7205882,22,92,18,0,7.881818,38,2,6,11.33333,0,0.4861111,352.1265,0.8333333,23,0,0,55,0,3,0.8659825,0,0.8088235,0.07119657,1.258908,0,0.003134119,0,1,0,1,1,0,0,0,0,0,0,0,0,43,uncensored
1016,4.701271,2,0,1,5,118,66,5,16,0.8484849,18,97,21,0,7.923729,45,2,5,13.2,0,0.9,325.6863,1.2,29,0,0,57,1,1,0.06088305,1,0.8636364,0.05644313,1.197393,0,0.003134119,0,0,0,0,2,1,0,0,0,0,0,0,0,48,uncensored
1074,4.011744,1,0,1,5,39,27,5,8,0.962963,8,29,9,0,8.184211,12,0,5,5.4,0.75,0,223.8095,0.4,0,0,0,22,0,4,1.676866,0,0.8148148,0.01433476,1.822515,0,0.003134119,2,2,1,0,1,1,0,0,0,0,0,0,0,21,uncensored
1077,4.685,2,0,1,4,58,31,1,13,1,11,45,13,0,8.603448,21,1,4,7.75,0,0.75,312.0039,0.5,12,0,0,27,0,3,0.7326491,0,0.8709677,0,0.50103,0,0.003134119,0,0,0,0,1,1,0,0,0,0,0,0,0,27,uncensored
1113,3.866589,5,0,1,1,87,57,11,12,0.8947368,15,75,12,0,7.425287,26,2,1,57,1,0,0,3,0,0,0,46,1,0,0,0,0.8070176,0.02100209,1.868831,0,0.003134119,1,1,1,0,0,0,0,0,0,0,0,0,0,43,uncensored
1114,4.802793,2,0,1,6,123,76,15,21,0.7631579,26,104,19,0,7.138211,39,4,6,12.66667,0,0.8055555,265.1316,0,25,0,0,64,0,2,0.6773217,1,0.8421053,0.06367941,1.47904,0,0.003134119,0,0,0,0,3,1,2,1,1,0,0,0,0,52,uncensored
1168,4.27928,2,0,1,3,70,42,10,12,0.8095238,16,59,11,0,7.628572,21,2,3,14,0.5,0,400,0.3333333,6,0,0,32,2,2,0.421766,0,0.7619048,0.0557463,2.285894,0,0.003134119,4,2,2,0,2,1,1,1,0,0,1,0,0,27,uncensored
1211,5.090971,5,0,1,5,251,135,22,31,0.6592593,49,201,48,2,7.860558,88,8,5,27,0,0.3611111,243.6508,1.2,13,0,0,117,0,0,0,0,0.8666667,0.09946743,1.214929,0,0.003134119,1,1,0,1,0,0,0,0,0,0,0,0,0,82,uncensored
1229,4.719205,2,0,1,4,103,59,17,12,0.8644068,15,98,5,0,6.252427,31,5,4,14.75,0,0.5,222.2222,0.75,13,0,0,42,0,1,0.2751688,0,0.7118644,0.0150515,1.479658,0,0.003134119,0,0,0,1,5,4,0,0,1,0,0,0,0,40,uncensored
1258,4.837765,2,0,1,5,99,61,19,14,0.7868853,24,80,19,0,7.434343,25,5,5,12.2,0,0.4166667,161.5884,0.4,13,0,0,51,2,3,0.9326491,0,0.8360656,0.04505162,2.230682,0,0.003134119,3,2,0,0,0,0,0,0,0,0,0,0,0,44,uncensored
1280,4.632956,2,0,1,3,70,43,7,11,0.8604651,12,59,11,0,7.957143,23,2,3,14.33333,0,0.2619047,346.0317,0.3333333,8,0,0,38,2,2,0.3717661,1,0.8837209,0.04561061,1.292402,0,0.003134119,0,0,0,0,1,0,0,0,0,0,0,0,0,33,uncensored
