idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
0,27,27.0,3.7,51.85,29.63,11.11,3.7,0.0,0.0,0.0,3.7,0.0,0.0,7.41,3.7,7.41,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,7.41,0.0,0.0,0.0,3.7,7.41,7.41,0.0,0.0,0.0,0.0,14.81,0.0,3.7,3.7,0.0,11.11,0.0,0.0,7.41,7.41,0.0,3.7,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,11.11,7.41,0.0,3.7,0.0,0.0,11.11,3.7,7.41,0.0,7.41,0.0,3.7,0.0,0.0,0.0,7.41,0.0,0.0,7.41,0.0,0.0,18.52,0.0,7.41,3.7,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.5136270000000001,0.48637299999999994,1,0.00185695,0.00213676,11,2.454545455,0.819513055,16.0,meng,censored
1,35,35.0,0.0,57.14,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,5.71,0.0,2.86,0.0,2.86,0.0,5.71,2.86,0.0,2.86,2.86,8.57,0.0,8.57,2.86,0.0,2.86,0.0,2.86,0.0,2.86,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,2.86,2.86,2.86,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,11.43,0.0,5.71,8.57,2.86,0.0,20.0,2.86,8.57,5.71,8.57,0.0,0.0,11.43,0.0,0.0,5.71,0.0,0.0,2.86,2.86,2.86,31.43,0.0,2.86,0.0,0.0,25.71,0.0,2.86,0.0,0.0,0.0,0.0,0.0867207,0.9132790000000001,0,0.00217898,0.00248959,10,3.5,1.168222857,2.0,patriotism,censored
2,110,15.71,0.0,70.91,43.64,6.36,5.45,3.64,0.0,0.0,1.82,0.0,0.0,0.91,4.55,1.82,10.91,10.0,2.73,2.73,1.82,0.91,6.36,0.91,0.91,1.82,3.64,11.82,4.55,10.0,6.36,1.82,1.82,1.82,9.09,1.82,5.45,0.0,0.91,0.0,10.0,0.0,0.0,0.91,1.82,22.73,7.27,3.64,5.45,7.27,1.82,2.73,1.82,0.91,0.91,0.0,0.91,0.0,0.0,0.0,0.0,10.0,0.91,1.82,4.55,0.0,4.55,15.45,1.82,5.45,9.09,1.82,1.82,0.0,0.0,0.0,0.0,9.09,0.0,0.0,8.18,0.0,1.82,11.82,6.36,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0438767,0.956123,0,0.00309289,0.00314075,11,10.0,3.335411213,296.0,cr,censored
3,233,15.53,0.0,65.67,39.48,0.86,0.43,0.43,0.0,0.0,0.43,0.0,0.0,0.86,6.01,3.86,12.45,5.58,4.72,4.29,1.29,0.86,3.0,0.86,0.86,0.86,0.43,10.73,1.29,9.87,2.15,0.0,6.87,2.58,6.44,4.72,1.72,0.0,0.43,0.0,6.01,0.43,0.0,0.0,0.43,18.88,5.15,2.58,3.86,3.0,6.87,6.01,1.72,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,10.73,1.29,3.86,3.43,0.86,2.58,12.02,0.86,4.29,6.87,5.15,0.0,0.0,0.0,0.43,0.0,3.86,0.0,0.0,3.43,0.43,0.43,32.62,8.58,14.16,0.0,1.29,0.0,0.0,5.15,3.43,0.0,0.0,0.0,0.7293310000000001,0.270669,2,0.00208893,0.00216209,11,21.18181818,7.062023067,141.0,democracy,censored
4,61,20.33,4.92,39.34,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84,0.0,9.84,4.92,0.0,3.28,1.64,0.0,4.92,1.64,0.0,3.28,0.0,3.28,0.0,3.28,3.28,0.0,19.67,0.0,3.28,1.64,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,1.64,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,3.28,0.0,1.64,11.48,3.28,4.92,8.2,3.28,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,3.28,0.0,1.64,24.59,4.92,8.2,4.92,0.0,0.0,0.0,0.0,0.0,0.0,3.28,3.28,0.639252,0.360748,2,0.00086628,0.00093517,11,5.545454545,1.8490853319999998,21171.0,china,censored
5,54,13.5,0.0,62.96,29.63,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,3.7,3.7,7.41,0.0,3.7,1.85,0.0,1.85,1.85,0.0,0.0,0.0,1.85,9.26,3.7,7.41,0.0,1.85,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,20.37,3.7,5.56,0.0,1.85,5.56,0.0,1.85,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26,0.0,7.41,3.7,0.0,0.0,20.37,9.26,3.7,7.41,11.11,0.0,0.0,3.7,0.0,0.0,3.7,0.0,0.0,3.7,0.0,0.0,22.22,3.7,11.11,0.0,0.0,3.7,0.0,0.0,3.7,0.0,0.0,0.0,0.035051,0.964949,0,0.00175117,0.00170943,11,4.909090909,1.63751717,579542.0,trump,censored
6,63,15.75,0.0,61.9,42.86,7.94,4.76,0.0,1.59,3.17,0.0,0.0,0.0,3.17,4.76,1.59,7.94,4.76,3.17,4.76,1.59,0.0,7.94,3.17,1.59,0.0,3.17,12.7,6.35,9.52,1.59,1.59,4.76,0.0,4.76,1.59,3.17,0.0,1.59,0.0,11.11,0.0,0.0,0.0,0.0,9.52,3.17,3.17,1.59,1.59,1.59,0.0,0.0,0.0,0.0,0.0,3.17,1.59,0.0,1.59,0.0,9.52,6.35,0.0,3.17,0.0,0.0,11.11,0.0,4.76,6.35,0.0,0.0,0.0,0.0,1.59,0.0,15.87,1.59,0.0,9.52,3.17,4.76,14.29,1.59,9.52,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.8891040000000001,0.11089600000000001,2,0.0019855999999999997,0.00171706,11,5.727272727000001,1.910325129,22.0,patriotism,censored
7,21,21.0,0.0,52.38,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,14.29,4.76,4.76,0.0,4.76,4.76,9.52,0.0,0.0,9.52,0.0,4.76,0.0,4.76,14.29,4.76,19.05,0.0,4.76,0.0,4.76,0.0,0.0,0.0,9.52,0.0,0.0,4.76,0.0,19.05,4.76,0.0,4.76,9.52,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05,0.0,14.29,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,4.76,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265743,0.7342569999999999,0,0.00140779,0.00064218,7,3.0,1.000683323,118001.0,trump,censored
8,163,13.58,5.52,50.92,31.9,4.91,4.91,0.0,3.07,0.0,0.61,1.23,0.0,0.0,6.13,2.45,7.36,4.91,1.23,1.84,0.61,0.61,3.07,1.23,0.0,1.23,1.84,7.36,1.23,6.75,1.84,0.0,4.29,1.23,3.68,0.61,1.84,1.23,0.0,0.0,10.43,0.0,0.0,0.61,0.61,9.82,4.29,1.84,1.84,1.23,1.84,1.84,1.23,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59,4.91,2.45,1.84,0.0,0.61,9.2,2.45,3.07,4.91,4.91,0.61,0.0,2.45,0.0,0.0,3.07,0.0,0.61,1.84,0.0,1.84,17.79,6.75,4.91,1.23,0.0,0.61,0.0,1.23,2.45,0.61,0.0,0.0,0.0492465,0.9507540000000001,0,0.00139822,0.00158378,11,14.81818182,4.940387939,725.0,trump,censored
9,74,74.0,0.0,59.46,45.95,1.35,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,8.11,1.35,12.16,9.46,0.0,2.7,1.35,1.35,12.16,4.05,0.0,1.35,6.76,10.81,6.76,10.81,5.41,0.0,12.16,0.0,6.76,1.35,1.35,1.35,1.35,0.0,2.7,0.0,0.0,1.35,0.0,18.92,9.46,1.35,4.05,5.41,1.35,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,1.35,0.0,4.05,0.0,1.35,16.22,5.41,5.41,8.11,2.7,0.0,0.0,0.0,0.0,0.0,14.86,0.0,0.0,10.81,0.0,6.76,20.27,0.0,13.51,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,4.05,0.0403108,0.9596889999999999,0,0.00194388,0.00192478,11,6.727272727000001,2.2437137959999998,1266339.0,trump,censored
