idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
9175,106,26.5,0.94,61.32,36.79,4.72,2.83,0.94,0.0,0.0,1.89,0.0,0.0,1.89,5.66,2.83,9.43,2.83,0.94,0.94,2.83,3.77,3.77,0.0,0.94,1.89,0.94,9.43,1.89,8.49,3.77,0.0,0.94,0.94,5.66,3.77,0.94,0.0,0.0,0.0,6.6,0.0,0.0,0.94,0.94,16.04,1.89,1.89,1.89,3.77,3.77,0.0,5.66,0.94,3.77,0.0,0.94,0.0,0.94,0.0,0.0,8.49,0.0,3.77,6.6,0.94,0.0,17.92,6.6,10.38,5.66,5.66,0.0,0.0,0.0,0.0,0.0,4.72,0.0,0.0,3.77,0.94,0.0,18.87,3.77,9.43,1.89,0.0,0.0,0.0,0.0,1.89,0.0,1.89,0.0,0.926183,0.0738173,2,0.00230104,0.00260361,11,9.636363636,3.213756095,274,trump,uncensored
5525,55,18.33,0.0,72.73,43.64,3.64,1.82,0.0,1.82,0.0,0.0,0.0,0.0,1.82,5.45,5.45,12.73,3.64,1.82,0.0,3.64,0.0,5.45,1.82,0.0,0.0,5.45,14.55,3.64,14.55,1.82,0.0,0.0,1.82,7.27,3.64,3.64,0.0,3.64,0.0,5.45,0.0,0.0,0.0,0.0,20.0,7.27,1.82,5.45,1.82,7.27,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91,1.82,3.64,9.09,0.0,0.0,20.0,1.82,5.45,12.73,9.09,0.0,0.0,3.64,0.0,0.0,7.27,0.0,0.0,7.27,0.0,0.0,21.82,3.64,5.45,0.0,0.0,0.0,5.45,0.0,3.64,0.0,0.0,3.64,0.43455699999999997,0.565443,0,0.00222237,0.00253782,11,5.0,1.668253397,253,trump,uncensored
8441,46,46.0,2.17,34.78,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0,6.52,0.0,0.0,6.52,0.0,6.52,0.0,6.52,0.0,0.0,0.0,0.0,0.0,8.7,0.0,2.17,6.52,0.0,0.0,13.04,0.0,0.0,6.52,0.0,0.0,0.0,2.17,4.35,0.0,0.0,0.0,0.280174,0.7198260000000001,0,0.00226086,0.00233644,9,5.1111111110000005,1.705236137,300,meng,uncensored
24349,110,22.0,0.0,58.18,32.73,4.55,0.91,0.91,0.0,0.0,0.0,0.0,0.0,3.64,7.27,5.45,3.64,4.55,4.55,1.82,0.0,0.0,3.64,0.91,0.0,0.91,2.73,9.09,1.82,9.09,0.91,0.0,0.91,1.82,3.64,1.82,0.91,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,17.27,4.55,4.55,5.45,2.73,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,0.0,4.55,9.09,1.82,1.82,10.0,3.64,3.64,0.91,7.27,0.0,0.0,6.36,0.0,0.0,4.55,0.0,0.0,3.64,0.0,1.82,13.64,4.55,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341265,0.965874,0,0.00177871,0.0019510999999999999,11,10.0,3.334576603,33873,trump,uncensored
36428,38,12.67,0.0,50.0,26.32,2.63,2.63,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,5.26,2.63,0.0,2.63,5.26,5.26,5.26,2.63,0.0,0.0,2.63,5.26,2.63,5.26,0.0,2.63,2.63,2.63,5.26,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,7.89,5.26,0.0,0.0,5.26,0.0,0.0,2.63,2.63,0.0,0.0,2.63,0.0,2.63,0.0,0.0,10.53,2.63,2.63,7.89,2.63,0.0,10.53,5.26,7.89,0.0,2.63,2.63,2.63,0.0,0.0,0.0,2.63,0.0,0.0,2.63,0.0,0.0,7.89,2.63,2.63,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0866144,0.913386,0,0.00163531,0.00139532,11,3.454545455,1.152525362,264,propaganda,uncensored
28100,52,17.33,0.0,63.46,40.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,5.77,1.92,3.85,0.0,3.85,3.85,7.69,1.92,0.0,0.0,1.92,0.0,3.85,0.0,3.85,3.85,0.0,5.77,5.77,1.92,1.92,0.0,0.0,0.0,0.0,19.23,0.0,0.0,1.92,0.0,15.38,1.92,3.85,5.77,3.85,1.92,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46,0.0,1.92,11.54,0.0,0.0,11.54,0.0,7.69,3.85,13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31,5.77,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671241,0.328759,2,0.00172239,0.00137716,10,5.2,1.7343665169999998,12243,hr,uncensored
6394,37,18.5,0.0,45.95,24.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,5.41,8.11,0.0,2.7,2.7,0.0,8.11,2.7,2.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,0.0,5.41,2.7,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,5.41,2.7,5.41,2.7,18.92,0.0,13.51,5.41,2.7,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51,5.41,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8436170000000001,0.156383,2,0.00091097,0.00040641,10,3.7,1.23377246,436294,china,uncensored
759,26,26.0,0.0,57.69,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,11.54,7.69,3.85,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,3.85,11.54,0.0,3.85,11.54,11.54,3.85,3.85,0.0,3.85,0.0,11.54,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,3.85,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,3.85,0.0,7.69,0.0,3.85,7.69,0.0,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77,3.85,19.23,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.516362,0.483638,1,0.00176877,0.00144274,8,3.25,1.084403837,1260,trump,uncensored
37665,42,10.5,0.0,28.57,14.29,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,4.76,0.0,7.14,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,2.38,0.0,4.76,4.76,0.0,0.0,2.38,2.38,0.0,0.0,0.0,2.38,0.0,0.0,2.38,0.0,0.0,4.76,4.76,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,23.81,7.14,9.52,0.0,0.0,2.38,0.0,0.0,0.0,0.0,4.76,0.0,0.38703899999999997,0.612961,0,0.00044542,0.00020133,11,3.8181818180000002,1.272942856,691,meng,uncensored
30098,43,21.5,0.0,62.79,32.56,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,4.65,0.0,9.3,2.33,0.0,2.33,0.0,0.0,9.3,0.0,0.0,4.65,4.65,6.98,4.65,6.98,2.33,0.0,4.65,2.33,6.98,2.33,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,20.93,13.95,4.65,2.33,2.33,4.65,0.0,2.33,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,13.95,0.0,6.98,9.3,0.0,0.0,6.98,0.0,0.0,4.65,16.28,0.0,0.0,4.65,0.0,0.0,6.98,0.0,0.0,6.98,0.0,2.33,13.95,4.65,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8098069999999999,0.190193,2,0.00127933,0.00106855,11,3.9090909089999997,1.30381293,6160,trump,uncensored
