'CRIE Readability 1.0','SVM readability prediction 1.0',Paragraphs,'Average paragraph length',Characters,Words,Adverbs,Verbs,'Type-token ratio','Difficult words','Low-stroke characters','Intermediate-stroke characters','High-stroke characters','Average strokes','Two-character words','Three-character words',Sentences,'Average sentence length','Simple sentence ratio','modifiers per NP','Np ratio','Average propositional phrase','Sentences with complex structure',Parallelism,'Average number of idioms each sentence','Content words',Negatives,'Sentences with complex semantic categories','Number of complex semantic categories','Intentional words','Noun word density','Content word frequency in logarithmic','Average frequency of content word in domain in Logarithmic','Number of Idioms',Pronouns,'Personal pronouns','First personal pronouns','Third personal pronouns',conjunctions,'positive conjunctions','negative conjunctions','adversative conjunctions','causal conjunctions','hypothesis conjunction','condition conjunction','purpose conjunctions','figure of speech (simile)','Content word category',pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,class
0.126805,-0.266335,0,-0.484955,-0.634231,-0.635157,-0.457724,-0.808714,1.102901,0.189799,0.92711,-0.895898,-0.20702,-0.787977,-0.193838,0.483471,-0.484955,-0.365693,-0.709959,1.165038,0.395281,-0.376289,-0.142819,-0.094986,-0.248872,1.061313,-0.679689,0.781203,-0.294807,-0.395696,1.061313,-0.8463,0.372289,-0.297,0.144141,0.180685,-0.596275,2.130784,-1.093016,-0.88435,-0.637644,-0.452136,-0.364546,-0.425727,-0.226717,-0.075651,-0.149339,1.554617,0.324647,-0.309545,0.236912,-0.393747,-0.040612,0.474642,-0.688843,-0.688877,-0.146556,censored
0.02764,-0.266335,0,-0.623639,-0.571713,-0.569221,-0.325499,0.961135,0.222236,-0.07655,0.227867,-0.174339,-0.20702,0.234409,-0.034983,0.223218,-0.623639,0.080569,-0.709959,-0.919428,0.277752,0.341049,0.687964,-0.094986,-0.248872,-0.584906,1.014218,-1.549669,-0.700762,-0.395696,-0.584906,-0.238081,-1.589268,-0.297,-0.874121,-0.841991,-0.596275,-0.453878,-0.016243,0.436436,1.247647,-0.452136,-0.364546,2.265362,-0.226717,-0.075651,-0.149339,-0.116441,-0.931496,0.941773,-0.819484,0.081112,0.303086,-0.382776,-0.527333,-0.527267,-0.146564,censored
0.91457,-0.266335,0,-0.068905,0.436384,0.498949,0.56737,-0.253604,-0.255447,-0.216049,0.107614,-0.050249,-0.20702,-0.465682,-0.395515,-0.170556,-0.068905,0.212419,-0.709959,0.643921,0.962108,-0.01762,-0.419747,-0.094986,-0.248872,-0.909614,0.822733,-0.966951,-0.334558,0.431376,-0.909615,-0.256108,0.812199,-0.297,1.180111,0.705362,0.19077,0.849691,1.135436,1.068117,-0.080254,0.367718,0.700845,1.165526,-0.226717,-0.075651,-0.149339,-0.256907,-1.057562,1.067354,-0.819484,1.428744,0.937392,0.474642,0.476832,0.477121,-0.146401,censored
0.776797,1.632924,0,2.566081,2.0384,1.870425,0.719218,-0.622348,-1.249788,-0.828071,1.128755,-1.246402,-0.20702,-1.301095,0.364693,-0.583209,2.566081,-0.420867,-0.080178,0.729385,0.132469,-0.261515,0.211648,-0.094986,0.323065,-0.798581,0.635216,0.548116,2.704554,-0.395696,-0.798582,0.685928,-0.289956,0.847165,-0.739283,-0.706569,-0.389631,-0.453878,0.244346,-0.064136,0.240437,-0.021619,-0.364546,-0.007932,1.387428,-0.075651,-0.149339,-1.396973,0.959342,-0.941803,1.293308,-0.051674,-0.015937,0.474642,2.204278,2.204228,-0.146487,censored
-0.041307,-0.266335,0,-0.346272,-0.501381,-0.47691,-0.335891,0.493054,0.46905,-1.177926,0.593931,-0.552086,-0.20702,-0.493304,-0.82151,0.591381,-0.346272,-0.330195,-0.709959,-0.919428,-0.469808,0.61005,1.518748,-0.094986,-0.248872,-0.411975,-0.679689,0.198485,-0.294807,1.92414,-0.411974,-0.118904,-1.367595,-0.297,-0.874121,-0.841991,-0.596275,-0.453878,0.692852,1.306223,-0.637644,-0.452136,-0.364546,-0.425727,-0.226717,-0.075651,-0.149339,-0.058312,0.694291,-0.677769,1.293308,-1.854568,-1.211102,0.474642,-0.211337,-0.21172,-0.134839,censored
-0.51275,-0.266335,0,-0.207588,-0.282569,-0.292288,-0.085357,0.466137,0.7742,-0.152171,0.496668,-0.451719,-0.20702,-0.167365,0.048777,-1.286249,-0.207588,-0.284555,0.549604,-0.294088,-0.037745,0.125847,0.964892,-0.094986,-0.248872,-0.19817,-0.679689,0.548116,-0.434605,-0.395696,-0.19817,-0.45458,-0.024489,-0.297,-0.33722,-0.302762,-0.596275,-0.453878,-0.427375,-0.88435,-0.637644,-0.452136,-0.364546,-0.425727,-0.226717,-0.075651,-0.149339,0.340962,-1.083531,1.093224,-0.819484,-0.549728,-0.456881,0.474642,-0.309647,-0.309771,0.174429,censored
0.502868,-0.266335,0,0.069779,-0.196607,-0.147228,-0.480429,0.650071,0.550787,0.184522,-0.296548,0.366812,-0.20702,0.230818,-1.012183,0.268959,0.069779,-0.380182,-0.709959,-0.472757,-0.125674,-0.581243,-0.142819,-0.094986,-0.248872,0.28883,0.19293,0.448221,0.30702,-0.395696,0.288831,-0.541638,0.845341,-0.297,0.468133,0.506081,0.089408,-0.453878,-1.093016,-0.88435,-0.637644,-0.452136,-0.364546,-0.425727,-0.226717,-0.075651,-0.149339,0.750218,1.429464,-1.410118,1.293308,-0.204042,-0.449449,0.474642,-0.183249,-0.183338,-0.146553,censored
0.104693,-0.266335,0,-0.623639,-0.688934,-0.714281,-0.566314,1.329826,0.955522,1.628441,0.593931,-0.552086,-0.20702,-0.010473,0.165312,-0.170556,-0.623639,-0.254128,-0.709959,0.643921,0.116679,-0.196955,0.411037,-0.094986,-0.248872,2.025092,-0.679689,0.198485,-0.465139,-0.395696,2.025092,-0.531345,0.026394,-0.297,0.409774,0.44747,-0.596275,-0.453878,-1.093016,-0.88435,-0.637644,-0.452136,-0.364546,-0.425727,-0.226717,-0.075651,-0.149339,1.622111,-0.404735,0.417036,-0.819484,-1.056069,-1.496508,-2.955028,-0.604577,-0.604913,-0.081207,censored
0.828745,-0.266335,0,0.208462,0.780232,0.736319,0.049304,-0.525446,-0.611078,-0.907485,0.005232,-0.025597,-0.20702,-0.435651,1.246607,-0.321552,0.208462,0.057749,-0.709959,0.081116,0.723954,0.475549,-0.419747,-0.094986,-0.248872,-0.297035,-0.24666,0.198485,0.285256,1.034579,-0.297034,0.239715,-0.049225,-0.297,0.902095,0.941924,1.105044,1.236841,0.008045,-0.209061,-0.15569,0.25676,-0.364546,0.262221,-0.226717,3.761809,1.506924,-0.588325,-1.041762,1.051617,-0.819484,-1.07018,-0.579279,0.474642,1.221179,1.220951,-0.146163,censored
0.251146,-0.266335,0,0.069779,-0.079387,-0.054917,0.917656,-0.414477,-0.239834,-0.59746,-0.050645,0.113061,-0.20702,-0.529915,0.532978,-0.583209,0.069779,-0.319328,-0.709959,-0.224606,-0.171737,0.033618,-0.142819,-0.094986,-0.248872,-1.459034,0.109254,0.448221,-0.145351,-0.395696,-1.459034,0.185229,-0.959057,-0.297,-0.469606,-0.435723,0.023658,-0.453878,1.414538,0.961132,0.240437,0.839414,1.313811,0.827657,-0.226717,-0.075651,-0.149339,-0.903624,-1.068054,1.077807,-0.819484,-0.265562,-0.247105,0.474642,-0.028762,-0.028828,0.554829,censored
