idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
0,-0.644663,0.039732,3.700468,-0.805838,-0.672272,1.379942,0.250894,-0.570527,-0.37481,-0.370623,2.810413,-0.231397,-0.181212,2.158893,-0.548565,1.841324,-1.661858,-0.373828,-0.951999,-0.766116,-0.763206,-0.539275,-1.251667,-0.511362,-0.633865,-0.657949,-0.803574,-0.439285,-0.843308,-0.254994,-1.040024,-0.497296,-0.640448,0.893104,0.085802,1.489255,-0.933676,-0.380506,-0.464708,-0.28028,1.533032,-0.3063,4.314904,3.046847,-0.343771,-0.418872,-1.226982,-0.863538,1.844077,1.988025,-0.919468,0.425892,0.534162,-0.495291,1.591879,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,0.387581,2.600315,-0.809425,-0.21862,-0.565269,-0.653086,-0.053219,0.356623,0.542845,-1.15106,0.688504,-0.357123,5.642504,-0.580942,-0.254168,-0.259165,0.109238,-0.218472,-0.396607,0.612459,-0.449015,-0.772998,0.087933,-0.902143,-0.216092,1.757634,-0.173714,-0.32714,-0.313965,-0.132715,-0.378388,-0.073329,2.644084,-0.322681,0.324647,-0.309545,0.236912,-0.393747,-0.040612,0.474642,-0.688843,-0.688877,-0.146556,meng,censored
1,-0.535409,0.397523,-0.196578,-0.357771,-1.024653,-1.078516,-0.806575,-0.570527,-0.37481,-0.370623,-0.348272,-0.231397,-0.181212,-0.844815,0.820345,-0.938022,-0.59177,-1.395001,0.213494,-0.766116,0.763688,-0.539275,0.199083,1.506121,-0.633865,0.846622,0.238381,-0.214287,-0.843308,-0.002807,-0.023785,-0.497296,0.068169,-0.841486,-0.850032,-0.881795,-0.113136,-0.380506,-0.464708,-0.28028,-0.299349,-0.3063,-0.275982,-0.335956,-0.343771,-1.21027,-1.226982,-0.863538,-0.911681,-0.930727,0.235733,0.107244,0.225816,-0.495291,1.109089,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,0.44454,-0.664159,1.02775,0.998104,1.254026,-0.653086,1.416546,0.061696,0.841435,0.332477,0.955513,-0.357123,-0.257488,4.419422,-0.254168,-0.259165,-0.246814,-0.218472,-0.396607,-0.551504,1.430707,0.738447,1.477593,-0.902143,-1.066176,-0.334573,-0.173714,8.468782,-0.313965,1.275325,-0.378388,-0.073329,-0.232109,-0.322681,-0.931496,0.941773,-0.819484,0.081112,0.303086,-0.382776,-0.527333,-0.527267,-0.146564,patriotism,censored
2,0.488845,-0.4652,-0.196578,0.808557,0.58713,0.328846,0.751048,1.023992,-0.37481,-0.370623,1.205459,-0.231397,-0.181212,-0.475939,-0.309638,-0.255376,0.38274,1.364926,0.160517,0.450171,0.208454,0.174933,0.36423,0.130564,-0.017685,0.299506,0.52255,0.416095,0.402154,0.30808,1.219864,0.670508,-0.18951,0.011745,0.431341,-0.299431,0.629939,-0.380506,0.125075,-0.28028,0.564487,-0.3063,-0.275982,0.49603,1.097178,1.284101,0.76006,0.686688,1.115158,1.93288,-0.18434,0.057929,-0.155944,0.089427,-0.011673,-0.318895,-0.086092,-0.345011,-0.348485,-0.220295,-0.206251,0.190003,-0.263259,-0.223846,-0.006255,-0.565269,1.98336,0.664304,-0.303452,0.03833,1.210648,-0.5982,0.775919,-0.257488,-0.580942,-0.254168,-0.259165,0.4611,-0.218472,-0.396607,0.809437,-0.449015,0.188831,-0.633269,0.662224,-0.582282,-0.334573,-0.173714,-0.32714,-0.313965,-0.132715,-0.378388,-0.073329,-0.232109,-0.322681,-1.057562,1.067354,-0.819484,1.428744,0.937392,0.474642,0.476832,0.477121,-0.146401,cr,censored
3,2.168621,-0.47325,-0.196578,0.364725,0.213175,-0.888212,-0.68368,-0.382164,-0.37481,-0.370623,0.018818,-0.231397,-0.181212,-0.496207,0.100754,0.509788,0.671345,0.145038,0.971472,1.145193,-0.074502,0.135691,-0.489451,0.095294,-0.051541,-0.205525,-0.646917,0.204674,-0.490199,0.279818,-0.276068,-0.497296,1.061718,0.368039,-0.113705,0.62851,-0.440204,-0.380506,-0.186019,-0.28028,-0.238941,0.042671,-0.275982,-0.335956,-0.003327,0.719863,0.18062,0.235248,0.523842,0.250954,1.855439,1.302173,-0.192652,-0.495291,0.453874,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,0.319942,-0.09585,0.432518,-0.286077,-0.018208,0.841866,0.097229,-0.640512,-0.260261,0.633861,0.168298,-0.357123,-0.257488,-0.580942,0.181801,-0.259165,-0.634282,-0.218472,-0.396607,-0.405689,-0.1664,-0.545753,1.605687,1.208277,1.045022,-0.334573,1.659849,-0.32714,-0.313965,2.402741,0.654458,-0.073329,-0.232109,-0.322681,0.959342,-0.941803,1.293308,-0.051674,-0.015937,0.474642,2.204278,2.204228,-0.146487,democracy,censored
4,-0.180335,-0.258576,4.98544,-1.865443,-0.977908,-1.078516,-0.806575,-0.570527,-0.37481,-0.370623,-0.348272,-0.231397,-0.181212,-0.844815,1.17733,-0.938022,0.182216,-0.037117,-0.951999,0.695211,0.112356,-0.539275,-0.001633,0.645516,-0.633865,1.067573,-0.803574,-1.240354,-0.843308,-1.15287,0.125453,-0.497296,4.233149,-0.841486,-0.763647,-0.357028,-0.933676,-0.380506,-0.464708,-0.28028,-0.788656,-0.3063,-0.275982,-0.335956,-0.343771,-1.80675,-0.778736,-0.863538,-0.911681,-0.930727,-0.919468,-0.977676,-0.824026,-0.495291,-0.534695,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,-0.714228,-0.664159,-0.809425,-0.323553,-0.565269,0.297194,0.007952,0.209159,-0.098095,0.979414,-0.262138,-0.357123,-0.257488,-0.580942,-0.254168,-0.259165,-0.755758,-0.218472,-0.396607,-0.444061,-0.449015,0.093705,0.741321,0.308028,-0.068495,2.447497,-0.173714,-0.32714,-0.313965,-0.132715,-0.378388,-0.073329,1.041023,0.977907,0.694291,-0.677769,1.293308,-1.854568,-1.211102,0.474642,-0.211337,-0.21172,-0.134839,china,censored
5,-0.275932,-0.56404,-0.196578,0.135186,-0.672272,-0.669142,-0.806575,-0.570527,-0.37481,-0.370623,-0.348272,-0.231397,-0.181212,-0.094902,-0.548565,0.449775,-0.27318,-1.395001,0.555807,0.058108,-0.763206,0.912685,-0.781634,-0.511362,-0.633865,-0.657949,-0.129582,-0.080452,0.169486,-0.254994,-1.040024,0.689758,0.276294,-0.841486,-1.43827,-0.881795,-0.933676,-0.380506,-0.464708,-0.28028,0.042964,-0.3063,-0.275982,-0.335956,-0.343771,0.93823,-0.215695,1.50439,-0.911681,-0.202024,1.326308,-0.977676,-0.144932,0.69342,-0.534695,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,0.058284,-0.664159,1.57472,-0.21862,-0.565269,-0.653086,1.477717,2.308761,-0.41213,0.774161,1.540169,-0.357123,-0.257488,1.037724,-0.254168,-0.259165,-0.667792,-0.218472,-0.396607,-0.336618,-0.449015,-0.772998,0.486209,0.007945,0.475185,-0.334573,-0.173714,0.938706,-0.313965,-0.132715,0.73576,-0.073329,-0.232109,-0.322681,-1.083531,1.093224,-0.819484,-0.549728,-0.456881,0.474642,-0.309647,-0.309771,0.174429,trump,censored
6,-0.153021,-0.463411,-0.196578,0.045404,0.517014,0.678474,0.553844,-0.570527,0.952478,1.827842,-0.348272,-0.231397,-0.181212,0.440172,-0.250609,-0.341644,-0.173855,-0.081276,0.339824,1.35459,0.085662,-0.539275,0.765664,1.724799,0.442756,-0.657949,0.35132,0.586783,0.894865,0.203727,-0.475052,0.522928,0.538928,-0.841486,-0.459244,-0.373027,-0.024197,-0.380506,0.565792,-0.28028,0.787998,-0.3063,-0.275982,-0.335956,-0.343771,-0.651895,-0.360555,0.486521,-0.320365,-0.304436,-0.277241,-0.977676,-0.824026,-0.495291,-0.534695,-0.318895,1.046698,1.045672,-0.348485,1.859772,-0.206251,0.104564,2.133332,-0.809425,-0.351035,-0.565269,-0.653086,-0.053219,-0.942461,-0.13928,0.498758,-1.017127,-0.357123,-0.257488,-0.580942,1.357904,-0.259165,1.881117,1.973313,-0.396607,1.15223,1.634453,1.742554,-0.367393,-0.511051,0.178123,-0.334573,-0.173714,0.757382,-0.313965,-0.132715,-0.378388,-0.073329,-0.232109,-0.322681,1.429464,-1.410118,1.293308,-0.204042,-0.449449,0.474642,-0.183249,-0.183338,-0.146553,patriotism,censored
7,-0.726603,-0.228611,-0.196578,-0.760946,-0.767558,-1.078516,-0.806575,-0.570527,-0.37481,-0.370623,-0.348272,-0.231397,-0.181212,-0.844815,-1.588599,0.847361,1.016172,-0.081276,0.987773,-0.766116,1.778059,3.196579,1.167097,-0.511362,-0.633865,4.350273,-0.803574,-0.953288,-0.843308,-0.831113,4.037616,2.556961,4.079533,-0.841486,-0.459244,-0.881795,0.431977,-0.380506,-0.464708,-0.28028,0.467834,-0.3063,-0.275982,4.015974,-0.343771,0.744777,0.074025,-0.863538,0.858549,2.819141,-0.919468,0.827995,-0.824026,-0.495291,-0.534695,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,-1.58998,-0.664159,-0.809425,-1.14303,-0.565269,-0.653086,1.259484,-0.942461,2.313796,1.322368,-1.017127,-0.357123,-0.257488,-0.580942,-0.254168,-0.259165,-1.442728,-0.218472,-0.396607,-1.283137,-0.449015,-0.772998,0.65736,0.268673,1.958628,-0.334573,-0.173714,-0.32714,-0.313965,-0.132715,-0.378388,-0.073329,-0.232109,-0.322681,-0.404735,0.417036,-0.819484,-1.056069,-1.496508,-2.955028,-0.604577,-0.604913,-0.081207,trump,censored
8,1.212651,-0.560462,5.617393,-0.884609,-0.468214,0.007985,0.596714,-0.570527,2.187942,-0.370623,0.172484,1.539561,-0.181212,-0.844815,0.134485,-0.019075,-0.282551,-0.039877,-0.450756,0.053653,-0.43754,-0.06052,-0.471666,0.356297,-0.633865,-0.010878,-0.133226,-0.448983,-0.506622,-0.398481,-0.38622,-0.497296,0.422477,-0.264852,-0.681376,-0.686607,-0.405776,0.787265,-0.464708,-0.28028,0.651073,-0.3063,-0.275982,0.221749,0.139185,-0.607928,-0.054436,-0.079907,-0.22739,-0.446238,-0.176262,-0.279685,-0.37252,-0.103337,-0.534695,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,-0.060975,1.49894,-0.021145,-0.683323,-0.565269,-0.299628,-0.368996,-0.082257,-0.574296,0.124626,0.113055,0.022633,-0.257488,0.490877,-0.254168,-0.259165,-0.799741,-0.218472,0.06293,-0.812436,-0.449015,0.1994,0.009354,0.758153,-0.683171,0.360945,-0.173714,-0.118447,-0.313965,0.472841,0.359359,5.306789,-0.232109,-0.322681,-1.041762,1.051617,-0.819484,-1.07018,-0.579279,0.474642,1.221179,1.220951,-0.146163,trump,censored
9,-0.002797,2.141752,-0.196578,-0.161266,0.794783,-0.779783,-0.420742,-0.570527,0.752133,-0.370623,-0.348272,-0.231397,-0.181212,-0.844815,0.691044,-0.431664,0.616997,1.21589,-0.951999,0.436806,-0.042469,0.520264,1.837847,2.345563,-0.633865,0.052251,1.659229,0.220191,1.007093,0.484177,0.882302,-0.497296,2.372411,-0.841486,-0.047888,-0.449822,-0.546358,0.901194,0.410245,-0.28028,-0.905445,-0.3063,-0.275982,0.89831,-0.343771,0.725725,1.358633,-0.288592,0.594502,1.200238,-0.374181,-0.977676,-0.328471,0.372147,-0.534695,-0.318895,-0.542215,-0.345011,-0.348485,-0.220295,-0.206251,-0.627009,-0.069417,-0.809425,-0.131175,-0.565269,0.129156,0.791606,0.957011,0.028033,0.956031,-0.395642,-0.357123,-0.257488,-0.580942,-0.254168,-0.259165,1.669581,-0.218472,-0.396607,1.482233,-0.449015,2.799508,0.276307,-0.902143,0.923581,-0.334573,1.745131,-0.32714,0.183391,-0.132715,-0.378388,-0.073329,-0.232109,1.283228,-1.068054,1.077807,-0.819484,-0.265562,-0.247105,0.474642,-0.028762,-0.028828,0.554829,trump,censored
