idx,content,pubdate,url,uid,pid,mid,testdate,status,retestdate,status_2,followers,error,topic,class
38564,《中华人民共和国城市居民委员会组织法》中华人民共和国城市居民委员会组织法是为了加强城市居民委员会的建设，由城市居民群众依法办理群众自己的事情，促进城市基层社会主义民主和城市社会主义物质文明、精神文明建设的发展，根据宪法制定的一部法律，1989年12月26日第七届全国人民代表大会常务委员会第十一次会议通过1989年12月26日中华人民共和国主席令第二十一号公布自1990年1月1日起施行。第二条居民委员会是居民自我管理、自我教育、自我服务的基层群众性自治组织。不设区的市、市辖区的人民政府或者它的派出机关对居民委员会的工作给予指导、支持和帮助。居民委员会协助不设区的市、市辖区的人民政府或者它的派出机关开展工作。第三条居民委员会的任务:(一)宣传宪法、法律、法规和国家的政策，维护居民的合法权益，教育居民履行依法应尽的义务，爱护公共财产，开展多种形式的社会主义精神文明建设活动;(二)办理本居住地区居民的公共事务和公益事业;(三)调解民间纠纷;(四)协助维护社会治安;(五)协助人民政府或者它的派出机关做好与居民利益有关的公共卫生、计划生育、优抚救济、青少年教育等项工作;(六)向人民政府或者它的派出机关反映居民的意见、要求和提出建议。第四条居民委员会应当开展便民利民的社区服务活动，可以兴办有关的服务事业。居民委员会管理本居民委员会的财产，任何部门和单位不得侵犯居民委员会的财产所有权。第十六条居民委员会办理本居住地区公益事业所需的费用，经居民会议讨论决定，可以根据自愿原则向居民筹集，也可以向本居住地区的受益单位筹集，但是必须经受益单位同意;收支帐目应当及时公布，接受居民监督。第十七条居民委员会的工作经费和来源，居民委员会成员的生活补贴费的范围、标准和来源，由不设区的市、市辖区的人民政府或者上级人民政府规定并拨付；经居民会议同意，可以从居民委员会的经济收入中给予适当补助。居民委员会的办公用房，由当地人民政府统筹解决。【难怪有些居委会办有物业管理及收费业务】,11/21/18,https://weibo.com/2135771742/H3HEoe51T,2135771742,H3HEoe51T,4308830000000000.0,11/25/18,available,12/18/18,available,1390.0,,democracy,uncensored
218,心跳乱了节奏梦也不自由放任无奈淹没尘埃渐渐-陳奕迅所長每一个明天-陈奕迅FightSong(中国新歌声)End.,12/25/18,https://weibo.com/1836406510/H8WGWg2pa,1836406510,H8WGWg2pa,4321320000000000.0,12/29/18,not available,12/30/18,not available,758.0,Permission Denied!,china,censored
17994,孟晚舟保释听证二审最新进展监视团队对法官说他们将提供GPS和实时视频监控画面华为孟晚舟保释听证,12/10/18,https://weibo.com/1798275315/H6EX3Cg3k,1798275315,H6EX3Cg3k,4315870000000000.0,12/14/18,available,12/26/18,available,134527.0,,meng,uncensored
692,川普接受卫生巾日报专访时指，“极大不可能”接纳中国提出的、推迟加征关税的要求，预期将从明年1月起，把2000亿美元中国商品的关税由目前10%增至25%。川普指，只有中国更加开放市场，容许美国公司公平竞争，美方才会达成协议，否则将再向剩下2670亿美元中国进口加征关税，税率可以是10%或25%。,11/26/18,https://weibo.com/3628193355/H4yBM0jci,3628193355,H4yBM0jci,4310860000000000.0,11/30/18,not available,12/16/18,not available,42411.0,Permission Denied!,trump,censored
799,《歧视》加拿大因美国要求拘捕了孟晚舟中国的诗人们集体沉默我觉得纳闷更有一些自称精英的诗人认为华为不守法理应受到惩罚他们又拿不出华为违反国际法的证据美国也拿不出来那么他们凭什么相信美国和加拿大就是对的更有一些人称中国是黄俄他们从骨子里就反对中国从骨子里就歧视中国虽然他们也是中国人2018.12.14,12/13/18,https://weibo.com/1224266605/H7atnicJa,1224266605,H7atnicJa,4317090000000000.0,12/17/18,not available,12/21/18,not available,877.0,Permission Denied!,meng,censored
31553,2020年美国总统大选，特朗普有机会连任吗？(同步自,12/17/18,https://weibo.com/2584551281/H7DPAqpsy,2584551281,H7DPAqpsy,4318210000000000.0,12/21/18,available,1/1/19,available,52682.0,,trump,uncensored
517,上周股指在连续地量后，迎来国家队强势拉升的抵抗，最终仍未失守2638点。在上周刚确定了美向中方提出贸易谈谈判时，周末又再传出川普最快于今日对华征收2000亿关税，只是其税率从25%下降至10%，对于此类传闻，最终也得中美再谈判完成后才能确定;由于北向资金持续流入，加上自15号后外资可在A股开放账户，在2638仍未击穿中，不排除各蓝筹继续护盘。但两市量能持续维持在2500亿，此种地量无疑将使得指数越拉升个股越调整的结构，短期操作难度仍然较大，特别是个股的风险释放过于明显。故耐心等待贸易谈判在月末后的安排，风声鹤唳下，见风就是雨的走势确实让人胆战心惊,9/17/18,http://weibo.com/3864135744/GzJL1wzmu,3864135744,GzJL1wzmu,4285170000000000.0,9/21/18,not available,12/27/18,not available,43463.0,Permission Denied!,trump,censored
10377,继姚明当选中国篮协主席之后，刘国梁也当选了中国乒协主席，他们共同的背景是都是在国际上著名运动员，姚明有亚洲冠军和NBA的阅历，刘国梁有奥运、世界杯、世锦赛冠军的头衔，专业人干专业事，从体制里走出来的人更知体制里的路，更看懂机制里的笈，照猫画虎地让足球运动员当足协主席却难有可堪此任者。,12/3/18,https://weibo.com/2279166900/H5CVLqE14,2279166900,H5CVLqE14,4313410000000000.0,12/7/18,available,12/19/18,available,1207.0,,china,uncensored
503,下周市场前瞻海外市场：海外主要权益类市场“涨多跌少”，美联储褐皮书显示“美国经济温和扩张”，聚焦“本月25-26日”联储议息会议。现在多国都在加息，我国这次估计会扛一下。中美贸易摩擦延续，短期内难以找到实质性解决中美贸易紧张格局的突破口。不排除在此期间川普会宣布“对约2000亿美元中国商品加征关税”，新关税的税率可能约10%。若特朗普政府执意要推进对华这2000亿商品加征关税的贸易事件，将是世界两个最大经济体之间最大规模的贸易层面上的冲突。房地产调控严厉依旧，没有放松的迹象。房地产景气度下行必将影响诸多产业链条企业盈利。房地产景气度持续下行必将影响诸多产业链条企业景气度如建筑，原料，汽车，家电等，A股盈利整体下行依旧。季末效应并叠加“中秋、国庆小长假”，银行间资金面将有边际收紧压力。A股二级市场延续“净减持”。A股成交量将更加趋向清淡，预计节前沪深两市成交量维持在2500亿上下波动。,9/16/18,http://weibo.com/5991851973/GzDHucscO,5991851973,GzDHucscO,4284940000000000.0,9/19/18,not available,12/27/18,not available,143437.0,Permission Denied!,trump,censored
59,还说从此国内再无好感偶像，这帽子扣的，干脆说对中国人无好感吧，自我感觉那么好，爱豆谦虚大度的优点一样没学到，不是我说什么这事换弟弟家，肯定好说话，哪家没几个ky脑残粉，又不是故意针对他，知道错了改正不就行了吗多大的事还车轱辘个没完。弟弟家也真是怂，道歉就道歉你哭什么。,12/1/18,https://weibo.com/3887729446/H5hArqUkU,3887729446,H5hArqUkU,4312590000000000.0,12/5/18,not available,12/16/18,not available,888.0,Permission Denied!,china,censored
